energy,L,J,totalWidth,neutronWidth,captureWidth
-12.6,0,1.0,0.18727,0.04427,0.143
16.3,0,0.0,0.1466,0.0116,0.135
18.9,1,2.0,0.1430001,8.8e-08,0.143
20.3,1,1.0,0.1430002,1.6e-07,0.143
35.84,1,2.0,0.1430003,2.72e-07,0.143
41.57,0,1.0,0.1423667,0.005366667,0.137
42.81,1,0.0,0.1430196,1.96e-05,0.143
44.9,0,1.0,0.1482,0.0012,0.147
51.56,0,1.0,0.1658667,0.02386667,0.142
64.24,1,1.0,0.143024,2.4e-05,0.143
64.74,1,2.0,0.1430104,1.04e-05,0.143
73.21,1,1.0,0.143036,3.6e-05,0.143
83.55,1,2.0,0.143012,1.2e-05,0.143
101.2,1,1.0,0.1430053,5.333333e-06,0.143
107.6,1,1.0,0.1430187,1.866667e-05,0.143
110.8,1,2.0,0.143064,6.4e-05,0.143
125.1,1,0.0,0.14304,4e-05,0.143
126.1,1,1.0,0.143024,2.4e-05,0.143
128.5,1,2.0,0.143072,7.2e-05,0.143
136.7,1,2.0,0.1430224,2.24e-05,0.143
141.5,1,2.0,0.143008,8e-06,0.143
144.2,0,0.0,0.147,0.017,0.13
154.8,1,1.0,0.1430333,3.333333e-05,0.143
162.0,0,1.0,0.1433733,0.0003733333,0.143
166.9,1,0.0,0.14376,0.00076,0.143
173.7,0,1.0,0.1493333,0.007333333,0.142
183.5,1,1.0,0.1431733,0.0001733333,0.143
201.0,1,1.0,0.14336,0.00036,0.143
202.5,0,1.0,0.1719333,0.01793333,0.154
218.9,1,1.0,0.1431133,0.0001133333,0.143
228.3,1,2.0,0.143032,3.2e-05,0.143
231.0,1,2.0,0.1430416,4.16e-05,0.143
235.5,1,0.0,0.143116,0.000116,0.143
251.3,0,1.0,0.1643333,0.02133333,0.143
259.9,1,1.0,0.1114333,0.0003333334,0.1111
264.5,0,1.0,0.1533333,0.003333333,0.15
269.9,1,1.0,0.1432667,0.0002666667,0.143
310.8,0,1.0,0.2436667,0.1066667,0.137
328.2,1,2.0,0.14348,0.00048,0.143
346.8,1,1.0,0.1435333,0.0005333333,0.143
359.7,1,1.0,0.1433467,0.0003466667,0.143
361.2,0,1.0,0.196,0.021,0.175
372.5,1,0.0,0.14376,0.00076,0.143
381.8,1,1.0,0.1433867,0.0003866667,0.143
384.9,1,2.0,0.14308,8e-05,0.143
403.9,1,1.0,0.1434,0.0004,0.143
410.0,1,2.0,0.143288,0.000288,0.143
422.5,1,0.0,0.14372,0.00072,0.143
444.7,0,0.0,0.2184,0.0754,0.143
461.4,0,1.0,0.1584667,0.01546667,0.143
466.7,0,1.0,0.2293333,0.09133333,0.138
472.2,0,0.0,0.1964,0.0534,0.143
479.3,1,2.0,0.143364,0.000364,0.143
494.9,1,2.0,0.143384,0.000384,0.143
503.8,1,1.0,0.14336,0.00036,0.143
515.4,0,1.0,0.199,0.056,0.143
521.7,1,1.0,0.1439133,0.0009133333,0.143
524.4,1,2.0,0.143808,0.000808,0.143
531.2,1,1.0,0.1435,0.0005,0.143
554.5,0,0.0,0.613,0.47,0.143
576.9,0,1.0,0.1696,0.0266,0.143
587.7,0,1.0,0.1806667,0.06266666,0.118
592.4,1,2.0,0.14352,0.00052,0.143
600.8,1,2.0,0.143364,0.000364,0.143
608.2,1,2.0,0.14556,0.00256,0.143
625.9,0,1.0,0.1621333,0.01913333,0.143
634.1,1,2.0,0.143168,0.000168,0.143
647.9,1,1.0,0.1445067,0.001506667,0.143
653.4,0,1.0,0.15036,0.00736,0.143
661.3,1,1.0,0.1432,0.0002,0.143
674.6,0,1.0,0.1733333,0.04333333,0.13
695.9,0,1.0,0.1588,0.0158,0.143
703.1,1,2.0,0.14532,0.00232,0.143
722.1,0,0.0,0.1504,0.0074,0.143
737.9,1,1.0,0.1436067,0.0006066667,0.143
752.9,0,1.0,0.196,0.053,0.143
780.2,0,1.0,0.1526,0.0096,0.143
813.0,0,0.0,0.1566,0.0136,0.143
844.0,0,0.0,0.156,0.013,0.143
848.9,0,1.0,0.1512667,0.008266667,0.143
882.3,0,1.0,0.2223333,0.07933334,0.143
886.6,0,0.0,0.175,0.032,0.143
909.4,0,1.0,0.1530667,0.01006667,0.143
915.4,0,1.0,0.1486,0.0056,0.143
923.9,0,0.0,0.1634,0.0204,0.143
934.1,0,1.0,0.3496667,0.2066667,0.143
1010.0,1,2.0,0.1434,0.0004,0.143
1017.0,0,1.0,0.1552667,0.01226667,0.143
1028.0,1,2.0,0.145,0.002,0.143
1048.0,0,0.0,0.377,0.234,0.143
1068.0,0,1.0,0.1526667,0.009666666,0.143
1116.0,0,1.0,0.1570667,0.01406667,0.143
1135.0,0,0.0,0.349,0.206,0.143
1149.0,0,0.0,0.2106,0.0676,0.143
1179.0,0,0.0,0.563,0.42,0.143
1199.0,1,1.0,0.1482667,0.005266666,0.143
1206.0,0,1.0,0.1636,0.0206,0.143
1220.0,1,2.0,0.14512,0.00212,0.143
1228.0,0,1.0,0.1548667,0.01186667,0.143
1238.0,1,1.0,0.1482,0.0052,0.143
1284.0,0,1.0,0.1518,0.0088,0.143
1290.0,0,1.0,0.1523333,0.009333334,0.143
1342.0,1,2.0,0.1456,0.0026,0.143
1346.0,1,2.0,0.14636,0.00336,0.143
1353.0,1,2.0,0.14512,0.00212,0.143
1373.0,0,1.0,0.1683333,0.02533333,0.143
1399.0,0,1.0,0.1568667,0.01386667,0.143
1417.0,0,1.0,0.2736667,0.1306667,0.143
1439.0,0,0.0,0.257,0.114,0.143
