energy,L,J,totalWidth,neutronWidth,captureWidth
-206.2089,1,0.5,0.04306651,0.001818181,0.04124833
-184.9648,0,0.5,0.4273654,0.3872035,0.0401619
-117.9575,1,0.5,0.0420351,0.0007867716,0.04124833
-96.71334,0,0.5,0.1608932,0.1207313,0.0401619
-57.03805,1,1.5,0.04009882,9.398709e-05,0.04000483
-37.1016,0,0.5,0.1233336,0.0831717,0.0401619
-29.70601,1,0.5,0.04128751,3.917983e-05,0.04124833
-8.097773,1,1.5,0.04000582,9.885059e-07,0.04000483
-1.119204,1,1.5,0.04000487,3.570324e-08,0.04000483
19.61665,0,0.5,0.09453561,0.05437371,0.0401619
79.2284,0,0.5,0.1617021,0.1215402,0.0401619
135.9466,0,0.5,0.1833019,0.14314,0.0401619
195.5584,0,0.5,0.231111,0.1909491,0.0401619
283.8099,0,0.5,0.5197943,0.4796324,0.0401619
291.2054,1,0.5,0.04429899,0.003050661,0.04124833
379.4569,1,0.5,0.04578518,0.004536846,0.04124833
