energy,L,J,totalWidth,neutronWidth,captureWidth
-12348.54,0,0.5,222.6408,221.7565,0.8842609
22185.0,0,0.5,222.6408,221.7565,0.8842609
44370.0,0,0.5,314.4954,313.6111,0.8842609
66555.0,0,0.5,384.9778,384.0935,0.8842609
88740.0,0,0.5,444.3972,443.513,0.8842609
110925.0,0,0.5,496.7469,495.8626,0.8842609
133110.0,0,0.5,544.0746,543.1903,0.8842609
155295.0,0,0.5,587.5969,586.7126,0.8842609
177480.0,0,0.5,628.1064,627.2221,0.8842609
199665.0,0,0.5,666.1537,665.2695,0.8842609
221850.0,0,0.5,702.14,701.2557,0.8842609
244035.0,0,0.5,736.3675,735.4832,0.8842609
266220.0,0,0.5,769.0714,768.1871,0.8842609
288405.0,0,0.5,800.4387,799.5544,0.8842609
310590.0,0,0.5,830.6212,829.7369,0.8842609
332775.0,0,0.5,859.7436,858.8593,0.8842609
354960.0,0,0.5,887.9104,887.0261,0.8842609
377145.0,0,0.5,915.2099,914.3256,0.8842609
399330.0,0,0.5,941.7174,940.8331,0.8842609
421515.0,0,0.5,967.4986,966.6143,0.8842609
443700.0,0,0.5,992.6096,991.7253,0.8842609
465885.0,0,0.5,1017.1,1016.216,0.8842609
488070.0,0,0.5,1041.014,1040.13,0.8842609
510255.0,0,0.5,1064.391,1063.507,0.8842609
