energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-0.5,0,3.0,0.0471635,0.0004,0.04662,0.0001435
-0.4,0,2.0,0.04485,0.0002,0.0446,5e-05
-0.2,0,3.0,0.04009,1e-05,0.04,8e-05
-0.05,0,3.0,0.038581,1e-06,0.038,0.00058
0.3051,0,2.0,0.044749,7.9e-05,0.0444,0.00027
0.5724,0,2.0,0.043534,0.000134,0.0433,0.0001
1.2718,0,3.0,0.045965,0.000325,0.0453,0.00034
1.922,0,2.0,0.04122883,0.0001445,0.041,8.4325e-05
2.363,0,3.0,0.05028257,6.88e-05,0.05,0.00021377
2.599,0,3.0,0.04830708,0.0001297,0.048,0.00017738
3.973,0,2.0,0.04497466,0.0002568,0.0445,0.00021786
4.968,0,3.0,0.04445152,0.000157,0.0438,0.00049452
5.415,0,3.0,0.04559179,0.0006527,0.0442,0.00073909
5.8,0,2.0,0.04586447,2.47e-06,0.0442,0.001662
6.117,0,3.0,0.04439445,0.000112,0.0438,0.00048245
6.745,0,2.0,0.04452713,4.075e-05,0.0442,0.00028638
7.659,0,3.0,0.04434219,4.234e-05,0.0442,9.9845e-05
8.173,0,3.0,0.04302108,9.261e-05,0.0427,0.00022847
9.113,0,2.0,0.04482837,0.0004495,0.0442,0.00017887
9.851,0,2.0,0.04539336,0.0004939,0.0439,0.00099946
10.116,0,3.0,0.04435673,2.381e-05,0.0442,0.00013292
10.404,0,3.0,0.04538577,0.0003087,0.045,7.7068e-05
10.997,0,2.0,0.04714998,0.0005063,0.0465,0.00014368
11.583,0,3.0,0.04440139,1.94e-05,0.0442,0.00018199
12.137,0,3.0,0.04416587,8.00006e-06,0.044,0.00015787
12.879,0,2.0,0.05634203,0.000161863,0.056,0.00018017
13.874,0,3.0,0.04423958,1.02903e-05,0.044,0.00022929
14.36,0,3.0,0.03507231,5.02097e-05,0.035,2.2097e-05
14.682,0,2.0,0.04806024,0.00267024,0.045,0.00039
15.689,0,3.0,0.04639414,0.000201309,0.046,0.00019283
16.388,0,3.0,0.05018192,0.00102495,0.049,0.00015697
16.849,0,2.0,0.04811863,0.00073548,0.047,0.00038315
17.729,0,3.0,0.06390906,0.000362503,0.063,0.00054656
18.167,0,2.0,0.05160608,2.66016e-05,0.051,0.00057948
19.445,0,3.0,0.05561969,0.000182126,0.055,0.00043756
20.333,0,2.0,0.05829879,4.0776e-05,0.058,0.00025801
20.88,0,3.0,0.04448939,7.13143e-05,0.044,0.00041808
21.75,0,3.0,0.06170497,7.49709e-05,0.061,0.00063
22.21,0,2.0,0.06488716,7.16136e-06,0.064,0.00088
22.748,0,3.0,0.05227671,6.1548e-05,0.052,0.00021516
23.079,0,2.0,0.04787521,0.000488232,0.047,0.00038698
23.337,0,3.0,0.03748757,0.000360154,0.037,0.00012742
24.192,0,3.0,0.05636414,0.00106414,0.055,0.0003
25.008,0,2.0,0.02027765,1.01184e-05,0.02,0.00026753
25.634,0,3.0,0.06070657,0.00103157,0.059,0.000675
26.498,0,2.0,0.05977525,0.000619296,0.059,0.00015595
26.669,0,2.0,0.02138835,0.000227244,0.021,0.00016111
27.575,0,3.0,0.05705623,0.000183017,0.056,0.00087321
27.726,0,2.0,0.03565801,0.000500616,0.035,0.00015739
28.355,0,3.0,0.04569854,0.000478543,0.045,0.00022
28.903,0,2.0,0.03468814,0.000524736,0.034,0.0001634
29.504,0,3.0,0.04580014,0.000593143,0.045,0.000207
29.956,0,3.0,0.04457263,6.94286e-05,0.044,0.0005032
30.822,0,2.0,0.05317716,0.00018449,0.052,0.00099267
31.02,0,3.0,0.0526655,0.000293314,0.052,0.00037219
31.251,0,3.0,0.04822953,0.000843531,0.047,0.000386
32.03,0,2.0,0.06403594,0.00038616,0.063,0.00064978
33.52,0,3.0,0.044584,5.14286e-05,0.044,0.00053257
34.028,0,2.0,0.04589162,0.000753624,0.045,0.000138
34.46,0,3.0,0.0449325,0.000107158,0.044,0.00082534
34.928,0,3.0,0.04378862,0.000524623,0.043,0.000264
35.475,0,2.0,0.04469386,0.0005226,0.044,0.00017126
36.28,0,2.0,0.02927655,0.00019513,0.029,8.1424e-05
36.483,0,3.0,0.04454294,9.73937e-05,0.044,0.00044555
36.979,0,2.0,0.04012656,0.00363456,0.036,0.000492
38.366,0,3.0,0.05138054,0.00185554,0.049,0.000525
38.83,0,3.0,0.04438484,4.71446e-05,0.044,0.0003377
39.617,0,2.0,0.03173692,0.00158126,0.03,0.00015566
40.067,0,3.0,0.06741209,0.000518263,0.066,0.00089383
40.396,0,3.0,0.03385426,0.00072636,0.033,0.0001279
41.298,0,2.0,0.05309897,9.93384e-05,0.052,0.00099963
41.791,0,2.0,0.05562421,0.0004242,0.055,0.00020001
42.08,0,3.0,0.0443247,0.000128568,0.044,0.00019613
43.294,0,3.0,0.0509434,0.0007494,0.05,0.000194
43.574,0,2.0,0.03183007,0.000638904,0.031,0.00019117
44.416,0,2.0,0.06574606,0.000165926,0.065,0.00058013
44.921,0,3.0,0.04423401,7.00731e-05,0.044,0.00016394
46.073,0,2.0,0.05896123,0.000776232,0.058,0.000185
46.566,0,3.0,0.04947371,0.000330806,0.049,0.0001429
47.535,0,3.0,0.04337775,0.000925749,0.042,0.000452
48.765,0,2.0,0.04103701,0.0008808,0.04,0.00015621
49.332,0,3.0,0.03052295,0.000190166,0.03,0.00033278
50.278,0,2.0,0.06045107,0.00298464,0.057,0.00046643
50.847,0,2.0,0.04266294,0.00047832,0.042,0.00018462
51.984,0,3.0,0.0699277,0.0013657,0.068,0.000562
53.014,0,3.0,0.06028892,0.00015133,0.06,0.00013759
53.493,0,2.0,0.06049279,0.000235987,0.06,0.0002568
54.407,0,3.0,0.06559755,9.1644e-05,0.065,0.00050591
54.99,0,3.0,0.06560502,0.00116916,0.064,0.00043586
55.595,0,2.0,0.03260572,0.000255792,0.032,0.00034993
55.945,0,2.0,0.06893748,0.00192288,0.067,1.4598e-05
56.158,0,3.0,0.05815187,0.000760491,0.057,0.00039138
57.372,0,2.0,0.04927392,0.0049752,0.044,0.00029872
59.066,0,3.0,0.04484105,0.00050484,0.044,0.00033621
60.045,0,2.0,0.04443269,0.000342,0.044,9.0694e-05
60.381,0,3.0,0.04422612,0.000119995,0.044,0.00010613
61.258,0,3.0,0.07111188,0.00152563,0.069,0.00058625
61.613,0,2.0,0.05498834,0.000516768,0.054,0.00047157
62.549,0,2.0,0.04438089,0.0002664,0.044,0.00011449
63.507,0,3.0,0.05797311,0.000159782,0.057,0.00081333
64.039,0,2.0,0.05100737,0.0045996,0.046,0.00040777
64.539,0,3.0,0.03275391,0.00157459,0.031,0.00017932
65.164,0,2.0,0.05347252,0.00578544,0.047,0.00068708
65.733,0,2.0,0.06697668,0.00158232,0.065,0.00039436
66.314,0,3.0,0.05127831,0.000835714,0.05,0.0004426
66.874,0,3.0,0.03273548,0.00161774,0.031,0.00011774
68.525,0,2.0,0.0648633,0.000528696,0.063,0.0013346
69.585,0,3.0,0.05802852,0.000982989,0.057,4.5529e-05
69.824,0,3.0,0.05148235,0.00220423,0.049,0.00027812
71.253,0,2.0,0.0301112,0.000810864,0.029,0.00030034
71.463,0,3.0,0.03210348,0.000890263,0.031,0.00021322
71.841,0,2.0,0.04651039,0.00123919,0.045,0.0002712
72.276,0,3.0,0.06174594,0.000214303,0.061,0.00053164
74.969,0,3.0,0.06098302,0.000423926,0.06,0.00055909
75.715,0,2.0,0.04348032,0.000471504,0.043,8.8174e-06
75.943,0,3.0,0.04772254,0.000429497,0.047,0.00029304
76.779,0,2.0,0.0353185,0.000129804,0.034,0.0011887
78.191,0,3.0,0.0687871,0.00158229,0.067,0.00020481
78.551,0,3.0,0.03608912,0.000879789,0.035,0.00020933
79.555,0,2.0,0.06759129,0.00100754,0.066,0.00058375
