energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
0.178,0,5.5,0.2947144,0.00019437,0.05,0.24452
0.615,0,4.5,0.234201,0.000111021,0.05,0.18409
1.1,0,4.5,1.049424,0.0004235,0.05,0.999
1.71,0,5.5,0.2708504,5.04405e-05,0.05,0.2208
2.11,0,5.5,0.3760315,0.000181485,0.05,0.32585
2.95,0,4.5,0.2867021,8.21128e-05,0.05,0.23662
3.18,0,5.5,0.3602732,0.000273167,0.05,0.31
3.39,0,4.5,0.317242,0.000242,0.05,0.267
4.013,0,5.5,0.2702658,0.000265833,0.05,0.22
4.27,0,5.5,0.2652337,0.00023375,0.05,0.215
4.55,0,4.5,0.650231,0.000231,0.05,0.6
5.37,0,4.5,0.4922156,0.000525624,0.05,0.44169
5.7,0,5.5,0.2342468,4.6794e-05,0.05,0.1842
5.95,0,5.5,0.357266,0.000356033,0.05,0.30691
6.15,0,4.5,0.2956505,8.05288e-05,0.05,0.24557
6.65,0,5.5,0.2525543,0.000214262,0.05,0.20234
6.84,0,5.5,0.120029,3.79573e-05,0.05,0.069991
7.0,0,4.5,0.1607461,3.60756e-05,0.05,0.11071
7.21,0,4.5,0.4041043,0.000104331,0.05,0.354
8.07,0,5.5,0.5208708,0.000130823,0.05,0.47074
8.6,0,5.5,0.5500733,7.33333e-05,0.05,0.5
9.03,0,4.5,0.9004125,0.0004125,0.05,0.85
9.43,0,4.5,0.1969669,5.68766e-05,0.05,0.14691
9.88,0,5.5,0.6252788,0.00015877,0.05,0.57512
10.3,0,4.5,0.1390538,1.37993e-05,0.05,0.08904
10.62,0,4.5,0.4503239,0.000123882,0.05,0.4002
10.87,0,5.5,0.2218234,7.33865e-05,0.05,0.17175
11.25,0,5.5,0.4500647,9.47283e-05,0.05,0.39997
11.43,0,4.5,0.3237666,0.000136572,0.05,0.27363
11.79,0,5.5,0.1516677,3.76805e-05,0.05,0.10163
11.92,0,4.5,0.4476065,0.000356532,0.05,0.39725
12.62,0,4.5,0.3942692,0.00080916,0.05,0.34346
13.04,0,5.5,0.3504308,0.000430833,0.05,0.3
13.41,0,5.5,0.4508617,0.000861667,0.05,0.4
13.9,0,4.5,0.3298609,0.000210883,0.05,0.27965
14.42,0,4.5,0.5674968,0.00039677,0.05,0.5171
14.68,0,5.5,0.4975735,0.00033352,0.05,0.44724
15.15,0,5.5,0.1199965,4.45408e-05,0.05,0.069952
15.67,0,4.5,0.6469978,0.000787776,0.05,0.59621
16.06,0,5.5,0.2089921,7.21215e-05,0.05,0.15892
16.48,0,4.5,0.651549,0.000609004,0.05,0.60094
16.92,0,5.5,0.6999017,0.000991705,0.05,0.64891
17.5,0,5.5,0.4672104,0.000310383,0.05,0.4169
17.82,0,4.5,0.2726458,0.000175751,0.05,0.22247
18.47,0,4.5,0.7000734,0.000963358,0.05,0.64911
19.07,0,5.5,0.5239676,0.000717603,0.05,0.47325
19.31,0,5.5,0.4415873,0.000577298,0.05,0.39101
19.7,0,4.5,0.4917835,0.000593516,0.05,0.44119
20.0,0,4.5,0.3228274,0.00043736,0.05,0.27239
20.3,0,5.5,0.3729163,0.00033627,0.05,0.32258
20.9,0,5.5,0.5425428,0.000232778,0.05,0.49231
21.15,0,4.5,0.3174365,0.000146533,0.05,0.26729
21.46,0,5.5,0.6077564,0.000886435,0.05,0.55687
21.8,0,5.5,0.1200001,0.00011614,0.05,0.069884
22.15,0,4.5,0.4110244,0.00042438,0.05,0.3606
22.5,0,5.5,0.7166926,0.000942608,0.05,0.66575
23.0,0,5.5,0.5586582,0.00029821,0.05,0.50836
23.3,0,4.5,0.9549732,0.000133206,0.05,0.90484
23.65,0,4.5,0.8946909,0.000360932,0.05,0.84433
24.65,0,5.5,0.1200003,5.42593e-05,0.05,0.069946
24.92,0,5.5,0.2684089,0.000108854,0.05,0.2183
25.1,0,4.5,0.2573306,0.000210626,0.05,0.20712
25.38,0,4.5,0.2330869,0.000186941,0.05,0.1829
25.68,0,5.5,0.3445954,0.00024541,0.05,0.29435
26.99,0,4.5,0.5269005,0.00230054,0.05,0.4746
27.15,0,5.5,0.3176507,8.06868e-05,0.05,0.26757
27.4,0,4.5,0.4848967,0.00109674,0.05,0.4338
28.45,0,4.5,0.7914834,0.00163335,0.05,0.73985
28.75,0,5.5,0.12,0.000135003,0.05,0.069865
29.0,0,5.5,0.6866952,0.00169521,0.05,0.635
29.4,0,4.5,0.2284442,0.00053416,0.05,0.17791
29.75,0,5.5,0.2753833,0.000533317,0.05,0.22485
30.08,0,4.5,0.5390749,0.00103492,0.05,0.48804
30.55,0,4.5,0.4425398,0.000379786,0.05,0.39216
30.98,0,5.5,0.3160347,0.000174685,0.05,0.26586
31.55,0,4.5,0.5528067,0.000646668,0.05,0.50216
32.0,0,5.5,0.4391309,0.000220917,0.05,0.38891
32.35,0,4.5,0.3703847,0.000274736,0.05,0.32011
32.85,0,5.5,0.2958669,0.000156906,0.05,0.24571
33.6,0,5.5,0.8660095,0.000689462,0.05,0.81532
33.85,0,4.5,0.2726971,0.000297066,0.05,0.2224
34.08,0,4.5,0.1333522,2.92226e-05,0.05,0.083323
34.2,0,5.5,0.1921237,0.000233713,0.05,0.14189
34.7,0,4.5,0.8067583,0.00148834,0.05,0.75527
35.0,0,5.5,0.1381806,0.000263578,0.05,0.087917
35.33,0,4.5,0.3827022,0.00109223,0.05,0.33161
35.88,0,5.5,0.5083442,0.00145415,0.05,0.45689
36.35,0,5.5,0.6486366,0.00161658,0.05,0.59702
36.65,0,4.5,0.8989945,0.000964502,0.05,0.84803
37.1,0,5.5,0.16638,0.000189952,0.05,0.11619
