energy,L,J,totalWidth,neutronWidth,captureWidth
-72237.74,1,0.0,90.32645,90.14189,0.1845539
-38171.91,1,1.0,19.43267,18.71183,0.7208393
-35349.98,1,0.0,32.23861,32.05405,0.1845539
-25210.98,1,2.0,8.459365,8.165284,0.2940814
-23956.52,1,1.0,3.428416,2.707577,0.7208393
-20997.27,1,3.0,0.4632955,0.1550709,0.3082246
-18338.55,0,1.0,145.2338,144.6961,0.5376362
-17120.19,0,2.0,47.46568,47.18822,0.2774639
-13810.95,1,2.0,4.744894,4.450813,0.2940814
-13782.53,0,1.0,0.5793195,0.04168329,0.5376362
-13398.47,1,3.0,3.115979,2.807755,0.3082246
-12341.42,1,2.0,0.5799312,0.2858497,0.2940814
-9048.852,1,1.0,2.248184,1.527345,0.7208393
-7773.006,1,3.0,0.9088081,0.6005835,0.3082246
1540.0,0,2.0,23.6985,22.6985,1.0
2630.0,0,2.0,34.12754,33.12755,1.0
11544.71,0,1.0,115.344,114.8064,0.5376362
12763.07,0,2.0,41.02083,40.74337,0.2774639
16100.74,0,1.0,0.5826889,0.04505265,0.5376362
25934.61,0,2.0,11.17949,10.90203,0.2774639
29348.06,0,1.0,273.362,272.8244,0.5376362
31421.05,1,0.0,48.71602,48.53147,0.1845539
34202.14,0,2.0,465.2496,464.9722,0.2774639
41427.97,0,1.0,218.0186,217.481,0.5376362
42646.33,0,2.0,74.75413,74.47667,0.2774639
45984.0,0,1.0,0.6137741,0.0761379,0.5376362
55817.88,0,2.0,16.27135,15.99389,0.2774639
59231.33,0,1.0,388.1246,387.587,0.5376362
61304.31,1,0.0,128.401,128.2165,0.1845539
64085.4,0,2.0,636.7502,636.4728,0.2774639
98192.08,1,0.0,139.384,139.1995,0.1845539
135079.8,1,0.0,216.9027,216.7181,0.1845539
