energy,L,J,totalWidth,neutronWidth,captureWidth
-563.8,0,2.0,10.2,10.0,0.2
-437.8,0,1.0,9.269264,8.97635,0.292914
47.0,0,2.0,0.2912,0.0352,0.256
92.4,0,1.0,0.27533,0.02133,0.254
252.7,0,2.0,0.31624,0.04624,0.27
318.6,0,2.0,0.7704,0.4704,0.3
326.7,0,1.0,0.885,0.54,0.345
455.5,0,1.0,0.38267,0.04267,0.34
476.9,0,1.0,0.354,0.014,0.34
493.3,0,2.0,0.4244,0.1064,0.318
533.4,0,2.0,2.98,2.7,0.28
664.9,0,1.0,0.72667,0.42667,0.3
733.3,0,1.0,1.54467,1.19467,0.35
737.4,0,2.0,2.256,1.956,0.3
874.6,0,2.0,0.304728,0.004728,0.3
895.5,0,1.0,0.49333,0.21333,0.28
929.0,0,2.0,1.179,0.944,0.235
1110.0,0,1.0,0.51,0.18,0.33
1299.0,0,1.0,3.49833,3.17333,0.325
1353.0,0,1.0,0.96833,0.71333,0.255
1443.0,0,2.0,1.652,1.372,0.28
1479.3,0,2.0,0.358,0.04,0.318
1683.0,0,2.0,3.518,3.2,0.318
1739.0,0,2.0,0.32864,0.01064,0.318
1807.0,0,1.0,1.00167,0.76667,0.235
1845.6,0,2.0,0.33208,0.01408,0.318
1904.0,0,2.0,3.208,2.968,0.24
2021.1,0,2.0,0.33304,0.01504,0.318
2049.0,0,1.0,0.6,0.4,0.2
2190.0,0,2.0,0.32696,0.00896,0.318
2232.0,1,2.0,0.3226,0.0046,0.318
2256.0,0,2.0,0.33096,0.01296,0.318
2288.0,0,2.0,0.33704,0.01904,0.318
2330.0,0,2.0,0.32648,0.00848,0.318
2365.0,0,2.0,0.3884,0.0704,0.318
2395.0,0,2.0,0.33208,0.01408,0.318
2403.0,1,0.0,0.3376,0.0196,0.318
2470.0,0,2.0,0.32992,0.01192,0.318
2511.0,0,1.0,1.73333,1.45333,0.28
2577.0,0,2.0,0.33016,0.01216,0.318
2616.0,0,2.0,2.67,2.352,0.318
2676.0,0,1.0,0.1686,0.02067,0.14793
2734.0,0,2.0,4.38,4.05172,0.32828
2751.0,0,2.0,0.323728,0.005728,0.318
2766.0,0,2.0,0.322392,0.004392,0.318
2822.0,0,1.0,4.08,3.71315,0.36685
2840.0,0,2.0,0.33148,0.01348,0.318
2904.0,0,1.0,0.36907,0.046,0.32307
2939.0,0,1.0,0.42288,0.07947,0.34341
2945.0,0,2.0,0.325752,0.007752,0.318
3009.0,0,2.0,0.323392,0.005392,0.318
3083.0,0,1.0,0.46049,0.14249,0.318
3146.0,0,2.0,2.86,2.5163,0.3437
3228.0,0,2.0,0.74743,0.3496,0.39783
3278.0,0,2.0,0.323728,0.005728,0.318
3308.0,0,1.0,0.1165999,0.0276,0.0889999
3425.0,0,2.0,0.323056,0.005056,0.318
3461.0,0,2.0,3.96,3.64978,0.31022
3504.0,0,2.0,0.7362,0.4182,0.318
3510.0,0,2.0,5.79989,5.512,0.28789
3570.0,0,2.0,0.327632,0.009632,0.318
3714.0,0,2.0,5.27,4.92391,0.34609
3731.0,0,2.0,0.33526,0.01726,0.318
3749.0,0,2.0,0.5042999,0.0983999,0.4059
3782.0,1,3.0,0.324286,0.006286,0.318
3822.0,0,2.0,0.52346,0.1784,0.34506
3855.0,0,2.0,3.31,2.97597,0.33403
3928.0,0,2.0,0.34122,0.02322,0.318
3936.0,0,2.0,5.04,4.6992,0.3408
3978.0,0,2.0,0.33077,0.01277,0.318
3990.0,0,2.0,0.34084,0.02284,0.318
4002.0,0,1.0,3.67,3.32504,0.34496
4099.0,0,1.0,0.27505,0.05067,0.22438
4100.0,0,2.0,0.33765,0.01965,0.318
4148.0,0,1.0,0.75316,0.43516,0.318
4245.0,0,2.0,0.32884,0.01084,0.318
4256.0,0,1.0,0.66354,0.34554,0.318
4290.0,0,1.0,1.81,1.49241,0.31759
4358.0,0,2.0,3.91,3.64611,0.26389
4380.0,0,1.0,0.53074,0.21274,0.318
4444.0,1,1.0,0.46161,0.14361,0.318
4471.0,0,1.0,0.22233,0.06533,0.157
4488.0,0,2.0,0.3276,0.0096,0.318
4517.0,0,1.0,3.67,3.27766,0.39234
4580.0,0,2.0,2.21,1.89704,0.31296
4674.0,0,2.0,3.99,3.67677,0.31323
4763.0,0,2.0,4.02,3.70642,0.31358
4781.0,0,1.0,0.44904,0.13104,0.318
4856.0,0,2.0,0.33166,0.01366,0.318
4870.0,0,2.0,0.3313,0.0133,0.318
4877.0,0,1.0,2.14,1.80329,0.33671
4909.0,0,2.0,3.63,3.27615,0.35385
4996.0,0,2.0,0.34084,0.02284,0.318
5009.0,0,2.0,4.27,3.94191,0.32809
5049.0,0,1.0,1.88,1.6461,0.2339
5091.0,0,1.0,3.27,2.89638,0.37362
5160.0,0,2.0,0.323056,0.005056,0.318
5185.0,0,1.0,0.3546099,0.0666699,0.28794
5203.0,0,2.0,0.3285,0.0105,0.318
5304.0,0,1.0,0.45279,0.13479,0.318
5325.0,0,2.0,0.45,0.132,0.318
5391.0,0,1.0,3.57,3.26983,0.30017
5451.0,0,2.0,0.80766,0.472,0.33566
5471.0,0,2.0,0.41953,0.10153,0.318
5490.0,0,2.0,0.36081,0.04281,0.318
5514.0,0,2.0,0.34746,0.02946,0.318
5532.0,0,2.0,0.327288,0.009288,0.318
5565.0,0,2.0,0.35821,0.04021,0.318
5577.0,0,2.0,6.2,5.8608,0.3392
5614.0,0,1.0,7.52,7.15568,0.36432
5712.0,0,1.0,8.84,8.48552,0.35448
5736.0,0,1.0,3.94,3.63254,0.30746
5760.0,0,2.0,1.83,1.50587,0.32413
5775.0,0,2.0,0.3484,0.0304,0.318
5826.0,0,2.0,0.324736,0.006736,0.318
5865.0,0,1.0,3.22,2.89692,0.32308
5906.0,0,2.0,0.320584,0.002584,0.318
5925.0,0,2.0,0.36102,0.04302,0.318
5999.0,0,2.0,6.73,6.38299,0.34701
6022.0,0,2.0,0.3285,0.0105,0.318
6040.0,0,2.0,0.3719,0.0539,0.318
6073.0,0,2.0,2.7,2.44386,0.25614
6151.0,0,2.0,0.323728,0.005728,0.318
6178.0,0,2.0,4.59,4.27753,0.31247
6275.0,0,1.0,0.3845999,0.0853299,0.29927
6306.0,0,2.0,0.36278,0.04478,0.318
6337.0,0,2.0,0.8772,0.5592,0.318
6423.0,0,2.0,5.73,5.40735,0.32265
6448.0,0,2.0,6.99,6.70215,0.28785
6509.0,1,3.0,0.327143,0.009143,0.318
6553.0,0,2.0,2.32,2.00773,0.31227
6601.0,0,2.0,0.358,0.04,0.318
6679.0,0,2.0,0.33821,0.02021,0.318
6729.0,0,2.0,0.4038,0.0858,0.318
6747.0,0,2.0,0.34084,0.02284,0.318
6764.0,0,1.0,0.60337,0.28537,0.318
6803.0,0,2.0,0.3906,0.0726,0.318
6868.0,0,2.0,0.33746,0.01946,0.318
6887.0,0,2.0,0.37403,0.05603,0.318
6905.0,0,2.0,0.49262,0.176,0.31662
6931.0,0,1.0,0.34087,0.02287,0.318
6960.0,0,2.0,5.5,5.13829,0.36171
6976.0,0,1.0,0.62525,0.30725,0.318
7074.0,0,1.0,0.84604,0.56,0.28604
7122.0,0,2.0,2.45,1.97896,0.47104
7262.0,0,1.0,0.35267,0.03467,0.318
7302.0,0,1.0,0.38363,0.06563,0.318
7368.0,0,1.0,0.36481,0.04681,0.318
7379.0,0,2.0,4.73,4.28157,0.44843
7446.0,0,2.0,3.82,3.53563,0.28437
7490.0,0,1.0,0.3968799,0.0788799,0.318
7514.0,0,1.0,0.3449,0.0269,0.318
7530.0,0,1.0,0.34999,0.03199,0.318
7598.0,0,1.0,1.10694,0.81333,0.29361
7628.0,0,2.0,6.33,5.73996,0.59004
7683.0,0,1.0,1.05908,0.7,0.35908
7713.0,0,2.0,0.59013,0.212,0.37813
7735.0,0,1.0,0.34303,0.02503,0.318
7780.0,0,2.0,2.67,2.37275,0.29725
7809.0,0,1.0,0.33076,0.01276,0.318
7851.0,0,1.0,0.37453,0.05653,0.318
7878.0,0,1.0,0.67536,0.35736,0.318
7921.0,0,2.0,0.92584,0.52688,0.39896
7990.0,0,1.0,0.37865,0.06065,0.318
8029.0,0,2.0,4.61,4.26253,0.34747
8060.0,0,1.0,0.423,0.105,0.318
8137.0,0,1.0,0.35325,0.03525,0.318
8245.0,0,2.0,5.95,5.64723,0.30277
8273.0,0,1.0,0.37827,0.06027,0.318
8318.0,0,2.0,4.93,4.61334,0.31666
8342.0,0,1.0,0.47195,0.15395,0.318
8383.0,0,1.0,11.9,11.521,0.379
8449.0,0,2.0,0.33272,0.01472,0.318
8504.0,0,1.0,0.35524,0.03724,0.318
8514.0,0,2.0,3.88,3.44168,0.43832
8540.0,0,1.0,0.38479,0.06679,0.318
8557.0,0,1.0,0.5724,0.296,0.2764
8595.0,0,2.0,1.96,1.67821,0.28179
8650.0,0,2.0,0.37752,0.05952,0.318
8678.0,0,1.0,0.54212,0.22412,0.318
8737.0,0,1.0,0.34584,0.02784,0.318
8773.0,0,2.0,0.91136,0.59336,0.318
8830.0,0,2.0,0.56506,0.24706,0.318
8876.0,0,2.0,3.28,2.92451,0.35549
8904.0,0,2.0,7.02,6.77032,0.24968
8946.0,0,1.0,0.33426,0.01626,0.318
8992.0,0,1.0,0.36306,0.04506,0.318
9033.0,0,2.0,12.09995,11.7166,0.38335
9086.0,0,1.0,0.35657,0.03857,0.318
9101.0,0,2.0,0.42911,0.11111,0.318
9141.0,0,1.0,0.38131,0.06331,0.318
9179.0,0,1.0,0.45013,0.15323,0.2969
9219.0,0,2.0,5.13,4.76312,0.36688
9258.0,0,1.0,0.37269,0.05469,0.318
9322.0,0,1.0,0.39074,0.07274,0.318
9366.0,0,1.0,0.37233,0.05433,0.318
9379.0,0,2.0,3.7,3.27628,0.42372
9438.0,0,1.0,0.53838,0.25893,0.27945
9525.0,0,2.0,7.37,7.00345,0.36655
9547.0,0,2.0,0.8908,0.5728,0.318
9561.0,0,1.0,1.98,1.56732,0.41268
9621.0,0,1.0,0.3325,0.0145,0.318
9648.0,0,2.0,0.77842,0.47144,0.30698
9683.0,0,2.0,4.6,4.13128,0.46872
9724.0,0,1.0,0.34806,0.03006,0.318
9778.0,0,1.0,0.56982,0.25182,0.318
9804.0,0,1.0,0.43314,0.11514,0.318
9902.0,0,1.0,0.61016,0.29216,0.318
9994.0,0,2.0,0.4761,0.1581,0.318
10010.0,0,2.0,0.49319,0.17519,0.318
10080.0,0,2.0,3.62,3.29283,0.32717
10100.0,0,2.0,1.10205,0.78405,0.318
10130.0,0,2.0,1.07396,0.75596,0.318
10160.0,0,1.0,0.61213,0.29413,0.318
10230.0,0,2.0,25.79996,25.4071,0.39286
10260.0,0,2.0,0.57223,0.25423,0.318
10310.0,0,2.0,0.50341,0.18541,0.318
10370.0,0,1.0,0.3985399,0.0805399,0.318
10430.0,0,2.0,7.19,6.82917,0.36083
10450.0,0,1.0,0.45225,0.13425,0.318
10550.0,0,2.0,0.49825,0.18025,0.318
10570.0,0,2.0,0.50867,0.19067,0.318
10620.0,0,1.0,0.34026,0.02226,0.318
10640.0,0,1.0,0.61508,0.29708,0.318
10700.0,0,1.0,0.3449,0.0269,0.318
10730.0,0,1.0,0.33279,0.01479,0.318
10770.0,0,2.0,1.08131,0.76331,0.318
10810.0,0,2.0,3.89,3.55238,0.33762
10830.0,0,1.0,0.62525,0.30725,0.318
10890.0,0,1.0,0.34179,0.02379,0.318
10930.0,0,2.0,2.08,1.76445,0.31555
10940.0,0,1.0,0.48093,0.16293,0.318
11070.0,0,1.0,0.50394,0.18594,0.318
11110.0,0,2.0,0.48191,0.16391,0.318
11190.0,0,2.0,9.51,8.99436,0.51564
11250.0,0,2.0,5.67,5.23371,0.43629
11340.0,0,2.0,23.6,23.0993,0.5007
11370.0,0,1.0,0.99925,0.68125,0.318
11420.0,0,1.0,0.45011,0.13211,0.318
11450.0,0,2.0,0.57171,0.25371,0.318
11500.0,0,1.0,0.46558,0.14758,0.318
11540.0,0,1.0,0.65802,0.34002,0.318
11560.0,0,2.0,1.41235,1.09435,0.318
11680.0,0,1.0,0.59766,0.27966,0.318
11700.0,0,2.0,12.79995,12.3209,0.47905
11730.0,0,2.0,0.86876,0.55076,0.318
11800.0,0,1.0,0.6694,0.3514,0.318
11850.0,0,2.0,12.59996,12.1258,0.47416
11940.0,0,1.0,0.36657,0.04857,0.318
11960.0,0,1.0,0.56726,0.24926,0.318
