energy,L,J,totalWidth,neutronWidth,captureWidth
-6.7,0,0.5,0.101056,0.001056,0.1
46.3,0,0.5,0.157,0.035,0.122
57.9,0,0.5,0.269,0.159,0.11
136.2,0,0.5,0.38,0.3,0.08
184.5,0,0.5,0.33,0.23,0.1
213.0,0,0.5,0.101,0.001,0.1
287.0,0,0.5,0.136,0.036,0.1
336.0,0,0.5,0.205,0.105,0.1
358.0,0,0.5,0.104,0.004,0.1
380.0,0,0.5,1.492,1.447,0.045
445.0,0,0.5,0.175,0.075,0.1
558.0,0,0.5,0.11,0.01,0.1
582.0,0,0.5,0.16,0.06,0.1
698.0,0,0.5,0.225,0.125,0.1
713.0,0,0.5,0.145,0.045,0.1
744.0,0,0.5,0.255,0.155,0.1
837.0,0,0.5,0.295,0.195,0.1
850.0,0,0.5,0.26,0.16,0.1
903.0,0,0.5,0.185,0.085,0.1
1098.0,0,0.5,0.39,0.29,0.1
1172.0,0,0.5,0.45,0.35,0.1
1250.0,0,0.5,0.105,0.005,0.1
1266.0,0,0.5,0.16,0.06,0.1
1416.0,0,0.5,0.295,0.195,0.1
1468.0,0,0.5,0.22,0.12,0.1
1482.0,0,0.5,0.175,0.075,0.1
1534.0,0,0.5,0.525,0.425,0.1
1576.0,0,0.5,0.6,0.5,0.1
1599.0,0,0.5,0.64,0.54,0.1
1685.0,0,0.5,0.52,0.42,0.1
1721.0,0,0.5,1.1,1.0,0.1
1784.0,0,0.5,0.98,0.88,0.1
1824.0,0,0.5,0.42,0.32,0.1
1934.0,0,0.5,2.1,2.0,0.1
2095.0,0,0.5,0.28,0.18,0.1
2121.0,0,0.5,0.6,0.5,0.1
2155.0,0,0.5,0.24,0.14,0.1
2387.0,0,0.5,0.67,0.57,0.1
2456.0,0,0.5,0.405,0.305,0.1
2486.0,0,0.5,0.305,0.205,0.1
2775.0,0,0.5,0.26,0.16,0.1
