energy,L,J,totalWidth,neutronWidth,captureWidth
800.0,0,5.0,4.6751,4.6364,0.0387
2310.0,0,4.0,17.935,17.889,0.046
3348.0,1,6.0,0.11349,0.073846,0.039646
4456.0,1,5.0,0.19813,0.17273,0.0254
5112.0,0,5.0,5.6964,5.6364,0.06
6286.0,1,4.0,0.1552,0.11556,0.039646
6524.0,1,3.0,0.98264,0.95714,0.0255
9013.0,1,6.0,0.43069,0.40769,0.023
9154.0,1,5.0,0.28039,0.25909,0.0213
9708.0,1,4.0,0.19074,0.10444,0.0863
9760.0,1,3.0,0.9473,0.9,0.0473
12098.0,0,4.0,259.01,258.89,0.117
15510.0,0,4.0,114.55,114.44,0.11
17440.0,1,6.0,1.5737,1.5385,0.0352
17820.0,0,5.0,0.51304,0.46364,0.0494
20860.0,1,5.0,0.98185,0.95455,0.0273
21050.0,1,4.0,7.4774,7.4444,0.033
23120.0,1,6.0,0.23299,0.20769,0.0253
23900.0,0,5.0,0.1115,0.1,0.0115
25260.0,1,5.0,23.702,23.636,0.0652
27040.0,0,4.0,24.527,24.444,0.083
28770.0,1,3.0,2.4527,2.4286,0.0241
29010.0,1,6.0,2.0185,2.0,0.0185
29190.0,1,4.0,4.4708,4.4444,0.0264
29510.0,1,5.0,3.2942,3.2727,0.0215
32720.0,1,6.0,2.0096,2.0,0.0096
32900.0,0,5.0,0.96565,0.90909,0.056558
33310.0,0,4.0,266.77,266.67,0.106
34670.0,1,3.0,3.7757,3.7143,0.0614
37240.0,1,4.0,14.135,14.111,0.0236
39150.0,1,5.0,2.411,2.3636,0.0474
42380.0,1,6.0,16.964,16.923,0.0405
45540.0,0,5.0,150.97,150.91,0.057
45880.0,0,5.0,5.8747,5.8182,0.056558
46490.0,1,6.0,5.8832,5.8462,0.037
48410.0,1,5.0,2.5851,2.5455,0.039646
49670.0,1,4.0,2.4841,2.4444,0.039646
49850.0,0,4.0,9.7107,9.6667,0.044
50760.0,1,3.0,15.754,15.714,0.039646
52680.0,0,5.0,22.465,22.455,0.01
53610.0,0,4.0,5.7232,5.6667,0.056558
53730.0,0,4.0,41.139,41.111,0.028
54200.0,1,6.0,11.664,11.615,0.0484
55410.0,1,5.0,9.3949,9.3636,0.0313
56850.0,0,5.0,4.4202,4.3636,0.056558
58270.0,1,4.0,3.4841,3.4444,0.039646
60580.0,1,6.0,2.655,2.6154,0.039646
61600.0,0,5.0,78.259,78.182,0.077
62990.0,1,3.0,11.325,11.286,0.039646
63720.0,1,5.0,3.9487,3.9091,0.039646
67160.0,1,6.0,10.809,10.769,0.039646
68390.0,1,4.0,7.8174,7.7778,0.039646
68580.0,1,5.0,4.2215,4.1818,0.039646
69140.0,0,5.0,471.92,471.82,0.104
70670.0,1,6.0,16.193,16.154,0.039646
71680.0,1,3.0,11.325,11.286,0.039646
72610.0,0,4.0,22.261,22.222,0.039
73070.0,0,5.0,4.602,4.5455,0.056558
79700.0,1,4.0,15.595,15.556,0.039646
81630.0,0,5.0,171.84,171.82,0.023
84260.0,1,5.0,18.874,18.727,0.147
84620.0,1,6.0,14.193,14.154,0.039646
85190.0,0,4.0,264.47,264.44,0.03
89510.0,1,6.0,8.2704,8.2308,0.039646
91070.0,1,5.0,8.4033,8.3636,0.039646
91490.0,1,4.0,14.929,14.889,0.039646
92940.0,1,3.0,15.754,15.714,0.039646
94090.0,0,4.0,3.7232,3.6667,0.056558
94810.0,1,6.0,11.886,11.846,0.039646
95350.0,0,4.0,400.04,400.0,0.041
99450.0,0,5.0,5.1475,5.0909,0.056558
102490.0,0,5.0,621.87,621.82,0.056558
107330.0,0,4.0,120.06,120.0,0.056558
108730.0,0,5.0,159.15,159.09,0.056558
112660.0,0,4.0,433.39,433.33,0.056558
118070.0,0,5.0,318.24,318.18,0.056558
122700.0,0,5.0,38.238,38.182,0.056558
132330.0,0,4.0,124.5,124.44,0.056558
135750.0,0,5.0,613.69,613.64,0.056558
149700.0,0,4.0,686.72,686.67,0.056558
149900.0,0,5.0,227.33,227.27,0.056558
163300.0,0,4.0,124.5,124.44,0.056558
164000.0,0,5.0,71.875,71.818,0.056558
168400.0,0,4.0,347.83,347.78,0.056558
174400.0,0,5.0,259.15,259.09,0.056558
177900.0,0,5.0,1418.2,1418.2,0.056558
185700.0,0,4.0,1994.5,1994.4,0.056558
189500.0,0,5.0,53.693,53.636,0.056558
193900.0,0,4.0,377.83,377.78,0.056558
202200.0,0,5.0,29.147,29.091,0.056558
204100.0,0,4.0,33.39,33.333,0.056558
205300.0,0,5.0,88.238,88.182,0.056558
210300.0,0,4.0,44.501,44.444,0.056558
213100.0,0,5.0,472.78,472.73,0.056558
221000.0,0,4.0,51.168,51.111,0.056558
225100.0,0,5.0,290.97,290.91,0.056558
233900.0,0,5.0,492.78,492.73,0.056558
240000.0,0,4.0,1695.6,1695.6,0.056558
246900.0,0,5.0,854.6,854.55,0.056558
253500.0,0,4.0,344.5,344.44,0.056558
261300.0,0,5.0,286.42,286.36,0.056558
263700.0,0,4.0,2122.3,2122.2,0.056558
