energy,L,J,totalWidth,neutronWidth,captureWidth
-11384.95,1,0.5,0.06985448,0.05394463,0.01590985
-7092.99,0,0.5,0.7473729,0.7302647,0.01710828
-6984.268,1,0.5,0.02807767,0.01216782,0.01590985
-6033.419,1,1.5,0.03018717,0.01396218,0.01622499
-3739.658,1,1.5,0.01975521,0.003530223,0.01622499
-2051.55,1,0.5,0.01780695,0.001897099,0.01590985
-1930.17,0,0.5,0.07223884,0.05513056,0.01710828
-763.5227,0,0.5,0.7021357,0.6850274,0.01710828
-553.8162,1,1.5,0.01638319,0.0001581964,0.01622499
110.0001,0,0.5,0.1080498,0.09094149,0.01710828
5272.82,0,0.5,0.1082287,0.09112046,0.01710828
6439.467,0,0.5,2.006508,1.9894,0.01710828
7312.99,0,0.5,0.7586113,0.7415031,0.01710828
12354.43,1,0.5,0.04307491,0.02716506,0.01590985
12475.81,0,0.5,0.1572699,0.1401616,0.01710828
13642.46,0,0.5,2.91274,2.895631,0.01710828
13852.16,1,1.5,0.03522498,0.01899999,0.01622499
16145.93,1,1.5,0.07550707,0.05928208,0.01622499
16755.11,1,0.5,0.1106828,0.09477296,0.01590985
