energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-0.167,0,4.0,0.0359175,1.75e-05,0.0357,0.0002
0.195,0,3.0,0.036217,0.000117,0.0359,0.0002
1.338,0,3.0,0.035498,0.000198,0.0351,0.0002
1.6,0,4.0,0.033973,0.000573,0.0332,0.0002
2.149,0,4.0,0.037007,0.000107,0.0367,0.0002
3.112,0,3.0,0.037345,0.000145,0.037,0.0002
5.019,0,4.0,0.044731,0.000231,0.0443,0.0002
6.281,0,4.0,0.034147,0.000147,0.0338,0.0002
7.043,0,4.0,0.039365,0.000165,0.039,0.0002
7.992,0,4.0,0.037712,0.001412,0.0361,0.0002
10.59,0,3.0,0.036071,0.000171,0.0357,0.0002
11.69,0,3.0,0.03658,0.00068,0.0357,0.0002
14.29,0,4.0,0.036599,0.000699,0.0357,0.0002
15.01,0,4.0,0.03797,0.00207,0.0357,0.0002
15.73,0,3.0,0.037305,0.001405,0.0357,0.0002
18.16,0,3.0,0.036747,0.000847,0.0357,0.0002
19.02,0,4.0,0.036319,0.000419,0.0357,0.0002
19.85,0,3.0,0.04340999,0.00750999,0.0357,0.0002
21.1,0,4.0,0.036406,0.000506,0.0357,0.0002
24.06,0,4.0,0.036824,0.000924,0.0357,0.0002
24.67,0,3.0,0.03744,0.00154,0.0357,0.0002
30.24,0,4.0,0.03693,0.00103,0.0357,0.0002
30.71,0,3.0,0.03777,0.00187,0.0357,0.0002
35.83,0,4.0,0.03804,0.00214,0.0357,0.0002
36.93,0,3.0,0.04872,0.01282,0.0357,0.0002
40.31,0,4.0,0.04123,0.00533,0.0357,0.0002
40.99,0,3.0,0.03771,0.00181,0.0357,0.0002
43.76,0,4.0,0.03779,0.00189,0.0357,0.0002
44.77,0,3.0,0.04006,0.00416,0.0357,0.0002
46.76,0,4.0,0.04244,0.00654,0.0357,0.0002
51.85,0,4.0,0.03882,0.00292,0.0357,0.0002
54.06,0,4.0,0.03824,0.00234,0.0357,0.0002
56.67,0,3.0,0.04141,0.00551,0.0357,0.0002
57.91,0,4.0,0.04146,0.00556,0.0357,0.0002
61.19,0,3.0,0.03935,0.00345,0.0357,0.0002
61.76,0,4.0,0.03719,0.00129,0.0357,0.0002
81.69,0,3.0,0.0482,0.0123,0.0357,0.0002
83.47,0,4.0,0.03929,0.00339,0.0357,0.0002
84.77,0,4.0,0.03883,0.00293,0.0357,0.0002
98.98,0,3.0,0.0409,0.005,0.0357,0.0002
