energy,L,J,totalWidth,neutronWidth,captureWidth
-30.0,0,1.0,0.368482,0.04886,0.319622
35.8,0,2.0,0.32,0.04134,0.27866
53.7,0,1.0,0.38,0.03171,0.34829
157.9,0,2.0,0.30848,0.00048,0.308
189.5,0,1.0,0.35001,0.0838,0.26621
192.5,0,2.0,0.31107,0.00307,0.308
211.6,0,2.0,0.30896,0.00096,0.308
238.9,0,2.0,0.84,0.53794,0.30206
292.5,0,1.0,0.30961,0.00161,0.308
294.3,0,1.0,0.38,0.07293,0.30707
318.6,0,2.0,0.86,0.55675,0.30325
394.6,0,2.0,0.40011,0.10168,0.29843
464.2,0,2.0,0.30977,0.00177,0.308
468.2,0,1.0,0.4495,0.08652,0.36298
482.7,0,1.0,0.38564,0.0995799,0.28606
490.8,0,2.0,0.30945,0.00145,0.308
510.2,0,2.0,0.30848,0.00048,0.308
548.2,0,1.0,0.31151,0.00351,0.308
564.9,0,2.0,0.8,0.49666,0.30334
604.0,0,1.0,0.85,0.48685,0.36315
637.9,0,1.0,0.44968,0.1212,0.32848
646.2,0,2.0,0.633,0.325,0.308
749.7,0,2.0,0.6,0.36609,0.23391
788.3,0,2.0,0.9,0.5103,0.3897
800.7,0,1.0,0.31123,0.00323,0.308
814.1,0,2.0,0.31042,0.00242,0.308
818.4,0,1.0,0.31042,0.00242,0.308
831.7,0,2.0,0.3911,0.04153,0.34957
870.2,0,2.0,0.31604,0.00804,0.308
892.7,0,2.0,0.2871,0.04063,0.24647
914.8,0,2.0,0.31009,0.00209,0.308
930.5,0,1.0,0.81,0.49117,0.31883
1012.0,0,2.0,0.31042,0.00242,0.308
1025.0,0,1.0,0.32369,0.01569,0.308
1031.0,0,2.0,0.30993,0.00193,0.308
1043.0,0,2.0,0.40167,0.0465,0.35517
1138.0,0,2.0,0.31354,0.00554,0.308
1165.0,0,1.0,0.12039,0.01456,0.10583
1187.0,0,1.0,0.42898,0.0643099,0.36467
1192.0,0,1.0,0.31123,0.00323,0.308
1201.0,0,2.0,2.41,2.08024,0.32976
1228.0,0,2.0,0.34612,0.03812,0.308
1239.0,0,2.0,0.31123,0.00323,0.308
1296.0,0,2.0,0.3152,0.0072,0.308
1301.0,0,2.0,0.30929,0.00129,0.308
1312.0,0,2.0,0.34093,0.04346,0.29747
1317.0,0,2.0,0.31189,0.00389,0.308
1349.0,0,2.0,0.3088,0.0008,0.308
1362.0,0,2.0,0.31074,0.00274,0.308
1380.0,0,1.0,0.45166,0.10899,0.34267
1391.0,0,2.0,0.31107,0.00307,0.308
1415.0,0,2.0,0.31337,0.00537,0.308
1448.0,0,2.0,0.31189,0.00389,0.308
1455.0,0,2.0,1.15,0.8825,0.2675
1464.0,0,2.0,0.32417,0.01617,0.308
1470.0,0,1.0,1.08,0.77729,0.30271
1483.0,0,2.0,0.32631,0.01831,0.308
1531.0,0,2.0,2.57,2.25932,0.31068
1572.0,0,2.0,0.44878,0.11416,0.33462
1590.0,0,2.0,1.41,1.10015,0.30985
1634.0,0,1.0,0.39074,0.01617,0.37457
1651.0,0,2.0,0.31205,0.00405,0.308
1674.0,0,2.0,0.31437,0.00637,0.308
1686.0,0,1.0,0.31343,0.00543,0.308
1720.0,0,1.0,1.0622,0.71913,0.34307
1723.0,0,1.0,0.71722,0.40922,0.308
1734.0,0,1.0,0.31233,0.00433,0.308
1744.0,0,2.0,0.32559,0.01759,0.308
1772.0,0,1.0,1.26,0.95391,0.30609
1785.0,0,2.0,0.31504,0.00704,0.308
1803.0,0,1.0,0.33466,0.02666,0.308
1829.0,0,2.0,2.3,1.97928,0.32072
1874.0,0,2.0,3.27,2.92718,0.34282
1948.0,0,2.0,0.31554,0.00754,0.308
1969.0,0,2.0,0.7,0.38628,0.31372
2002.0,0,1.0,0.31565,0.00764999,0.308
2081.0,0,1.0,1.58,1.27498,0.30502
2096.0,0,2.0,1.12,0.82773,0.29227
2136.0,0,2.0,0.31554,0.00754,0.308
2199.0,0,2.0,0.47418,0.22509,0.24909
2207.0,0,1.0,2.17261,2.00533,0.16728
2211.0,0,1.0,0.4381,0.1301,0.308
2217.0,0,2.0,0.3137,0.0057,0.308
2230.0,0,1.0,0.31426,0.00626,0.308
2260.0,0,2.0,0.36086,0.05286,0.308
2285.0,0,2.0,0.34114,0.03314,0.308
2340.0,0,1.0,1.52,1.21511,0.30489
2369.0,0,2.0,0.62,0.33946,0.28054
2380.0,0,2.0,0.73,0.38824,0.34176
2398.0,0,2.0,0.31172,0.00372,0.308
2463.0,0,1.0,0.43225,0.12425,0.308
2468.0,0,2.0,0.64,0.36853,0.27147
2491.0,0,2.0,0.31757,0.00957,0.308
2506.0,0,2.0,0.91001,0.61088,0.29913
2516.0,0,1.0,4.52,4.17909,0.34091
2579.0,0,2.0,0.95,0.64241,0.30759
2595.0,0,2.0,0.88,0.61236,0.26764
2691.0,0,2.0,0.64923,0.0996,0.54963
2710.0,0,2.0,0.81,0.49217,0.31783
2729.0,0,1.0,0.2017,0.0696499,0.13205
2760.0,0,2.0,0.62508,0.12606,0.49902
2771.0,0,1.0,0.79,0.49725,0.29275
2850.0,0,1.0,0.31654,0.00854,0.308
2896.0,0,1.0,1.72,1.42318,0.29682
2927.0,0,2.0,0.61,0.32737,0.28263
2957.0,0,2.0,0.8417,0.52212,0.31958
2970.0,0,1.0,0.66421,0.29065,0.37356
2991.0,0,1.0,0.36449,0.05649,0.308
3000.0,0,2.0,0.31893,0.01093,0.308
3008.0,0,1.0,0.37134,0.0633399,0.308
3100.0,0,1.0,0.38964,0.0816399,0.308
3167.0,0,2.0,3.1,2.76244,0.33756
3221.0,0,2.0,2.73,2.36811,0.36189
3262.0,0,1.0,0.32908,0.02108,0.308
3287.0,0,2.0,0.3363,0.0283,0.308
3327.0,0,2.0,0.9,0.54767,0.35233
3345.0,0,1.0,3.02,2.64167,0.37833
3357.0,0,1.0,0.34673,0.03873,0.308
3363.0,0,2.0,0.31757,0.00957,0.308
3385.0,0,2.0,0.3388,0.0308,0.308
3399.0,0,1.0,0.6544,0.31103,0.34337
3435.0,0,2.0,0.44626,0.0656599,0.3806
3452.0,0,2.0,0.32595,0.01795,0.308
3481.0,0,2.0,0.32364,0.01564,0.308
3488.0,0,1.0,0.35432,0.04632,0.308
3507.0,0,2.0,0.47187,0.12321,0.34866
3516.0,0,2.0,0.32957,0.02157,0.308
3527.0,0,1.0,0.55239,0.24439,0.308
3619.0,0,2.0,0.35567,0.04767,0.308
3624.0,0,2.0,0.50193,0.24083,0.2611
3705.0,0,2.0,0.34612,0.03812,0.308
3717.0,0,1.0,1.61,1.29286,0.31714
3741.0,0,1.0,0.46615,0.09789,0.36826
3793.0,0,1.0,0.3234,0.0154,0.308
3830.0,0,2.0,0.32434,0.01634,0.308
3857.0,0,1.0,2.33808,2.0707,0.26738
3860.0,0,2.0,0.70166,0.39366,0.308
3880.0,0,2.0,0.33497,0.02697,0.308
3893.0,0,2.0,0.4837,0.24964,0.23406
3907.0,0,1.0,0.32817,0.02017,0.308
3936.0,0,2.0,0.65444,0.35137,0.30307
4002.0,0,1.0,0.4286,0.1206,0.308
4025.0,0,2.0,0.74576,0.40603,0.33973
4037.0,0,1.0,0.3234,0.0154,0.308
4048.0,0,2.0,0.47432,0.16632,0.308
4050.0,0,1.0,1.02152,0.71268,0.30884
4094.0,0,2.0,0.53317,0.12288,0.41029
4139.0,0,2.0,1.45,1.15328,0.29672
4173.0,0,2.0,0.49992,0.19192,0.308
4184.0,0,2.0,4.21,3.90353,0.30647
4217.0,0,2.0,0.31058,0.00258,0.308
4274.0,0,2.0,0.60193,0.29393,0.308
4279.0,0,2.0,1.6452,1.36061,0.28459
4342.0,0,2.0,0.46354,0.05272,0.41082
4377.0,0,2.0,0.6242,0.3176,0.3066
4405.0,0,2.0,0.88,0.54138,0.33862
4436.0,0,1.0,0.34808,0.04008,0.308
4458.0,0,2.0,2.04,1.72053,0.31947
4468.0,0,1.0,0.82157,0.51357,0.308
4519.0,0,2.0,0.34114,0.03314,0.308
4529.0,0,2.0,0.49244,0.18444,0.308
4570.0,0,1.0,0.36243,0.09017,0.27226
4641.0,0,2.0,1.98,1.6571,0.3229
4650.0,0,1.0,0.95887,0.65087,0.308
4712.0,0,2.0,1.03,0.78804,0.24196
4715.0,0,1.0,0.39395,0.08595,0.308
4773.0,0,2.0,0.85,0.57933,0.27067
4785.0,0,2.0,0.4229,0.1149,0.308
4808.0,0,2.0,0.32921,0.02121,0.308
4837.0,0,1.0,0.32787,0.01987,0.308
4852.0,0,2.0,0.31238,0.00437999,0.308
4875.0,0,2.0,0.32848,0.02048,0.308
4919.0,0,1.0,0.36636,0.05836,0.308
4930.0,0,1.0,0.32939,0.02139,0.308
4962.0,0,2.0,2.07,1.83542,0.23458
4968.0,0,1.0,0.36411,0.05611,0.308
4993.0,0,2.0,0.34291,0.03491,0.308
5013.0,0,2.0,0.66655,0.26063,0.40592
5028.0,0,1.0,0.22447,0.189,0.03547
5047.0,0,2.0,0.40388,0.09588,0.308
5066.0,0,1.0,0.34571,0.03771,0.308
5121.0,0,2.0,0.84158,0.40082,0.44076
5138.0,0,2.0,0.31354,0.00554,0.308
5155.0,0,1.0,5.79,5.44974,0.34026
5175.0,0,2.0,0.31571,0.00770999,0.308
5190.0,0,2.0,0.34036,0.03236,0.308
5227.0,0,2.0,0.32417,0.01617,0.308
5235.0,0,2.0,0.37764,0.06964,0.308
5249.0,0,1.0,0.33092,0.02292,0.308
5260.0,0,1.0,1.1156,0.77383,0.34177
5288.0,0,2.0,0.36599,0.05799,0.308
5297.0,0,2.0,0.46861,0.13976,0.32885
5319.0,0,2.0,0.31825,0.01025,0.308
5343.0,0,2.0,0.32223,0.01423,0.308
5356.0,0,2.0,0.43557,0.11706,0.31851
5375.0,0,2.0,0.32293,0.01493,0.308
5395.0,0,2.0,0.8063,0.47021,0.33609
5428.0,0,1.0,1.09623,0.78608,0.31015
5449.0,0,2.0,0.34291,0.03491,0.308
5536.0,0,2.0,0.33253,0.02453,0.308
5559.0,0,2.0,0.34733,0.03933,0.308
5584.0,0,2.0,0.35482,0.04682,0.308
5607.0,0,2.0,0.32188,0.01388,0.308
5636.0,0,2.0,0.36667,0.05867,0.308
5700.0,0,2.0,0.34876,0.04076,0.308
5713.0,0,2.0,0.36918,0.06118,0.308
5743.0,0,1.0,0.34842,0.04042,0.308
5753.0,0,1.0,0.40321,0.20225,0.20096
5801.0,0,2.0,0.32703,0.01903,0.308
5872.0,0,2.0,0.89158,0.58358,0.308
5881.0,0,2.0,1.03654,0.72854,0.308
5897.0,0,1.0,2.29011,2.04831,0.2418
5911.0,0,2.0,0.34571,0.03771,0.308
5922.0,0,2.0,0.57507,0.26707,0.308
5947.0,0,2.0,0.32957,0.02157,0.308
5994.0,0,2.0,2.79762,2.47871,0.31891
6003.0,0,2.0,0.40471,0.09671,0.308
6018.0,0,2.0,0.48321,0.17521,0.308
6026.0,0,2.0,0.99158,0.74559,0.24599
6065.0,0,1.0,0.8051,0.41552,0.38958
6074.0,0,1.0,1.04938,0.74138,0.308
6118.0,0,1.0,0.38334,0.07534,0.308
6143.0,0,2.0,0.31604,0.00804,0.308
6161.0,0,1.0,0.39395,0.08595,0.308
6171.0,0,2.0,0.50331,0.19531,0.308
6188.0,0,2.0,8.25,7.80361,0.44639
6214.0,0,2.0,0.35104,0.04304,0.308
6230.0,0,2.0,0.31487,0.00687,0.308
6305.0,0,2.0,0.45087,0.14287,0.308
6318.0,0,1.0,1.03835,0.84798,0.19037
6327.0,0,1.0,0.63299,0.32499,0.308
6339.0,0,2.0,0.32434,0.01634,0.308
6365.0,0,2.0,0.36352,0.05552,0.308
6396.0,0,2.0,2.56,2.24976,0.31024
6404.0,0,1.0,0.39792,0.08992,0.308
