energy,L,J,totalWidth,neutronWidth,captureWidth
-1085.0,0,3.0,82.94,80.0,2.94
1480.0,1,3.0,150.13,149.0,1.13
3330.0,0,4.0,1.17,0.5,0.67
4324.0,0,4.0,50.52,50.0,0.52
5189.0,0,4.0,100.87,100.0,0.87
6976.0,0,3.0,10.72,10.0,0.72
8823.0,0,4.0,249.68,249.0,0.68
10490.0,0,4.0,1.69,1.0,0.69
13950.0,0,4.0,303.0,302.0,1.0
14350.0,0,3.0,31.14,30.3,0.84
16640.0,0,3.0,2.76,2.0,0.76
19270.0,0,4.0,280.65,280.0,0.65
20290.0,0,3.0,3.46,2.7,0.76
21410.0,0,3.0,48.79,48.0,0.79
21940.0,1,3.0,6.16,5.7,0.46
22930.0,0,4.0,302.57,302.0,0.57
24180.0,1,2.0,4.62,3.7,0.92
24350.0,0,3.0,10.22,9.4,0.82
24700.0,1,2.0,4.14,3.4,0.74
27050.0,0,4.0,650.57,650.0,0.57
27340.0,0,3.0,2.85,2.0,0.85
29670.0,0,4.0,200.66,200.0,0.66
29800.0,0,4.0,9.95,9.2,0.75
31080.0,0,4.0,160.66,160.0,0.66
31500.0,0,4.0,6.52,5.8,0.72
37150.0,0,4.0,250.1,249.0,1.1
