energy,L,J,totalWidth,neutronWidth,captureWidth
-35.04026,1,1.0,8.011168,2.262674e-07,8.011168
-24.26084,0,2.0,6.994485,0.0009283958,6.993557
-24.00178,1,1.0,8.011168,1.361681e-08,8.011168
-19.14652,1,4.0,6.040895,1.58878e-06,6.040893
-18.26478,1,3.0,6.703533,2.488589e-06,6.70353
-16.81822,0,3.0,6.536522,5.053434e-06,6.536517
-16.11762,1,2.0,7.167399,1.151437e-07,7.167399
-15.67805,0,2.0,6.993573,1.641501e-05,6.993557
-13.91725,1,1.0,8.01117,2.959869e-06,8.011168
-13.27357,1,2.0,7.1674,1.507314e-06,7.167399
-12.85179,1,4.0,6.040894,1.487981e-07,6.040893
-11.61622,1,3.0,6.70353,1.316898e-07,6.70353
-8.817728,0,3.0,6.53716,0.0006432498,6.536517
-7.502512,1,4.0,6.040894,5.701439e-08,6.040893
-5.847452,0,3.0,6.536684,0.0001667474,6.536517
-4.85084,1,2.0,7.167399,1.025291e-07,7.167399
-4.035013,1,3.0,6.70353,1.659356e-08,6.70353
-1.034342,0,2.0,6.993557,8.469662e-08,6.993557
3.947497,0,2.0,6.994037,0.0004800489,6.993557
4.651058,0,3.0,6.537105,0.0005880438,6.536517
16.41635,0,3.0,6.54053,0.004013208,6.536517
17.42908,0,2.0,6.999191,0.005634538,6.993557
28.12432,0,2.0,6.995498,0.001941414,6.993557
30.95351,0,3.0,6.536665,0.0001482875,6.536517
33.73618,0,3.0,6.537131,0.0006136317,6.536517
37.67571,0,2.0,6.998866,0.005309605,6.993557
37.99517,0,3.0,6.548137,0.01161943,6.536517
46.22408,0,2.0,7.004944,0.01138753,6.993557
47.19118,0,3.0,6.541651,0.005133467,6.536517
54.55855,0,3.0,6.53661,9.334212e-05,6.536517
58.89302,0,2.0,6.997745,0.004188532,6.993557
60.55548,0,3.0,6.539259,0.002741415,6.536517
68.3168,0,3.0,6.542223,0.005705845,6.536517
69.22524,0,2.0,7.009496,0.01593977,6.993557
72.02724,0,2.0,6.999898,0.006341273,6.993557
72.27918,0,3.0,6.541396,0.004879324,6.536517
74.62717,0,3.0,6.540541,0.004024214,6.536517
76.88013,0,2.0,7.028893,0.03533641,6.993557
