energy,L,J,totalWidth,neutronWidth,captureWidth
-7.1,0,6.0,0.085605,0.003605,0.082
58.0,1,6.0,0.1340905,9.046153e-05,0.134
115.0,0,6.0,0.09769231,0.01569231,0.082
230.0,0,5.0,0.1132,0.0312,0.082
232.0,1,7.0,0.134128,0.000128,0.134
290.0,1,5.0,0.1354182,0.001418182,0.134
345.0,0,6.0,0.3127692,0.2307692,0.082
348.0,1,6.0,0.1349231,0.0009230769,0.134
406.0,1,7.0,0.13472,0.00072,0.134
460.0,0,5.0,0.202,0.12,0.082
464.0,1,4.0,0.138,0.004,0.134
522.0,1,5.0,0.1346546,0.0006545455,0.134
575.0,0,6.0,0.2112308,0.1292308,0.082
580.0,1,6.0,0.1358462,0.001846154,0.134
638.0,1,4.0,0.1370667,0.003066667,0.134
690.0,0,6.0,1.189692,1.107692,0.082
696.0,1,5.0,0.1381455,0.004145455,0.134
754.0,1,6.0,0.1378769,0.003876923,0.134
805.0,0,5.0,0.262,0.18,0.082
812.0,1,4.0,0.1444,0.0104,0.134
870.0,1,4.0,0.1364,0.0024,0.134
920.0,0,5.0,0.1343636,0.05236363,0.082
928.0,1,4.0,0.154,0.02,0.134
986.0,1,7.0,0.13808,0.00408,0.134
1000.0,0,5.0,0.09945455,0.01745455,0.082
