energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-3.5,0,0.5,0.08805,0.00305,0.035,0.05
1.4,0,0.5,0.1650192,1.92e-05,0.035,0.13
24.55,0,0.5,0.07024197,0.00024197,0.035,0.035
36.35,0,0.5,0.083117,0.013117,0.035,0.035
68.37,0,0.5,0.2685,0.0535,0.035,0.18
79.16,0,0.5,0.0739871,0.0039871,0.035,0.035
88.25,0,0.5,0.07024978,0.00024978,0.035,0.035
138.1,0,0.5,0.071706,0.001706,0.035,0.035
190.1,0,0.5,0.0717918,0.0017918,0.035,0.035
217.7,0,0.5,0.22999,0.15999,0.035,0.035
246.2,0,0.5,0.074187,0.004187,0.035,0.035
307.1,0,0.5,0.0738936,0.0038936,0.035,0.035
338.0,0,0.5,0.0725024,0.0025024,0.035,0.035
387.4,0,0.5,0.095774,0.025774,0.035,0.035
393.6,0,0.5,0.072869,0.002869,0.035,0.035
404.8,0,0.5,0.103027,0.033027,0.035,0.035
417.0,0,0.5,0.0749036,0.0049036,0.035,0.035
426.7,0,0.5,0.088327,0.018327,0.035,0.035
445.4,0,0.5,0.087284,0.017284,0.035,0.035
490.8,0,0.5,0.082025,0.012025,0.035,0.035
520.2,0,0.5,0.0751604,0.0051604,0.035,0.035
557.2,0,0.5,0.4475,0.37,0.035,0.0425
561.9,0,0.5,0.100641,0.030641,0.035,0.035
606.4,0,0.5,0.138026,0.068026,0.035,0.035
626.4,0,0.5,0.0731845,0.0031845,0.035,0.035
643.7,0,0.5,0.0743202,0.0043202,0.035,0.035
674.2,0,0.5,0.08234,0.01234,0.035,0.035
706.2,0,0.5,0.082555,0.012555,0.035,0.035
726.1,0,0.5,1.367,1.25,0.035,0.082
754.1,0,0.5,0.089146,0.019146,0.035,0.035
771.1,0,0.5,0.090948,0.020948,0.035,0.035
813.5,0,0.5,0.0737509,0.0037509,0.035,0.035
833.1,0,0.5,1.379,1.3,0.035,0.044
841.0,0,0.5,0.078226,0.008226,0.035,0.035
877.6,0,0.5,0.086312,0.016312,0.035,0.035
931.8,0,0.5,0.0780871,0.0080871,0.035,0.035
983.5,0,0.5,0.075133,0.005133,0.035,0.035
