energy,L,J,totalWidth,neutronWidth,captureWidth
-28518.34,1,0.5,258.6116,258.239,0.3726031
-25291.61,1,1.5,182.6738,182.3783,0.2954887
-19807.1,1,2.5,122.4196,122.1609,0.2586156
-18024.02,1,3.5,98.36589,98.21746,0.1484301
-17640.01,0,2.5,1791.423,1791.193,0.2301618
-15021.44,0,1.5,1720.343,1720.095,0.2483769
-14891.31,1,1.5,164.736,164.4405,0.2954887
-11815.0,1,0.5,70.45489,70.08228,0.3726031
-9813.055,1,2.5,0.2702285,0.01161294,0.2586156
-7645.969,0,2.5,0.9405442,0.7103824,0.2301618
-5518.41,1,3.5,17.00967,16.86124,0.1484301
-4621.143,0,1.5,2223.417,2223.169,0.2483769
-502.6,0,1.5,12.30312,9.123119,3.18
1526.0,0,1.5,12.63115,12.22315,0.408
2297.0,0,2.5,21.37617,20.96817,0.408
12214.03,0,2.5,1.128015,0.8978534,0.2301618
15238.86,0,1.5,4037.389,4037.141,0.2483769
17240.93,0,1.5,47.24677,46.9984,0.2483769
18466.33,0,2.5,9986.16,9985.93,0.2301618
22375.59,1,2.5,900.6345,900.3759,0.2586156
32074.03,0,2.5,1.685127,1.454966,0.2301618
35098.86,0,1.5,6127.197,6126.948,0.2483769
37100.93,0,1.5,69.19216,68.94379,0.2483769
38326.33,0,2.5,14386.45,14386.22,0.2301618
42235.59,1,2.5,2287.602,2287.343,0.2586156
47501.22,0,1.5,3059.034,3058.785,0.2483769
47557.76,1,1.5,459.864,459.5685,0.2954887
48320.38,0,2.5,2964.775,2964.545,0.2301618
52229.64,1,2.5,506.11,505.8513,0.2586156
54998.34,1,0.5,673.4172,673.0446,0.3726031
