energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-0.54,0,3.0,0.0977208,0.0002208,0.04,0.0575
0.671,0,2.0,0.4850528,5.28e-05,0.04,0.445
1.137,0,2.0,0.4120588,5.88e-05,0.04,0.372
1.466,0,3.0,0.2000249,2.48571e-05,0.04,0.16
2.046,0,3.0,0.1200163,1.62857e-05,0.04,0.08
2.309,0,2.0,0.562932,0.001932,0.04,0.521
2.757,0,3.0,0.1200137,1.37143e-05,0.04,0.08
3.073,0,2.0,0.212816,0.000816,0.04,0.172
3.734,0,3.0,0.15054,0.00054,0.04,0.11
5.682,0,3.0,0.4704971,0.000497143,0.04,0.43
6.145,0,2.0,0.892728,0.001728,0.04,0.851
7.211,0,3.0,0.3416714,0.00167143,0.04,0.3
8.175,0,3.0,0.4003943,0.000394286,0.04,0.36
9.107,0,2.0,1.247744,0.003744,0.04,1.204
10.571,0,2.0,0.678876,0.000876,0.04,0.638
11.854,0,3.0,0.1796543,0.00165429,0.04,0.138
12.393,0,2.0,0.1500624,6.24e-05,0.04,0.11
14.728,0,3.0,0.2420086,0.000788554,0.04,0.20122
15.85,0,2.0,0.3433,0.0033,0.04,0.3
17.298,0,3.0,0.1904,0.0004,0.04,0.15
17.773,0,2.0,0.24075,0.00075,0.04,0.2
18.23,0,3.0,0.08478955,0.000174549,0.04,0.044615
19.28,0,3.0,0.04094894,0.000825789,0.04,0.00012315
20.31,0,3.0,0.3509,0.0003,0.04,0.3106
21.5,0,3.0,0.092,0.002,0.04,0.05
22.73,0,2.0,0.0417813,0.0010813,0.04,0.0007
23.55,0,3.0,0.110085,8.5e-05,0.04,0.07
24.39,0,2.0,0.17171,0.0038,0.04,0.12791
25.62,0,3.0,0.14815,0.0026,0.04,0.10555
27.41,0,3.0,0.3039,0.00025,0.04,0.26365
28.45,0,2.0,0.3419,0.0019,0.04,0.3
29.75,0,3.0,0.22711,0.0011,0.04,0.18601
30.84,0,2.0,0.8855836,9.36024e-05,0.04,0.84549
31.18,0,3.0,0.6622,0.0022,0.04,0.62
32.65,0,2.0,0.2118,0.0018,0.04,0.17
