energy,L,J,totalWidth,neutronWidth,captureWidth
-17208.76,1,5.0,1.463871,0.0001812718,1.46369
-15676.56,1,5.0,1.524649,0.06095853,1.46369
-13365.74,1,4.0,1.535516,0.01881198,1.516704
-11479.8,1,4.0,1.57197,0.05526605,1.516704
-10770.73,1,2.0,2.307294,0.5389431,1.768351
-10761.14,0,4.0,30.94334,29.21753,1.725808
-7560.475,1,3.0,1.852494,0.0551623,1.797332
-6163.26,1,5.0,1.493193,0.02950302,1.46369
-6128.479,1,4.0,1.518081,0.001377017,1.516704
-5554.623,1,2.0,1.821101,0.05274999,1.768351
-5180.588,0,4.0,24.20663,22.48082,1.725808
-4494.807,0,3.0,7.897103,5.731857,2.165246
-3577.646,1,2.0,1.772527,0.004175829,1.768351
-2221.947,1,3.0,1.798269,0.000936896,1.797332
-1906.295,1,3.0,1.807394,0.01006184,1.797332
-1688.349,0,3.0,28.05545,25.8902,2.165246
-741.5564,0,4.0,4.375846,2.650038,1.725808
-639.8806,0,3.0,8.751126,6.58588,2.165246
1281.039,0,4.0,45.19576,43.46995,1.725808
2314.13,0,3.0,111.8926,109.7273,2.165246
3404.616,0,3.0,67.60148,65.43623,2.165246
5232.083,0,4.0,230.568,228.8422,1.725808
7302.974,0,4.0,9.959711,8.233903,1.725808
11109.66,0,3.0,19.46835,17.30311,2.165246
13604.77,0,3.0,8.594212,6.428966,2.165246
14200.44,0,4.0,68.68363,66.95782,1.725808
17693.32,0,4.0,3.267888,1.54208,1.725808
17739.15,0,3.0,48.65788,46.49264,2.165246
18036.87,1,4.0,2.306347,0.7896425,1.516704
20936.41,0,4.0,3.039899,1.314091,1.725808
21712.79,1,3.0,2.731227,0.9338951,1.797332
23659.87,0,3.0,2.254175,0.08892945,2.165246
24544.56,0,3.0,147.1268,144.9615,2.165246
25406.41,0,4.0,141.2284,139.5026,1.725808
29087.95,1,2.0,4.104301,2.33595,1.768351
29097.54,0,4.0,49.77017,48.04436,1.725808
33013.3,0,3.0,6.200148,4.034901,2.165246
34304.06,1,2.0,2.548398,0.7800473,1.768351
34678.09,0,4.0,59.88926,58.16345,1.725808
35363.88,0,3.0,18.24279,16.07755,2.165246
37952.39,1,3.0,2.650464,0.8531318,1.797332
38170.33,0,3.0,125.2679,123.1026,2.165246
39117.13,0,4.0,20.97283,19.24702,1.725808
39218.8,0,3.0,53.72508,51.55984,2.165246
40894.86,1,5.0,5.157039,3.693349,1.46369
41139.72,0,4.0,248.0679,246.3421,1.725808
42172.81,0,3.0,470.587,468.4218,2.165246
43263.3,0,3.0,235.4272,233.262,2.165246
43333.04,1,4.0,3.236195,1.719491,1.516704
45090.77,0,4.0,673.5298,671.804,1.725808
47161.66,0,4.0,22.65008,20.92427,1.725808
49037.25,1,2.0,2.874119,1.105768,1.768351
50968.34,0,3.0,39.22683,37.06158,2.165246
52134.71,1,5.0,2.94479,1.4811,1.46369
