energy,L,J,totalWidth,neutronWidth,captureWidth
-35.33,0,4.0,0.3143,0.2033,0.111
-13.63,0,3.0,0.12398,0.01298,0.111
5.91,0,3.0,0.12641,0.00641,0.12
9.5,1,2.0,0.05900304,3.04e-06,0.059
16.77,1,3.0,0.05900018,1.76e-07,0.059
18.86,1,4.0,0.05900012,1.208889e-07,0.059
19.98,1,2.0,0.05900122,1.216e-06,0.059
22.51,0,3.0,0.1267714,0.007771429,0.119
30.0,1,2.0,0.05900018,1.76e-07,0.059
33.0,1,4.0,0.05900052,5.155555e-07,0.059
42.75,1,5.0,0.05900095,9.454545e-07,0.059
44.63,1,4.0,0.05900605,6.044444e-06,0.059
47.57,0,3.0,0.1374857,0.02148571,0.116
58.09,1,5.0,0.05900059,5.818182e-07,0.059
59.61,1,4.0,0.059064,6.4e-05,0.059
60.24,1,3.0,0.05900446,4.457143e-06,0.059
78.52,1,4.0,0.05900089,8.888889e-07,0.059
80.0,1,5.0,0.05900224,2.24e-06,0.059
82.74,0,4.0,0.1468267,0.006826667,0.14
88.96,1,5.0,0.05902328,2.327273e-05,0.059
94.25,0,3.0,0.1505143,0.02651429,0.124
110.5,1,4.0,0.05900285,2.844444e-06,0.059
115.0,1,4.0,0.05900729,7.288889e-06,0.059
117.5,1,4.0,0.05900712,7.111111e-06,0.059
119.9,1,4.0,0.05909778,9.777778e-05,0.059
126.3,0,4.0,0.224,0.104,0.12
142.2,0,3.0,0.1261029,0.006102857,0.12
146.0,0,4.0,0.1387111,0.02471111,0.114
155.3,1,5.0,0.05913091,0.0001309091,0.059
167.0,1,2.0,0.059064,6.4e-05,0.059
181.5,0,3.0,0.1045314,0.003531429,0.101
201.2,0,4.0,0.1226667,0.02266667,0.1
207.6,0,4.0,0.1236889,0.003688889,0.12
217.1,1,3.0,0.05961715,0.0006171428,0.059
220.7,0,4.0,0.1097333,0.01973333,0.09
234.2,0,4.0,0.4542222,0.3502222,0.104
238.3,0,4.0,0.1316444,0.01164444,0.12
267.5,1,5.0,0.05911637,0.0001163636,0.059
271.0,1,3.0,0.05908229,8.228572e-05,0.059
273.6,1,5.0,0.05902037,2.036364e-05,0.059
284.9,1,3.0,0.05928572,0.0002857143,0.059
288.4,1,5.0,0.05941455,0.0004145454,0.059
295.4,0,4.0,0.2177778,0.09777778,0.12
312.0,1,4.0,0.05907112,7.111111e-05,0.059
324.0,1,4.0,0.05905334,5.333333e-05,0.059
328.0,1,3.0,0.05968572,0.0006857143,0.059
330.2,1,3.0,0.05936572,0.0003657143,0.059
359.2,0,4.0,0.1538667,0.03386667,0.12
362.8,1,5.0,0.05923273,0.0002327273,0.059
377.4,0,3.0,0.1404572,0.02045714,0.12
386.3,1,4.0,0.05905334,5.333333e-05,0.059
401.5,0,4.0,0.3546667,0.2346667,0.12
413.6,0,3.0,0.1820571,0.06205714,0.12
415.3,0,3.0,0.1321143,0.01211429,0.12
431.0,0,4.0,0.1763556,0.05635555,0.12
470.2,0,4.0,0.2302222,0.1102222,0.12
512.1,0,3.0,0.264,0.144,0.12
520.1,0,4.0,0.2242667,0.1042667,0.12
560.3,0,3.0,0.2354286,0.1154286,0.12
568.7,0,3.0,0.151,0.031,0.12
585.7,0,3.0,0.3645715,0.2445714,0.12
622.5,1,4.0,0.06060001,0.0016,0.059
646.5,0,4.0,0.1768889,0.05688889,0.12
685.0,0,4.0,0.1255111,0.005511111,0.12
712.0,1,5.0,0.05908509,8.509091e-05,0.059
726.7,0,4.0,0.216,0.096,0.12
739.5,0,4.0,0.1231111,0.003111111,0.12
762.9,0,3.0,0.1965714,0.07657143,0.12
796.1,0,4.0,0.4684444,0.3484444,0.12
807.8,0,4.0,0.1315556,0.01155556,0.12
820.1,1,5.0,0.0614,0.0024,0.059
832.5,0,4.0,0.1274667,0.007466666,0.12
864.2,0,3.0,0.3425714,0.2365714,0.106
872.9,0,3.0,0.1568,0.0368,0.12
906.9,0,3.0,0.254,0.12,0.134
916.2,0,3.0,0.132,0.012,0.12
970.5,0,4.0,0.1287111,0.008711111,0.12
987.2,0,3.0,0.1714286,0.05142858,0.12
994.3,0,3.0,0.2091429,0.08914286,0.12
