energy,L,J,totalWidth,neutronWidth,captureWidth
-143.7956,0,0.0,0.1315745,0.05098786,0.08058664
-73.7804,0,0.0,0.1171095,0.03652284,0.08058664
-65.28351,1,1.0,0.0804005,8.181396e-08,0.08040042
-48.29701,1,0.0,0.08065258,1.284885e-07,0.08065245
-42.99673,0,1.0,0.08740503,0.001616689,0.08578834
-41.34418,1,1.0,0.08040042,3.97489e-13,0.08040042
-38.09499,1,2.0,0.07686765,1.03505e-10,0.07686765
-36.97391,0,1.0,0.08757688,0.001788543,0.08578834
-31.81455,1,0.0,0.08065257,1.200228e-07,0.08065245
-27.96638,1,2.0,0.07686766,1.052392e-08,0.07686765
-24.5586,0,1.0,0.1279905,0.04220212,0.08578834
-14.73207,1,2.0,0.07686766,5.301104e-09,0.07686765
-12.63559,1,0.0,0.08065245,3.22808e-11,0.08065245
-11.69618,1,1.0,0.08040048,5.682265e-08,0.08040042
-3.765219,0,0.0,0.08883731,0.008250669,0.08058664
19.46801,0,1.0,0.08687619,0.001087851,0.08578834
25.49083,0,1.0,0.0872734,0.001485059,0.08578834
37.90614,0,1.0,0.1382192,0.05243088,0.08578834
50.76855,1,1.0,0.08040093,5.138081e-07,0.08040042
66.24995,0,0.0,0.1151955,0.03460882,0.08058664
81.93275,0,1.0,0.08802005,0.002231709,0.08578834
87.95557,0,1.0,0.08854691,0.002758566,0.08578834
93.11493,1,0.0,0.08065305,6.008706e-07,0.08065245
100.3709,0,1.0,0.1711055,0.08531717,0.08578834
113.2333,1,1.0,0.08040213,1.71118e-06,0.08040042
136.2651,0,0.0,0.1302215,0.04963482,0.08058664
206.2803,0,0.0,0.1416559,0.0610693,0.08058664
