energy,L,J,totalWidth,neutronWidth,captureWidth
-1.189,0,2.0,0.098795,0.00294,0.095855
1.727,0,2.0,0.0900684,6.84e-05,0.09
2.456,0,3.0,0.09202857,0.001028572,0.091
3.294,0,2.0,0.099092,0.001092,0.098
3.944,0,2.0,0.09432,0.00132,0.093
4.75,0,3.0,0.09103172,3.171429e-05,0.091
6.16,0,3.0,0.1045571,0.0005571429,0.104
8.85,0,2.0,0.10532,0.00432,0.101
11.61,0,3.0,0.09738571,0.003385714,0.094
12.45,0,3.0,0.08112,0.00012,0.081
13.22,0,2.0,0.09038401,0.000384,0.09
15.26,0,3.0,0.1102314,0.0002314286,0.11
16.33,0,3.0,0.09002057,2.057143e-05,0.09
16.73,0,2.0,0.104632,0.001632,0.103
17.6,0,2.0,0.09066001,0.00066,0.09
18.01,0,3.0,0.09394286,0.003942857,0.09
18.73,0,2.0,0.11336,0.00336,0.11
20.02,0,2.0,0.12076,0.01176,0.109
22.54,0,2.0,0.091,0.003,0.088
23.66,0,3.0,0.08840001,0.0024,0.086
26.19,0,3.0,0.09022286,0.0002228572,0.09
28.63,0,3.0,0.07445714,0.001457143,0.073
29.9,0,3.0,0.09023143,0.0002314286,0.09
31.22,0,3.0,0.1189714,0.001971429,0.117
32.45,0,2.0,0.091276,0.000276,0.09100001
34.53,0,2.0,0.09624001,0.00624,0.09
36.62,0,2.0,0.11104,0.00504,0.106
37.76,0,3.0,0.09777143,0.003771429,0.094
38.3,0,2.0,0.08808,0.00708,0.081
41.15,0,2.0,0.07068,0.00168,0.069
42.15,0,2.0,0.08276,0.005760001,0.077
43.16,0,3.0,0.09874286,0.002742857,0.096
44.82,0,2.0,0.09180401,0.000804,0.09100001
45.79,0,3.0,0.1002,0.0012,0.099
47.11,0,3.0,0.0958,0.0018,0.094
47.93,0,2.0,0.09844001,0.00744,0.09100001
49.3,0,3.0,0.09112,0.00012,0.09100001
49.5,0,2.0,0.091336,0.000336,0.09100001
50.0,0,3.0,0.09457143,0.002571429,0.092
50.74,0,2.0,0.12188,0.008880001,0.113
52.31,0,3.0,0.1182857,0.01028571,0.108
53.07,0,3.0,0.1214,0.0024,0.119
54.29,0,2.0,0.1054,0.0144,0.09100001
55.19,0,2.0,0.09536,0.00036,0.095
55.57,0,3.0,0.09262858,0.001628572,0.09100001
58.97,0,2.0,0.08644,0.00144,0.085
59.72,0,2.0,0.10536,0.00336,0.102
60.92,0,2.0,0.1164,0.0384,0.078
62.55,0,3.0,0.1092857,0.004285714,0.105
63.7,0,3.0,0.09925715,0.006257143,0.093
64.09,0,3.0,0.128,0.012,0.116
66.94,0,3.0,0.08925714,0.003257143,0.086
68.15,0,2.0,0.09312,0.006120001,0.087
70.04,0,3.0,0.1025714,0.002571429,0.1
71.35,0,2.0,0.09244001,0.00144,0.09100001
73.68,0,3.0,0.09129144,0.0002914286,0.09100001
75.47,0,3.0,0.09144572,0.0004457143,0.09100001
76.93,0,3.0,0.117,0.012,0.105
80.29,0,3.0,0.1071143,0.004114286,0.103
81.24,0,2.0,0.1008,0.0048,0.096
82.99,0,3.0,0.08908572,0.003085714,0.086
84.0,0,3.0,0.09162572,0.0006257143,0.09100001
86.99,0,3.0,0.07828572,0.01028571,0.068
87.7,0,3.0,0.1092,0.0042,0.105
89.34,0,2.0,0.09256001,0.00156,0.09100001
90.75,0,2.0,0.08404,0.00504,0.079
92.8,0,3.0,0.09297144,0.001971429,0.09100001
93.26,0,3.0,0.124,0.036,0.088
94.76,0,3.0,0.09166858,0.0006685714,0.09100001
95.15,0,2.0,0.09376001,0.00276,0.09100001
96.86,0,3.0,0.09357143,0.002571429,0.09100001
97.6,0,3.0,0.1232857,0.02228571,0.101
