energy,L,J,totalWidth,neutronWidth,captureWidth
-35359.36,1,0.0,10.29186,8.389333,1.902528
-19860.58,1,0.0,5.507984,3.605456,1.902528
-19127.84,1,1.0,3.683201,1.286712,2.396489
-13446.15,1,1.0,3.160729,0.7642404,2.396489
-7764.467,1,1.0,3.155417,0.7589284,2.396489
-7538.841,0,1.0,319.3942,315.8461,3.548132
-7095.744,0,2.0,20.97424,18.70093,2.273313
-6430.674,0,2.0,264.126,261.8527,2.273313
-6309.66,1,3.0,1.927326,0.03821566,1.88911
-5378.836,1,2.0,1.981555,0.003549802,1.978005
-4361.797,1,0.0,1.92137,0.01884213,1.902528
-3268.493,1,3.0,1.927706,0.03859653,1.88911
-2847.626,0,2.0,35.26827,32.99496,2.273313
-2783.296,1,2.0,2.053404,0.07539876,1.978005
-759.38,0,2.0,31.66399,29.75699,1.907
2402.0,0,2.0,69.397,67.49,1.907
6813.769,0,1.0,303.8216,300.2735,3.548132
7256.866,0,2.0,21.18537,18.91206,2.273313
7921.936,0,2.0,292.906,290.6327,2.273313
11504.98,0,2.0,68.59403,66.32072,2.273313
12043.6,0,1.0,164.2231,160.675,3.548132
15306.13,0,1.0,15.40082,11.85269,3.548132
20940.75,1,1.0,5.69814,3.301651,2.396489
21166.38,0,1.0,532.7806,529.2325,3.548132
21609.47,0,2.0,34.90852,32.63521,2.273313
22274.54,0,2.0,489.6147,487.3414,2.273313
25857.59,0,2.0,101.6994,99.42606,2.273313
26396.21,0,1.0,241.4188,237.8707,3.548132
29658.74,0,1.0,20.04725,16.49912,3.548132
39842.2,1,0.0,11.87761,9.975087,1.902528
55340.98,1,0.0,17.90565,16.00312,1.902528
