energy,L,J,totalWidth,neutronWidth,captureWidth
-810.0,0,1.0,26.864,26.66,0.204
-587.0,0,2.0,8.89,8.624,0.266
110.8,0,2.0,0.3632,0.0532,0.31
333.8,0,2.0,0.3716,0.1616,0.21
472.7,0,1.0,0.4333333,0.1733333,0.26
532.0,1,1.0,0.2556,0.0056,0.25
611.0,1,3.0,0.2529714,0.002971429,0.25
691.0,0,2.0,1.534,1.264,0.27
941.0,1,3.0,0.2529714,0.002971429,0.25
1252.0,1,1.0,0.2593333,0.009333334,0.25
1353.8,0,2.0,0.402,0.112,0.29
1582.3,0,2.0,2.3,2.04,0.26
1636.5,0,1.0,4.526667,4.266667,0.26
1868.0,0,2.0,2.81,2.56,0.25
1906.0,1,2.0,0.2596,0.0096,0.25
1994.0,1,3.0,0.2568572,0.006857143,0.25
2167.0,1,1.0,0.27,0.02,0.25
2456.5,0,1.0,12.02333,11.73333,0.29
2989.0,1,2.0,0.314,0.064,0.25
3078.0,1,2.0,0.426,0.176,0.25
3377.0,1,1.0,0.2766667,0.02666667,0.25
3502.6,0,2.0,19.06,18.8,0.26
3739.0,1,2.0,0.2692,0.0192,0.25
3873.0,1,3.0,0.2728571,0.02285714,0.25
3970.0,1,0.0,0.33,0.08,0.25
4208.7,0,1.0,2.866,2.6,0.266
4361.0,0,1.0,1.946,1.68,0.266
