energy,L,J,totalWidth,neutronWidth,captureWidth
-489.0,0,0.5,23.22,23.06,0.16
1118.0,0,0.5,4.76,4.6,0.16
1474.0,0,0.5,0.85,0.7,0.15
1935.0,1,0.5,0.23,0.03,0.2
3157.0,1,1.5,0.223,0.023,0.2
4230.0,1,1.5,0.2275,0.0275,0.2
4397.0,0,0.5,5.585,5.4,0.185
5603.0,0,0.5,29.16,29.0,0.16
6795.0,0,0.5,15.16,15.0,0.16
8703.0,0,0.5,45.16,45.0,0.16
9963.0,0,0.5,50.16,50.0,0.16
10370.0,0,0.5,60.16,60.0,0.16
11835.0,0,0.5,22.16,22.0,0.16
13286.0,0,0.5,95.16,95.0,0.16
18620.0,0,0.5,72.16,72.0,0.16
24068.0,0,0.5,77.16,77.0,0.16
26030.0,0,0.5,110.16,110.0,0.16
27890.0,0,0.5,150.16,150.0,0.16
29130.0,0,0.5,70.16,70.0,0.16
36570.0,0,0.5,100.16,100.0,0.16
40300.0,0,0.5,168.16,168.0,0.16
