energy,L,J,totalWidth,neutronWidth,captureWidth
-6.1,0,5.0,0.07936,0.02346,0.0559
5.6885,0,5.0,0.05127,0.00427,0.047
17.6533,0,4.0,0.05409,0.00209,0.052
19.131,0,5.0,0.052124,0.000124,0.052
23.6577,0,5.0,0.05947,0.00747,0.052
26.54,0,4.0,0.05327,0.00127,0.052
27.418,0,5.0,0.052433,0.000433,0.052
31.156,0,4.0,0.0601447,0.0081447,0.052
36.52,0,5.0,0.078,0.026,0.052
40.135,0,5.0,0.0845,0.0235,0.061
42.327,0,4.0,0.0673,0.0153,0.052
50.785,0,5.0,0.05311,0.00111,0.052
51.149,0,4.0,0.05271,0.00071,0.052
54.08,0,4.0,0.05233,0.00033,0.052
69.089,0,4.0,0.0626,0.0106,0.052
73.589,0,4.0,0.0612,0.0092,0.052
76.702,0,5.0,0.05526,0.00326,0.052
83.013,0,4.0,0.05669,0.00469,0.052
85.433,0,5.0,0.0638,0.0118,0.052
92.125,0,4.0,0.0637,0.0117,0.052
92.7852,0,5.0,0.079,0.027,0.052
101.382,0,5.0,0.1658,0.1138,0.052
103.821,0,5.0,0.0618,0.0098,0.052
107.858,0,4.0,0.0615,0.0095,0.052
117.278,0,5.0,0.075,0.031,0.044
120.165,0,4.0,0.05546,0.00346,0.052
121.86,0,4.0,0.0557,0.0037,0.052
122.689,0,5.0,0.0678,0.0158,0.052
130.024,0,4.0,0.0622,0.0102,0.052
137.426,0,5.0,0.0886,0.0366,0.052
144.341,0,5.0,0.084,0.032,0.052
147.103,0,4.0,0.0642,0.0122,0.052
156.393,0,5.0,0.103,0.045,0.058
158.835,0,4.0,0.0567,0.0047,0.052
165.807,0,5.0,0.0757,0.0237,0.052
174.904,0,4.0,0.129,0.077,0.052
177.996,0,5.0,0.118,0.066,0.052
182.79,0,4.0,0.0848,0.0328,0.052
188.75,0,4.0,0.0581,0.0061,0.052
189.953,0,5.0,0.0722,0.0202,0.052
191.25,0,4.0,0.05291,0.00091,0.052
198.052,0,5.0,0.0681,0.0161,0.052
202.6,0,5.0,0.147818,0.081818,0.066
204.1,0,4.0,0.21489,0.14889,0.066
213.1,0,5.0,0.12236,0.05636,0.066
224.0,0,4.0,0.09088,0.02488,0.066
224.5,0,5.0,0.2751,0.2091,0.066
227.7,0,4.0,0.14044,0.07444,0.066
241.6,0,4.0,0.140444,0.074444,0.066
242.9,0,5.0,0.0872,0.0212,0.066
245.3,0,4.0,0.117111,0.051111,0.066
251.8,0,4.0,0.09238,0.02638,0.066
254.2,0,5.0,0.12145,0.05545,0.066
263.9,0,4.0,0.076,0.01,0.066
270.0,0,5.0,0.08835,0.02235,0.066
273.5,0,5.0,0.08849,0.02249,0.066
276.3,0,5.0,0.111454,0.045454,0.066
284.7,0,4.0,0.09405,0.02805,0.066
288.7,0,4.0,0.09424,0.02824,0.066
292.4,0,5.0,0.08926,0.02326,0.066
300.6,0,4.0,0.104889,0.038889,0.066
306.3,0,5.0,0.0898,0.0238,0.066
313.6,0,5.0,0.09008,0.02408,0.066
322.5,0,4.0,0.0748889,0.0088889,0.066
327.0,0,5.0,0.096909,0.030909,0.066
332.9,0,5.0,0.09081,0.02481,0.066
338.2,0,5.0,0.120545,0.054545,0.066
346.1,0,5.0,0.125091,0.059091,0.066
356.1,0,4.0,0.09737,0.03137,0.066
360.7,0,4.0,1.4808,1.433,0.0478
364.4,0,5.0,0.129636,0.063636,0.066
372.1,0,5.0,0.09223,0.02623,0.066
375.2,0,5.0,0.09234,0.02634,0.066
381.7,0,4.0,0.44933,0.38333,0.066
385.6,0,4.0,0.09864,0.03264,0.066
389.0,0,4.0,0.09878,0.03278,0.066
390.6,0,5.0,0.156909,0.090909,0.066
395.3,0,4.0,0.09905,0.03305,0.066
401.1,0,4.0,0.09929,0.03329,0.066
403.8,0,5.0,0.09333,0.02733,0.066
408.8,0,5.0,0.0935,0.0275,0.066
411.4,0,5.0,0.09358,0.02758,0.066
413.6,0,4.0,0.09489,0.02889,0.066
423.5,0,4.0,0.10021,0.03421,0.066
428.9,0,5.0,0.09417,0.02817,0.066
431.9,0,4.0,0.27156,0.20556,0.066
462.8,0,5.0,0.2569,0.1909,0.066
489.6,0,4.0,0.067,0.001,0.066
514.0,0,5.0,0.09327,0.02727,0.066
532.0,0,5.0,0.1933,0.1273,0.066
546.0,0,4.0,0.3549,0.2889,0.066
571.0,0,4.0,0.2104,0.1444,0.066
583.0,0,4.0,0.3882,0.3222,0.066
587.0,0,5.0,0.166,0.1,0.066
630.0,0,4.0,0.2716,0.2056,0.066
652.0,0,4.0,0.2993,0.2333,0.066
658.0,0,4.0,0.3327,0.2667,0.066
689.0,0,5.0,0.3115,0.2455,0.066
733.0,0,5.0,0.13873,0.07273,0.066
751.0,0,4.0,0.15489,0.08889,0.066
848.0,0,4.0,0.2049,0.1389,0.066
893.0,0,4.0,0.2327,0.1667,0.066
900.0,0,4.0,0.1771,0.1111,0.066
971.0,0,4.0,0.766,0.7,0.066
1010.0,0,4.0,0.3104,0.2444,0.066
