energy,L,J,totalWidth,neutronWidth,captureWidth
-10.9,0,3.0,0.14186,0.07096,0.0709
-6.31,0,4.0,0.08371,0.01281,0.0709
3.914,0,4.0,0.08783244,0.002132445,0.0857
8.174,0,3.0,0.09048743,0.0001874286,0.0903
12.69,0,4.0,0.09431112,0.01031111,0.08400001
18.25,0,3.0,0.07904857,0.0009485714,0.0781
21.19,0,4.0,0.06852445,0.0005244444,0.068
24.79,0,3.0,0.08401681,1.68e-05,0.08400001
35.33,0,3.0,0.08228572,0.008685715,0.0736
37.36,0,4.0,0.08349778,0.0004977778,0.083
39.67,0,4.0,0.1048,0.0168,0.088
47.8,0,3.0,0.1202286,0.02822857,0.092
51.55,0,3.0,0.1415714,0.05657143,0.085
54.42,0,4.0,0.08640001,0.0024,0.08400001
65.15,0,4.0,0.09566667,0.01866667,0.077
68.91,0,4.0,0.09010223,0.001102222,0.089
71.93,0,4.0,0.09444445,0.02044445,0.074
75.08,0,3.0,0.08409487,9.485714e-05,0.08400001
80.1,0,4.0,0.08354667,0.001546667,0.082
83.8,0,4.0,0.08051112,0.01351111,0.067
84.73,0,3.0,0.0896,0.0056,0.08400001
85.8,0,3.0,0.1213714,0.03737143,0.08400001
93.63,0,4.0,0.1527778,0.07377777,0.079
102.03,0,4.0,0.0912,0.0192,0.072
106.44,0,4.0,0.07817778,0.008177778,0.07
117.99,0,4.0,0.0886889,0.01368889,0.075
119.98,0,3.0,0.1754286,0.09142857,0.08400001
120.78,0,4.0,0.0926,0.0056,0.087
124.92,0,4.0,0.1086667,0.03466667,0.074
126.9,0,3.0,0.1507143,0.05371428,0.097
128.46,0,3.0,0.089,0.024,0.065
139.03,0,4.0,0.08425778,0.0002577778,0.08400001
141.42,0,4.0,0.08533334,0.001333333,0.08400001
149.32,0,3.0,0.08720001,0.0032,0.08400001
151.22,0,3.0,0.12,0.048,0.072
152.49,0,3.0,0.08518858,0.001188571,0.08400001
163.22,0,4.0,0.06946667,0.003466667,0.066
164.36,0,4.0,0.1008889,0.01688889,0.08400001
169.77,0,4.0,0.09555555,0.01955556,0.076
174.74,0,4.0,0.07535556,0.004355555,0.071
181.03,0,4.0,0.1553778,0.03377778,0.1216
187.94,0,4.0,0.08472001,0.00072,0.08400001
188.89,0,4.0,0.09277778,0.01777778,0.075
192.74,0,3.0,0.09531429,0.01131429,0.08400001
195.33,0,3.0,0.08800001,0.004,0.08400001
202.24,0,4.0,0.1542222,0.07822222,0.076
205.08,0,4.0,0.1702222,0.08622222,0.08400001
210.86,0,4.0,0.08432001,0.00032,0.08400001
214.81,0,3.0,0.1410571,0.06605714,0.075
220.63,0,4.0,0.1095556,0.02755556,0.082
227.88,0,4.0,0.08468445,0.0006844444,0.08400001
230.22,0,3.0,0.1971429,0.1131429,0.08400001
232.82,0,3.0,0.09257144,0.008571428,0.08400001
235.95,0,3.0,0.08514287,0.001142857,0.08400001
239.61,0,4.0,0.1142222,0.03022222,0.084
248.6,0,3.0,0.08466286,0.0006628571,0.08400001
