energy,L,J,totalWidth,neutronWidth,captureWidth
-5.0,0,5.5,0.152489,0.002489,0.15
14.0,0,5.5,0.154,0.004,0.15
28.0,0,4.5,0.1511,0.0011,0.15
42.0,0,4.5,0.1534,0.0034,0.15
56.0,0,4.5,0.1577,0.0077,0.15
70.0,0,5.5,0.1513,0.0013,0.15
84.0,0,5.5,0.153,0.003,0.15
98.0,0,4.5,0.155,0.005,0.15
112.0,0,4.5,0.1511,0.0011,0.15
126.0,0,5.5,0.1511,0.0011,0.15
140.0,0,4.5,0.1512,0.0012,0.15
147.0,1,4.5,0.1501,0.0001,0.15
154.0,0,4.5,0.1525,0.0025,0.15
168.0,0,5.5,0.152,0.002,0.15
180.0,1,5.5,0.1502,0.0002,0.15
182.0,0,4.5,0.169,0.019,0.15
190.0,1,6.5,0.1501032,0.0001,0.15
196.0,0,4.5,0.37,0.22,0.15
200.0,1,3.5,0.1502,0.0002,0.15
210.0,0,4.5,0.173,0.023,0.15
224.0,0,5.5,0.1531,0.0031,0.15
238.0,0,4.5,0.162,0.012,0.15
250.0,1,4.5,0.1501,0.0001,0.15
252.0,0,4.5,0.185,0.035,0.15
260.0,1,4.5,0.1502,0.0002,0.15
266.0,0,4.5,0.37,0.22,0.15
280.0,0,4.5,0.183,0.033,0.15
294.0,0,5.5,0.1532,0.0032,0.15
300.0,1,6.5,0.1503,0.0003,0.15
308.0,0,5.5,0.171,0.021,0.15
320.0,1,3.5,0.1503,0.0003,0.15
322.0,0,5.5,0.46,0.31,0.15
336.0,0,5.5,0.174,0.024,0.15
340.0,1,4.5,0.15013,0.0001,0.15
350.0,0,5.5,0.162,0.012,0.15
350.0,1,6.5,0.1505,0.0005,0.15
364.0,0,4.5,0.158,0.008,0.15
370.0,1,3.5,0.1502,0.0002,0.15
378.0,0,4.5,0.177,0.027,0.15
390.0,1,4.5,0.1503,0.0003,0.15
392.0,0,4.5,0.164,0.014,0.15
406.0,0,5.5,0.175,0.025,0.15
410.0,1,6.5,0.1506,0.0006,0.15
420.0,0,4.5,0.161,0.011,0.15
430.0,1,6.5,0.1503,0.0003,0.15
434.0,0,4.5,0.16,0.01,0.15
448.0,0,4.5,0.163,0.013,0.15
450.0,1,5.5,0.1501,0.0001,0.15
462.0,0,4.5,0.161,0.011,0.15
476.0,0,4.5,0.174,0.024,0.15
480.0,1,6.5,0.1503,0.0003,0.15
490.0,0,5.5,0.159,0.009,0.15
490.0,1,3.5,0.1506,0.0006,0.15
500.0,1,6.5,0.1501,0.0001,0.15
504.0,0,5.5,0.165,0.015,0.15
510.0,1,4.5,0.1501,0.0001,0.15
518.0,0,4.5,0.182,0.032,0.15
520.0,1,6.5,0.1502,0.0002,0.15
530.0,1,5.5,0.1507,0.0007,0.15
532.0,0,5.5,0.163,0.013,0.15
540.0,1,6.5,0.1502,0.0002,0.15
546.0,0,4.5,0.167,0.017,0.15
550.0,1,5.5,0.1501,0.0001,0.15
560.0,0,5.5,0.161,0.011,0.15
