energy,L,J,totalWidth,neutronWidth,captureWidth
1.8,0,5.0,0.0782227,0.0002227,0.078
4.7,0,5.0,0.0751055,0.0001055,0.075
14.6,0,5.0,0.066727,0.006727,0.06
21.55,0,5.0,0.077545,0.002545,0.075
25.0,0,5.0,0.08336364,0.00836364,0.075
26.8,0,4.0,0.0752578,0.0002578,0.075
30.86,0,4.0,0.07501111,1.111e-05,0.075
32.23,0,5.0,0.08310909,0.00810909,0.075
35.03,0,4.0,0.07500667,6.667e-06,0.075
44.71,0,4.0,0.077356,0.002356,0.075
45.32,0,4.0,0.077267,0.002267,0.075
51.1,0,5.0,0.07500418,4.182e-06,0.075
55.4,0,4.0,0.07500267,2.667e-06,0.075
57.2,0,5.0,0.07500345,3.455e-06,0.075
58.2,0,5.0,0.07500327,3.273e-06,0.075
59.1,0,5.0,0.07500545,5.455e-06,0.075
66.9,0,5.0,0.07500145,1.455e-06,0.075
70.3,0,4.0,0.07977778,0.00477778,0.075
71.9,0,4.0,0.07501778,1.778e-05,0.075
74.2,0,5.0,0.07500727,7.273e-06,0.075
75.0,0,5.0,0.07505455,5.455e-05,0.075
89.2,0,5.0,0.07503818,3.818e-05,0.075
91.6,0,5.0,0.1004545,0.0254545,0.075
93.0,0,4.0,0.083,0.008,0.075
99.2,0,4.0,0.076711,0.001711,0.075
103.8,0,4.0,0.10167,0.02667,0.075
107.2,0,4.0,0.07506667,6.667e-05,0.075
119.2,0,4.0,0.07504444,4.444e-05,0.075
122.2,0,5.0,0.07501818,1.818e-05,0.075
123.2,0,5.0,0.08845,0.01345,0.075
134.1,0,5.0,0.079364,0.004364,0.075
142.4,0,4.0,0.07501111,1.111e-05,0.075
147.6,0,4.0,0.076044,0.001044,0.075
196.4,0,4.0,0.0758889,0.0008889,0.075
200.6,0,4.0,0.0754444,0.0004444,0.075
203.1,0,5.0,0.13845,0.06345,0.075
228.1,0,5.0,0.076273,0.001273,0.075
234.4,0,4.0,0.095,0.02,0.075
236.0,0,4.0,0.080556,0.005556,0.075
239.0,0,5.0,0.079364,0.004364,0.075
241.5,0,5.0,0.08718,0.01218,0.075
270.5,0,4.0,0.084111,0.009111,0.075
314.1,0,5.0,0.079545,0.004545,0.075
347.0,0,5.0,0.077727,0.002727,0.075
408.5,0,5.0,0.081545,0.006545,0.075
428.7,0,5.0,0.080455,0.005455,0.075
441.4,0,5.0,0.08773,0.01273,0.075
463.8,0,5.0,0.082273,0.007273,0.075
467.4,0,5.0,0.09136,0.01636,0.075
511.6,0,5.0,0.11082,0.03582,0.075
544.8,0,4.0,0.16833,0.09333,0.075
555.4,0,4.0,0.10122,0.02622,0.075
582.9,0,5.0,0.1759,0.1009,0.075
593.0,0,4.0,0.121,0.046,0.075
625.5,0,4.0,0.15278,0.07778,0.075
660.8,0,4.0,0.15722,0.08222,0.075
714.6,0,4.0,0.1761,0.1011,0.075
769.9,0,5.0,0.14045,0.06545,0.075
777.6,0,4.0,0.11033,0.03533,0.075
785.3,0,5.0,0.11227,0.03727,0.075
809.4,0,4.0,0.11733,0.04233,0.075
912.0,0,4.0,0.275,0.2,0.075
1064.6,0,4.0,0.12611,0.05111,0.075
1230.0,0,5.0,0.175,0.1,0.075
1254.6,0,4.0,0.2083,0.1333,0.075
1729.7,0,4.0,0.12167,0.04667,0.075
1761.9,0,5.0,0.1895,0.1145,0.075
1872.9,0,4.0,0.2528,0.1778,0.075
1885.2,0,5.0,0.11409,0.03909,0.075
1911.8,0,4.0,0.1858,0.1108,0.075
1974.0,0,4.0,0.15989,0.08489,0.075
1988.4,0,4.0,0.13044,0.05544,0.075
1996.0,0,4.0,0.13456,0.05956,0.075
