energy,L,J,totalWidth,neutronWidth,captureWidth
-12.31,0,1.0,0.15736,0.07916,0.0782
1.298,0,2.0,0.0872304,0.0007304,0.0865
9.068,0,2.0,0.09224001,0.00224,0.09
24.51,0,1.0,0.09906667,0.006066667,0.093
25.04,0,1.0,0.0986,0.0056,0.093
26.08,0,1.0,0.09904,0.00604,0.093
41.57,0,2.0,0.09516,0.00216,0.093
43.18,0,2.0,0.1452,0.0432,0.102
52.43,0,1.0,0.09913334,0.006133333,0.093
53.91,0,2.0,0.10508,0.01208,0.093
69.22,0,2.0,0.141,0.048,0.093
71.47,0,1.0,0.09593333,0.002933333,0.093
77.71,0,2.0,0.1196,0.0256,0.094
80.8,0,2.0,0.09596,0.00296,0.093
88.9,0,1.0,0.09833334,0.005333334,0.093
98.3,0,2.0,0.0988,0.0058,0.093
109.9,0,2.0,0.11244,0.01944,0.093
116.2,0,1.0,0.1048667,0.01186667,0.093
123.7,0,1.0,0.09513333,0.002133333,0.093
127.6,0,1.0,0.09521334,0.002213333,0.093
143.5,0,2.0,0.10356,0.01056,0.093
149.9,0,2.0,0.1074,0.0144,0.093
151.5,0,2.0,0.10932,0.01632,0.093
163.4,0,2.0,0.11484,0.02184,0.093
174.3,0,2.0,0.1058,0.0128,0.093
178.9,0,1.0,0.1196667,0.02666667,0.093
185.7,0,1.0,0.1156667,0.02266667,0.093
201.5,0,1.0,0.0982,0.0052,0.093
206.0,0,2.0,0.1026,0.0096,0.093
213.4,0,1.0,0.1100667,0.01706667,0.093
216.9,0,1.0,0.1052667,0.01226667,0.093
222.0,0,1.0,0.1060667,0.01306667,0.093
223.4,0,2.0,0.125,0.032,0.093
229.0,0,1.0,0.1463333,0.05333333,0.093
267.0,0,2.0,0.0962,0.0032,0.093
272.0,0,2.0,0.157,0.064,0.093
279.0,0,1.0,0.1996667,0.1066667,0.093
288.0,0,2.0,0.157,0.064,0.093
299.0,0,1.0,0.1143333,0.02133333,0.093
309.0,0,2.0,0.157,0.064,0.093
