energy,L,J,totalWidth,neutronWidth,captureWidth
-18.45754,1,3.5,110.4315,6.00114e-10,110.4315
-10.63227,1,3.5,110.4315,1.030876e-08,110.4315
-10.45613,1,5.5,100.2873,3.34222e-12,100.2873
-10.23329,1,5.5,100.2873,8.580565e-09,100.2873
-9.154047,0,3.5,109.3726,0.002831246,109.3697
-9.087641,1,4.5,105.1607,8.297774e-09,105.1607
-8.928934,1,2.5,116.6969,1.040551e-08,116.6969
-5.833826,1,4.5,105.1607,3.704832e-09,105.1607
-5.611567,1,2.5,116.6969,4.17467e-10,116.6969
-4.069086,0,4.5,105.26,3.85696e-07,105.2601
-2.854914,1,2.5,116.6969,3.627368e-09,116.6969
-2.164744,1,3.5,110.4315,1.1744e-10,110.4315
-1.812433,1,4.5,105.1607,8.82331e-10,105.1607
-0.7054541,1,5.5,100.2873,3.64949e-10,100.2873
15.06744,0,4.5,105.2623,0.002244382,105.2601
18.9823,0,3.5,109.3806,0.01090452,109.3697
33.19888,0,4.5,105.2601,3.381311e-05,105.2601
34.53775,0,3.5,109.386,0.01622648,109.3697
54.00696,0,3.5,109.3716,0.001905376,109.3697
58.72223,0,4.5,105.2603,0.0002660457,105.2601
72.9585,0,4.5,105.2601,1.169377e-05,105.2601
77.83208,0,3.5,109.3709,0.001150106,109.3697
90.92193,0,4.5,105.2602,0.0001167229,105.2601
93.79639,0,3.5,109.3805,0.01075511,109.3697
110.0395,0,4.5,105.2724,0.01231496,105.2601
120.6871,0,3.5,109.3777,0.008007898,109.3697
120.9778,0,4.5,105.2609,0.0008919181,105.2601
138.8199,0,3.5,109.374,0.004222091,109.3697
145.5314,0,4.5,105.2604,0.0003580926,105.2601
158.6472,0,4.5,105.267,0.006953615,105.2601
161.8078,0,3.5,109.4298,0.06009919,109.3697
170.7974,0,4.5,105.2742,0.007025687,105.2672
175.9459,0,4.5,105.2601,2.536216e-06,105.2601
177.4411,0,3.5,109.3985,0.02158449,109.3769
190.3355,0,4.5,105.2941,0.02690353,105.2672
196.9665,0,3.5,109.3709,0.001176185,109.3697
202.6896,0,3.5,109.3901,0.01320953,109.3769
213.5134,0,4.5,105.2874,0.02027971,105.2672
213.6734,0,3.5,109.3814,0.004454015,109.3769
226.8637,0,4.5,105.2731,0.005921754,105.2672
230.1339,0,3.5,109.441,0.06411058,109.3769
243.6477,0,4.5,105.2853,0.01813592,105.2672
254.412,0,3.5,109.3804,0.003506989,109.3769
262.09,0,4.5,105.2681,0.0009640466,105.2672
280.7928,0,4.5,105.2704,0.003254291,105.2672
283.4458,0,3.5,109.3877,0.01079434,109.3769
296.4546,0,4.5,105.2678,0.0005972266,105.2672
299.6048,0,3.5,109.3826,0.005668105,109.3769
319.5393,0,4.5,105.2681,0.0009531447,105.2672
330.7527,0,3.5,109.3769,1.359129e-07,109.3769
333.2239,0,4.5,105.2716,0.00444501,105.2672
340.7188,0,3.5,109.378,0.001095911,109.3769
354.4065,0,4.5,105.2672,6.795522e-05,105.2672
361.0729,0,3.5,109.3784,0.001533146,109.3769
362.1143,0,4.5,105.289,0.01403563,105.275
363.3281,0,3.5,109.3846,3.180161e-05,109.3846
374.2523,0,4.5,105.2943,0.01933871,105.275
381.6997,0,3.5,109.3846,2.1689e-06,109.3846
395.0149,0,4.5,105.2996,0.02459409,105.275
396.2122,0,3.5,109.3854,0.000779773,109.3846
413.7698,0,4.5,105.3093,0.03435421,105.275
420.7229,0,3.5,109.4005,0.01591063,109.3846
433.9578,0,4.5,105.2763,0.001305798,105.275
442.5566,0,3.5,109.4005,0.01587146,109.3846
459.4498,0,4.5,105.2865,0.01149044,105.275
460.6488,0,3.5,109.404,0.01938555,109.3846
474.6823,0,4.5,105.2783,0.003308062,105.275
481.2291,0,3.5,109.3852,0.0005926528,109.3846
491.037,0,4.5,105.4194,0.1444006,105.275
498.8259,0,3.5,109.4389,0.05429476,109.3846
509.7222,0,4.5,105.2982,0.02323748,105.275
517.8837,0,3.5,109.3848,0.0002273089,109.3846
528.3326,0,4.5,105.2932,0.01822686,105.275
540.6035,0,3.5,109.3925,0.007871066,109.3846
549.9712,0,4.5,105.3338,0.05884506,105.275
560.6171,0,3.5,109.3876,0.002972324,109.3846
563.3792,0,4.5,105.3187,0.03521435,105.2835
563.5565,0,4.5,105.275,3.516455e-05,105.275
574.9716,0,3.5,109.3957,0.002648919,109.3931
576.7582,0,4.5,105.2914,0.007910545,105.2835
580.2085,0,4.5,105.2823,0.007362786,105.275
581.7986,0,3.5,109.3849,0.0003620723,109.3846
598.7134,0,3.5,109.4275,0.03444687,109.3931
601.058,0,4.5,105.289,0.005500565,105.2835
615.6985,0,4.5,105.3075,0.0239656,105.2835
619.6521,0,3.5,109.4175,0.02444041,109.3931
634.3605,0,4.5,105.2861,0.00258311,105.2835
640.7124,0,3.5,109.3938,0.0007104903,109.3931
651.5502,0,4.5,105.3691,0.08560232,105.2835
658.4911,0,3.5,109.423,0.02990097,109.3931
668.0878,0,4.5,105.2843,0.0008025322,105.2835
677.2739,0,3.5,109.4772,0.08414853,109.3931
689.9742,0,4.5,105.2839,0.0003588119,105.2835
705.1022,0,3.5,109.404,0.01091876,109.3931
710.5058,0,4.5,105.2968,0.01325362,105.2835
722.8802,0,3.5,109.4172,0.02413304,109.3931
728.8683,0,4.5,105.2969,0.01336111,105.2835
741.3086,0,4.5,105.2835,1.941158e-05,105.2835
745.9471,0,3.5,109.3979,0.004832186,109.3931
759.9609,0,4.5,105.3019,0.01838086,105.2835
772.7322,0,3.5,109.3935,0.0004425385,109.3931
776.3123,0,4.5,105.2921,6.883589e-05,105.292
777.5593,0,4.5,105.285,0.001490629,105.2835
780.9092,0,3.5,109.4479,0.04636421,109.4016
783.709,0,3.5,109.4301,0.03701371,109.3931
795.0085,0,4.5,105.3007,0.008685202,105.292
795.6563,0,4.5,105.2835,7.550439e-06,105.2835
806.1661,0,3.5,109.4061,0.004504713,109.4016
810.7018,0,4.5,105.2993,0.007304588,105.292
821.8364,0,3.5,109.4141,0.01254219,109.4016
830.5872,0,4.5,105.3159,0.02382036,105.292
839.0132,0,3.5,109.4026,0.0010194,109.4016
850.976,0,4.5,105.3045,0.01244515,105.292
858.2847,0,3.5,109.4024,0.0008005045,109.4016
866.5664,0,4.5,105.2958,0.003802816,105.292
878.7669,0,3.5,109.4395,0.03787607,109.4016
884.9596,0,4.5,105.2984,0.006326089,105.292
900.1094,0,3.5,109.4313,0.02971482,109.4016
905.9387,0,4.5,105.3655,0.07345769,105.292
921.5973,0,4.5,105.2947,0.002711945,105.292
923.7665,0,3.5,109.4177,0.01614157,109.4016
943.0521,0,3.5,109.4021,0.0005668466,109.4016
944.5959,0,4.5,105.35,0.05798199,105.292
957.1191,0,4.5,105.2924,0.0004176366,105.292
965.4451,0,3.5,109.5389,0.1372813,109.4016
976.1009,0,3.5,109.4086,0.00706214,109.4016
978.9033,0,4.5,105.3108,0.01881463,105.292
988.067,0,3.5,109.4132,0.003346433,109.4099
