energy,L,J,totalWidth,neutronWidth,captureWidth
-102.5485,0,3.0,0.2527135,0.01131658,0.2413969
-102.3273,1,5.0,0.2039985,5.495241e-06,0.203993
-69.8634,0,3.0,0.2507375,0.009340614,0.2413969
-69.85919,1,5.0,0.2039961,3.099986e-06,0.203993
-67.52546,1,3.0,0.2530227,2.499785e-06,0.2530202
-67.37256,0,4.0,0.2296939,0.008695682,0.2209982
-52.17434,1,2.0,0.2674485,1.525399e-06,0.267447
-49.66179,1,4.0,0.2255932,1.494721e-06,0.2255917
-37.3911,1,5.0,0.2039941,1.059944e-06,0.203993
-37.17828,0,3.0,0.2585636,0.01716671,0.2413969
-36.38682,0,4.0,0.221218,0.0002198109,0.2209982
-34.84033,1,3.0,0.2530211,9.265091e-07,0.2530202
-22.96849,1,2.0,0.267447,1.010258e-08,0.267447
-18.67605,1,4.0,0.225592,3.447289e-07,0.2255917
-15.00764,1,2.0,0.2674495,2.502636e-06,0.267447
-9.402895,0,4.0,0.2278258,0.006827576,0.2209982
-2.155203,1,3.0,0.2530202,1.795743e-08,0.2530202
18.40685,0,3.0,0.2534759,0.01207904,0.2413969
19.19831,0,4.0,0.2211579,0.0001596646,0.2209982
40.5775,1,2.0,0.2674581,1.112597e-05,0.267447
46.18224,0,4.0,0.2361294,0.01513119,0.2209982
73.99199,0,3.0,0.2656147,0.02421781,0.2413969
74.78345,0,4.0,0.2213133,0.0003151228,0.2209982
96.16263,1,2.0,0.2674876,4.058607e-05,0.267447
101.7674,0,4.0,0.2434598,0.02246156,0.2209982
106.6771,0,3.0,0.252939,0.01154214,0.2413969
132.7531,0,4.0,0.2332045,0.01220631,0.2209982
138.7153,1,5.0,0.2040017,8.672783e-06,0.203993
139.3622,0,3.0,0.2545893,0.01319238,0.2413969
174.3853,1,3.0,0.2530306,1.037253e-05,0.2530202
