energy,L,J,totalWidth,neutronWidth,captureWidth
39.0,0,2.5,0.28826,0.2275,0.06076
70.0,0,2.5,0.0892,0.0163,0.0729
207.0,0,2.5,0.10045,0.03045,0.07
276.0,0,3.5,0.1575,0.0875,0.07
345.0,0,3.5,0.11375,0.04375,0.07
414.0,0,2.5,0.2321667,0.1621667,0.07
483.0,0,3.5,0.217875,0.147875,0.07
552.0,0,3.5,0.144375,0.074375,0.07
621.0,0,2.5,0.1983333,0.1283333,0.07
690.0,0,2.5,0.1866667,0.1166667,0.07
759.0,0,3.5,0.8575,0.7875,0.07
828.0,0,2.5,0.8458334,0.7758334,0.07
897.0,0,2.5,0.595,0.525,0.07
966.0,0,3.5,0.567875,0.497875,0.07
999.0,0,2.5,1.003333,0.9333333,0.07
