energy,L,J,totalWidth,neutronWidth,captureWidth
-18.0,0,4.0,0.13982,0.06722,0.0726
2.59,0,4.0,0.07098844,0.0001884444,0.0708
4.753,0,4.0,0.06526667,0.0002666667,0.065
5.22,0,3.0,0.0806,0.0016,0.079
11.2,0,3.0,0.08354286,0.003542857,0.08
13.97,0,4.0,0.07193333,0.006933333,0.065
14.16,0,3.0,0.08325714,0.009257143,0.074
15.31,0,4.0,0.07254667,0.001546667,0.071
20.45,0,3.0,0.08351429,0.002514286,0.081
23.42,0,3.0,0.09362857,0.006628571,0.087
27.92,0,4.0,0.08351111,0.001511111,0.082
30.1,0,4.0,0.1034,0.0064,0.097
31.01,0,3.0,0.09431429,0.003314286,0.091
36.5,0,3.0,0.08508571,0.007085714,0.078
40.59,0,3.0,0.1583143,0.02331429,0.135
41.06,0,4.0,0.1446,0.0016,0.143
49.4,0,3.0,0.1555714,0.01257143,0.143
50.27,0,4.0,0.1360222,0.007022222,0.129
53.54,0,4.0,0.0774,0.0004,0.077
57.01,0,3.0,0.09014286,0.005142857,0.085
61.18,0,4.0,0.07739111,0.0003911111,0.077
69.5,0,4.0,0.07778222,0.0007822222,0.077
69.99,0,3.0,0.07928571,0.002285714,0.077
73.7,0,3.0,0.07722857,0.0002285714,0.077
81.12,0,3.0,0.07726286,0.0002628571,0.077
85.5,0,4.0,0.07922222,0.006222222,0.073
88.56,0,3.0,0.08648571,0.005485714,0.081
96.69,0,4.0,0.1302222,0.05422222,0.076
99.74,0,3.0,0.09282857,0.01382857,0.079
100.84,0,4.0,0.08215556,0.005155556,0.077
103.0,0,4.0,0.08271111,0.008711111,0.074
107.45,0,4.0,0.105,0.032,0.073
112.94,0,3.0,0.068,0.004,0.064
115.24,0,3.0,0.1081429,0.04114286,0.067
118.69,0,3.0,0.1298286,0.01782857,0.112
119.45,0,4.0,0.07815556,0.001155556,0.077
124.45,0,4.0,0.07722222,0.0002222222,0.077
127.37,0,3.0,0.1011429,0.04114286,0.06
129.61,0,4.0,0.1253333,0.04533333,0.08
137.88,0,3.0,0.1115714,0.03657143,0.075
143.05,0,3.0,0.08065714,0.003657143,0.077
146.33,0,3.0,0.08122857,0.004228571,0.077
148.65,0,4.0,0.07895556,0.001955556,0.077
151.02,0,4.0,0.08028889,0.003288889,0.077
155.56,0,4.0,0.0818,0.0048,0.077
158.49,0,3.0,0.08957143,0.01257143,0.077
163.8,0,3.0,0.08457143,0.01257143,0.072
169.28,0,4.0,0.08544444,0.008444444,0.077
171.1,0,3.0,0.08017143,0.006171429,0.074
174.84,0,4.0,0.07833333,0.001333333,0.077
175.65,0,3.0,0.1044286,0.02742857,0.077
180.75,0,4.0,0.1011111,0.01511111,0.086
185.25,0,3.0,0.1362857,0.06628571,0.07
