energy,L,J,totalWidth,neutronWidth,captureWidth
-100000.0,0,0.5,3011.3,3000.0,11.3
46350.0,2,1.5,1.82,0.72,1.1
83499.9,1,1.5,9004.7,9000.0,4.7
176700.0,2,1.5,3.2309,2.0,1.2309
257200.0,2,1.5,40.3,38.0,2.3
266000.0,1,0.5,115006.0,115000.0,5.6
430600.0,1,1.5,31007.0,31000.0,7.0
475400.0,2,2.5,14.3733,13.3333,1.04
498200.0,1,1.5,530.379,529.999,0.38
555400.0,2,1.5,10004.5,10000.0,4.5
641900.0,1,0.5,901.23,899.999,1.2309
658500.0,0,0.5,21007.7,21000.0,7.7
844200.0,2,1.5,13006.0,13000.0,6.0
952000.0,2,1.5,551.23,549.999,1.2309
1021800.0,2,2.5,1251.23,1250.0,1.2309
1027300.0,2,1.5,341.231,340.0,1.2309
1035200.0,0,0.5,10005.0,10000.0,5.0
1063500.0,2,1.5,671.231,670.0,1.2309
1075200.0,0,0.5,20005.0,20000.0,5.0
1279700.0,2,2.5,1801.23,1800.0,1.2309
1290900.0,1,1.5,4201.23,4200.0,1.2309
1301300.0,2,1.5,8401.22,8399.99,1.2309
1319200.0,2,1.5,551.23,549.999,1.2309
1567000.0,0,0.5,4205.0,4200.0,5.0
1603000.0,1,1.5,15001.2,15000.0,1.2309
1629000.0,1,0.5,35001.2,35000.0,1.2309
1709000.0,2,2.5,9601.22,9599.99,1.2309
1754000.0,1,0.5,2601.23,2600.0,1.2309
