energy,L,J,totalWidth,neutronWidth,captureWidth
-9425.578,1,3.5,2.172594,0.03208386,2.14051
-8985.373,1,4.5,2.087903,0.03376218,2.054141
-8939.225,1,1.5,2.322756,0.03272424,2.290032
-7392.11,0,2.5,24.33069,21.67704,2.653652
-6715.292,0,3.5,23.7504,21.19667,2.55373
-5511.145,1,3.5,2.154931,0.01442109,2.14051
-4363.533,1,1.5,2.301262,0.01123004,2.290032
-4300.578,1,4.5,2.055158,0.001016975,2.054141
-3739.757,1,2.5,2.273479,0.002609577,2.270869
-3576.625,0,2.5,2.690786,0.03713426,2.653652
-2800.859,0,3.5,12.2217,9.667971,2.55373
-2485.239,1,2.5,2.271239,0.0003704767,2.270869
-1596.712,1,3.5,2.141164,0.0006538986,2.14051
-1050.785,0,3.5,4.868295,2.314565,2.55373
-375.4739,0,2.5,23.34753,20.69388,2.653652
-323.4778,1,4.5,2.054468,0.0003272677,2.054141
-316.4392,1,2.5,2.271306,0.0004365207,2.270869
1423.365,0,2.5,2.677078,0.02342589,2.653652
2199.131,0,3.5,11.12046,8.566733,2.55373
3949.205,0,3.5,7.040845,4.487116,2.55373
4624.516,0,2.5,75.27848,72.62483,2.653652
4676.512,1,4.5,2.072024,0.01788267,2.054141
4683.551,1,2.5,2.295577,0.02470795,2.270869
6423.355,0,2.5,2.703416,0.04976442,2.653652
7199.121,0,3.5,18.05365,15.49992,2.55373
8949.195,0,3.5,9.308403,6.754673,2.55373
9363.543,1,1.5,2.325093,0.03506147,2.290032
9624.506,0,2.5,107.4247,104.771,2.653652
9676.502,1,4.5,2.107007,0.0528657,2.054141
9683.541,1,2.5,2.343827,0.07295792,2.270869
12317.7,1,3.5,2.188254,0.0477441,2.14051
12863.63,0,3.5,31.89081,29.33708,2.55373
13439.99,0,2.5,31.88273,29.22908,2.653652
13939.23,1,1.5,2.353323,0.06329106,2.290032
14361.3,1,4.5,2.121868,0.06772693,2.054141
16232.13,1,3.5,2.212355,0.07184541,2.14051
