energy,L,J,totalWidth,neutronWidth,captureWidth
-172.0,0,0.5,0.2355,0.1715,0.0639999
97.2,1,1.5,0.08018,0.00018,0.08
363.7,0,0.5,0.71,0.64,0.07
507.4,1,0.5,0.0844,0.0044,0.08
536.1,1,0.5,0.0842,0.0042,0.08
787.4,1,0.5,0.0858,0.0058,0.08
1070.7,1,1.5,0.169,0.0649999,0.104
1263.0,1,1.5,0.139,0.05,0.089
1407.4,0,0.5,0.162,0.116,0.046
1700.4,1,1.5,0.249,0.18,0.0689999
1769.5,1,0.5,0.11,0.021,0.089
1941.1,0,0.5,1.066,1.01,0.056
2066.0,1,0.5,0.0865,0.0065,0.08
2425.0,1,1.5,0.316,0.26,0.056
2636.0,0,0.5,0.475,0.41,0.0649999
2671.0,1,1.5,0.072,0.006,0.066
2962.0,1,1.5,0.1058,0.0258,0.08
3015.0,0,0.5,2.0,1.95,0.05
3078.0,1,0.5,0.211,0.101,0.11
3269.0,1,1.5,0.173,0.0689999,0.104
3547.0,1,1.5,0.115,0.035,0.08
3557.0,1,0.5,0.172,0.099,0.073
3613.0,1,1.5,0.141,0.061,0.08
4165.0,1,1.5,0.107,0.008,0.099
4521.0,0,0.5,0.951,0.87,0.081
4559.0,1,1.5,0.1765,0.0875,0.089
4745.0,0,0.5,0.263,0.195,0.068
4788.0,1,0.5,0.112,0.015,0.0969999
5168.0,0,0.5,5.55,5.48,0.07
5250.0,1,0.5,0.143,0.063,0.08
5636.0,0,0.5,7.773,7.7,0.073
5732.0,1,0.5,0.0993,0.0193,0.08
6005.0,1,0.5,0.721,0.66,0.061
6126.0,1,1.5,0.25,0.175,0.075
6393.0,1,1.5,0.355,0.275,0.08
6690.0,1,1.5,0.22,0.14,0.08
7095.0,1,1.5,0.217,0.138,0.0789999
7273.0,0,0.5,4.75,4.68,0.07
7628.0,1,0.5,0.242,0.162,0.08
7642.0,1,0.5,0.349,0.269,0.08
7673.0,0,0.5,6.051,6.0,0.051
7703.0,1,0.5,1.064,1.0,0.0639999
7940.0,1,1.5,0.167,0.105,0.062
8215.0,1,1.5,0.206,0.117,0.089
8440.0,0,0.5,0.529,0.47,0.059
8800.0,0,0.5,1.092,1.03,0.062
9008.0,1,1.5,0.628,0.55,0.0779999
9253.0,1,0.5,0.112,0.032,0.08
9610.0,1,1.5,0.28,0.205,0.075
9658.0,0,0.5,2.967,2.9,0.067
9833.0,1,0.5,0.283,0.21,0.073
9943.0,1,0.5,0.148,0.068,0.08
10210.0,1,1.5,0.884,0.825,0.059
10420.0,1,1.5,0.195,0.138,0.057
10648.0,1,0.5,0.731,0.67,0.061
10940.0,1,1.5,0.235,0.165,0.07
11055.0,1,1.5,0.195,0.103,0.0919999
11398.0,0,0.5,0.89,0.778,0.112
11593.0,1,0.5,0.411,0.335,0.076
11728.0,1,0.5,2.975,2.9,0.075
11985.0,0,0.5,12.068,12.0,0.068
12152.0,1,0.5,0.457,0.377,0.08
12463.0,1,0.5,3.283,3.2,0.0829999
12568.0,1,0.5,0.312,0.22,0.0919999
12642.0,1,0.5,0.228,0.19,0.038
12688.0,1,0.5,0.674,0.58,0.094
12725.0,1,1.5,0.244,0.165,0.0789999
13060.0,1,0.5,0.738,0.67,0.068
13429.0,1,1.5,0.171,0.091,0.08
13545.0,1,1.5,2.98,2.9,0.08
13941.0,1,0.5,0.643,0.57,0.073
13997.0,0,0.5,2.51,2.44,0.07
14203.0,1,0.5,1.048,0.99,0.058
14748.0,0,0.5,2.215,2.16,0.055
15261.0,1,1.5,0.231,0.158,0.073
15346.0,1,1.5,2.455,2.375,0.08
15581.0,1,0.5,0.4,0.32,0.08
15635.0,0,0.5,22.26,22.2,0.06
15757.0,1,1.5,0.457,0.368,0.089
15898.0,1,1.5,2.56,2.5,0.06
16017.0,1,1.5,0.435,0.355,0.08
16470.0,1,0.5,5.891,5.8,0.091
16666.0,0,0.5,14.378,14.3,0.0779999
16800.0,1,1.5,0.677,0.59,0.087
16925.0,0,0.5,1.74,1.66,0.08
17132.0,1,1.5,0.55,0.45,0.1
17525.0,1,1.5,0.322,0.225,0.0969999
17696.0,0,0.5,26.249,26.2,0.049
18009.0,1,1.5,0.64,0.56,0.08
18645.0,1,1.5,0.43,0.35,0.08
19064.0,1,1.5,0.162,0.082,0.08
19355.0,0,0.5,2.712,2.65,0.062
19663.0,1,1.5,0.393,0.285,0.108
19895.0,1,1.5,2.333,2.2,0.133
20094.0,0,0.5,13.584,13.5,0.084
20147.0,1,1.5,0.166,0.086,0.08
20563.0,1,0.5,0.116,0.036,0.08
20672.0,1,0.5,0.142,0.062,0.08
20735.0,0,0.5,10.45,10.4,0.05
20877.0,1,1.5,1.332,1.245,0.087
21213.0,1,1.5,3.302,3.2,0.102
21571.0,1,1.5,6.63,6.5,0.13
21810.0,1,1.5,1.52,1.41,0.11
22174.0,0,0.5,7.376,7.3,0.076
22232.0,1,1.5,0.457,0.377,0.08
22400.0,0,0.5,7.681,7.6,0.081
22822.0,0,0.5,13.761,13.7,0.061
22960.0,1,1.5,3.016,2.9,0.116
23153.0,1,1.5,2.077,2.0,0.077
23403.0,0,0.5,6.049,6.0,0.049
23521.0,1,0.5,0.356,0.276,0.08
23594.0,1,0.5,0.152,0.072,0.08
23880.0,0,0.5,18.263,18.2,0.063
23914.0,1,0.5,0.136,0.056,0.08
24235.0,1,1.5,0.203,0.123,0.08
24341.0,1,0.5,2.946,2.9,0.046
24438.0,1,1.5,2.31,2.2,0.11
24590.0,0,0.5,18.594,18.5,0.094
24982.0,1,1.5,2.021,1.95,0.071
25222.0,1,1.5,0.556,0.47,0.086
25740.0,1,1.5,4.34,4.25,0.09
25827.0,0,0.5,8.742,8.7,0.042
25975.0,1,1.5,5.302,5.2,0.102
26165.0,1,1.5,0.772,0.7,0.072
