energy,L,J,totalWidth,neutronWidth,captureWidth
2810.0,0,1.0,376.34,376.0,0.353
7617.0,1,2.0,0.6058,0.0058,0.6
35390.0,1,1.0,3.5,1.6,1.9
53220.0,1,2.0,1112.8,1112.0,0.785
117430.0,1,1.0,31.03,26.8,4.23
143130.0,1,0.0,23.6,16.5,7.1
190060.0,2,0.0,27.5,18.2,9.3
201150.0,1,1.0,4927.9,4925.0,2.94
214300.0,1,0.0,14285.0,14280.0,4.64
236710.0,2,2.0,66.79,65.2,1.59
239050.0,1,2.0,5350.2,5349.0,1.2
242970.0,0,1.0,329.5,328.0,1.5
298320.0,0,2.0,2039.0,2038.0,1.02
299410.0,1,1.0,132.56,130.0,2.56
305200.0,2,0.0,78.0,68.3,9.7
392320.0,1,1.0,22770.0,22760.0,9.87
430900.0,2,0.0,4005.3,4000.0,5.29
448820.0,2,2.0,7029.5,7026.0,3.52
538570.0,0,1.0,62780.0,62770.0,10.14
598000.0,1,1.0,25800.0,25800.0,0.0
697000.0,2,4.0,60000.0,60000.0,0.0
727000.0,1,3.0,45000.0,45000.0,0.0
780000.0,2,4.0,44000.0,44000.0,0.0
