energy,L,J,totalWidth,neutronWidth,captureWidth
-105.4,0,4.0,0.541,0.369,0.172
35.922,1,5.0,0.191114,0.000114,0.191
42.27,1,4.0,0.166097,9.7e-05,0.166
94.417,1,3.0,0.190469,0.000469,0.19
105.94,0,4.0,0.145493,0.000493,0.145
119.11,0,5.0,0.13243,0.00343,0.129
192.41,0,4.0,0.10845,0.00045,0.108
194.25,0,5.0,0.2105,0.0285,0.182
243.9,1,4.0,0.22931,0.00231,0.227
318.95,1,5.0,0.24755,0.00155,0.246
335.42,0,4.0,0.2479,0.0169,0.231
362.71,1,6.0,0.13622,0.00022,0.136
364.93,0,5.0,0.15153,0.00053,0.151
378.47,0,5.0,0.2072,0.1149,0.0923
392.53,1,6.0,0.1847,0.0017,0.183
460.31,0,5.0,0.19934,0.00634,0.193
500.67,1,5.0,0.25471,0.00371,0.251
599.2,0,4.0,0.145278,0.001278,0.144
604.1,0,4.0,0.160667,0.003667,0.157
617.5,0,5.0,0.150236,0.001236,0.149
641.1,0,5.0,0.14971,0.00471,0.145
672.3,1,6.0,0.2178,0.0068,0.211
678.2,1,4.0,0.1353,0.0023,0.133
721.3,1,4.0,0.25,0.016,0.234
741.4,0,4.0,0.336,0.207,0.129
757.7,1,3.0,0.251457,0.003457,0.248
912.8,0,4.0,0.20017,0.00417,0.196
935.4,0,5.0,0.53,0.391,0.139
953.4,1,6.0,0.258846,0.009846,0.249
1009.6,0,4.0,0.75,0.612,0.138
1016.8,1,6.0,0.28033,0.01933,0.261
1108.4,1,4.0,0.25143,0.01043,0.241
1127.9,1,3.0,0.25754,0.02554,0.232
1149.2,0,5.0,0.3063,0.1663,0.14
1175.7,0,4.0,0.474,0.331,0.143
1194.9,0,4.0,0.214,0.04,0.174
1229.8,0,4.0,0.19978,0.04478,0.155
1243.7,1,4.0,0.26533,0.01533,0.25
1283.7,1,4.0,0.24667,0.01167,0.235
1351.3,1,6.0,0.27708,0.02708,0.25
1355.3,1,3.0,0.26543,0.01743,0.248
1393.3,0,4.0,0.35,0.203,0.147
1452.5,0,4.0,1.176,0.948,0.228
1467.9,1,4.0,0.288,0.044,0.244
1530.0,1,3.0,0.28,0.02,0.26
1541.3,1,3.0,0.28,0.04,0.24
1557.0,1,6.0,0.266,0.012,0.254
1576.9,0,4.0,0.73,0.219,0.511
1616.0,1,6.0,0.27,0.0239,0.2461
1654.6,0,4.0,0.22,0.0566,0.1634
1678.5,1,6.0,0.225,0.0035,0.2215
1714.0,1,4.0,0.17,0.0602,0.1098
1768.5,1,4.0,0.18,0.0292,0.1508
1812.7,0,5.0,0.195,0.0746,0.1204
1834.1,0,4.0,1.026,0.791,0.235
1946.0,1,6.0,0.257,0.00414999,0.25285
1982.4,1,3.0,0.25,0.0126,0.2374
1992.4,0,4.0,0.13,0.0228,0.1072
2023.7,0,5.0,0.84,0.644,0.196
2070.2,1,6.0,0.3,0.0481,0.2519
2076.1,0,5.0,0.324,0.155,0.169
2118.8,1,5.0,0.3,0.0387,0.2613
2149.4,1,3.0,0.3299999,0.0785999,0.2514
2156.7,0,5.0,0.41,0.267,0.143
2186.4,1,5.0,0.27,0.02,0.25
2231.8,0,5.0,0.23,0.1573,0.0727
2310.0,0,5.0,0.174618,0.002618,0.172
2335.0,0,5.0,0.21564,0.04364,0.172
2341.0,0,4.0,0.6876,0.5156,0.172
2361.0,0,4.0,0.21522,0.04322,0.172
2392.0,0,5.0,0.177364,0.005364,0.172
2421.0,0,4.0,2.4,2.249,0.151
2455.0,1,3.0,0.24857,0.03657,0.212
2462.0,1,5.0,0.2999099,0.0879099,0.212
2507.0,1,4.0,0.24989,0.03789,0.212
2543.0,0,4.0,0.22956,0.05756,0.172
2574.0,0,4.0,0.212,0.04,0.172
2641.0,0,4.0,2.7852,2.5467,0.2385
2657.0,1,4.0,0.29058,0.05778,0.2328
