energy,L,J,totalWidth,neutronWidth,captureWidth
-434.0,0,0.5,18.226,18.187,0.039
94.9,1,1.5,0.024265,0.000265,0.024
155.4,0,0.5,1.702,1.65,0.052
172.4,1,0.5,0.02441,0.00041,0.024
184.5,1,1.5,0.0240325,3.25e-05,0.024
252.9,1,1.5,0.0242,0.0002,0.024
287.5,0,0.5,3.218,3.16,0.058
398.3,0,0.5,0.419,0.38,0.039
514.0,1,0.5,0.0259,0.0019,0.024
628.5,1,1.5,0.024425,0.000425,0.024
714.9,0,0.5,2.389,2.35,0.039
779.3,0,0.5,0.0465,0.0075,0.039
871.9,0,0.5,0.354,0.315,0.039
905.0,1,1.5,0.02745,0.00345,0.024
1054.1,0,0.5,2.569,2.53,0.039
1176.2,0,0.5,2.689,2.65,0.039
1208.8,0,0.5,0.0754,0.0364,0.039
1244.0,1,0.5,0.032,0.008,0.024
1299.0,1,1.5,0.02565,0.00165,0.024
1344.3,0,0.5,1.854,1.815,0.039
1388.0,1,1.5,0.02845,0.00445,0.024
1533.5,0,0.5,3.729,3.69,0.039
1793.7,0,0.5,0.1515,0.1125,0.039
2028.3,0,0.5,0.544,0.505,0.039
2177.7,0,0.5,5.914,5.875,0.039
2376.9,0,0.5,3.439,3.4,0.039
2429.5,0,0.5,2.089,2.05,0.039
2562.3,0,0.5,9.039,9.0,0.039
2710.0,1,0.5,0.046,0.022,0.024
2772.0,1,0.5,0.036,0.012,0.024
2784.0,0,0.5,1.247,1.21,0.037
2989.0,0,0.5,2.206,2.17,0.036
3045.0,1,0.5,0.0261,0.0021,0.024
3065.0,1,1.5,0.02755,0.00355,0.024
3121.0,1,1.5,0.054,0.03,0.024
3170.0,1,1.5,0.044,0.02,0.024
3355.0,1,1.5,0.0285,0.0085,0.02
3442.0,1,1.5,0.02815,0.00415,0.024
3484.0,0,0.5,0.696,0.665,0.031
3612.0,1,1.5,0.0275,0.0035,0.024
3645.0,0,0.5,0.132,0.093,0.039
3769.0,1,1.5,0.0265,0.0025,0.024
3812.0,0,0.5,0.469,0.43,0.039
3837.0,1,1.5,0.03,0.006,0.024
3891.0,0,0.5,19.185,19.15,0.035
3948.0,1,0.5,0.0284,0.0044,0.024
3972.0,1,1.5,0.0256,0.0016,0.024
4027.0,1,1.5,0.03,0.006,0.024
4073.0,0,0.5,17.617,17.55,0.067
4145.0,1,1.5,0.0315,0.0075,0.024
4267.0,0,0.5,7.246,7.2,0.046
4307.0,1,1.5,0.032,0.008,0.024
4403.0,1,1.5,0.028,0.004,0.024
4420.0,0,0.5,1.537,1.49,0.047
4442.0,1,0.5,0.032,0.008,0.024
4522.0,1,1.5,0.0256,0.0016,0.024
4565.0,1,1.5,0.02505,0.00105,0.024
4619.0,1,0.5,0.039,0.015,0.024
4653.0,0,0.5,4.903,4.865,0.038
4691.0,0,0.5,0.937,0.9,0.037
4807.0,1,1.5,0.0256,0.0016,0.024
4838.0,1,1.5,0.046,0.0225,0.0235
5041.0,1,0.5,0.06,0.036,0.024
5068.0,1,1.5,0.0485,0.0245,0.024
5222.0,1,0.5,0.041,0.017,0.024
5292.0,0,0.5,3.816,3.775,0.041
5302.0,1,1.5,0.0375,0.0135,0.024
5401.0,1,1.5,0.051,0.027,0.024
5460.0,0,0.5,1.622,1.59,0.032
5632.0,1,1.5,0.027,0.003,0.024
5669.0,0,0.5,4.039,4.0,0.039
5788.0,0,0.5,0.289,0.255,0.034
5933.0,1,1.5,0.051,0.027,0.024
5964.0,1,1.5,0.036,0.012,0.024
6068.0,1,1.5,0.0275,0.0035,0.024
6093.0,0,0.5,5.401,5.355,0.046
6133.0,1,0.5,0.03,0.006,0.024
6165.0,1,0.5,0.028,0.004,0.024
6213.0,1,1.5,0.026,0.002,0.024
6313.0,1,1.5,0.031,0.007,0.024
6343.0,1,1.5,0.051,0.027,0.024
6415.0,1,1.5,0.03,0.006,0.024
6460.0,1,0.5,0.03,0.006,0.024
6490.0,0,0.5,0.535,0.495,0.04
6545.0,1,1.5,0.025,0.001,0.024
6620.0,1,0.5,0.042,0.018,0.024
6640.0,0,0.5,3.709,3.67,0.039
6763.0,1,1.5,0.054,0.03,0.024
6783.0,1,1.5,0.042,0.018,0.024
6860.0,1,1.5,0.0325,0.0085,0.024
6925.0,1,1.5,0.0255,0.0015,0.024
6968.0,1,0.5,0.032,0.008,0.024
7058.0,0,0.5,14.14,14.09,0.05
7100.0,1,1.5,0.046,0.022,0.024
7133.0,1,1.5,0.034,0.01,0.024
7195.0,1,1.5,0.061,0.037,0.024
7240.0,1,1.5,0.032,0.008,0.024
7303.0,0,0.5,6.039,6.0,0.039
7370.0,0,0.5,2.853,2.805,0.048
7505.0,1,0.5,0.073,0.049,0.024
7545.0,1,0.5,0.073,0.049,0.024
7586.0,0,0.5,0.199,0.16,0.039
7668.0,0,0.5,14.067,14.0,0.067
7710.0,1,1.5,0.0295,0.0055,0.024
7798.0,1,1.5,0.02565,0.00165,0.024
7893.0,1,1.5,0.028,0.004,0.024
7950.0,1,1.5,0.061,0.037,0.024
7978.0,1,1.5,0.0705,0.0465,0.024
8646.0,0,0.5,24.289,24.25,0.039
8774.0,0,0.5,7.039,7.0,0.039
9049.0,0,0.5,8.339,8.3,0.039
9390.0,0,0.5,4.799,4.76,0.039
9600.0,0,0.5,1.749,1.71,0.039
9676.0,0,0.5,3.249,3.21,0.039
9973.0,0,0.5,3.734,3.695,0.039
