energy,L,J,totalWidth,neutronWidth,captureWidth
-329693.3,1,0.0,611.9456,611.8777,0.06788911
-196391.9,1,0.0,1.173052,1.105163,0.06788911
-181577.4,0,1.0,11.89081,11.02225,0.8685563
-174392.3,1,3.0,95.29764,94.86807,0.4295762
-141192.2,0,1.0,33.35771,32.48915,0.8685563
-141069.8,1,3.0,42.5692,42.13962,0.4295762
-106856.3,1,2.0,8.543361,8.218551,0.3248101
-97468.93,1,1.0,20.02882,19.04814,0.9806818
-96735.35,0,2.0,1505.191,1504.888,0.3028349
-75411.29,0,1.0,91.01469,90.14613,0.8685563
-59313.05,0,2.0,30.95441,30.65158,0.3028349
-58493.64,1,3.0,109.4099,108.9803,0.4295762
-57721.85,1,1.0,7.662197,6.681515,0.9806818
-54384.57,1,2.0,1.571863,1.247053,0.3248101
-54328.05,1,0.0,192.8112,192.7433,0.06788911
-21935.77,1,1.0,1.514358,0.5336766,0.9806818
-19678.27,1,2.0,2.674746,2.349936,0.3248101
-11478.62,0,2.0,70.75157,70.44873,0.3028349
-7585.5,0,2.0,29.09194,27.09194,2.0
1115.794,0,2.0,30.65239,30.34956,0.3028349
22441.59,0,1.0,466.1944,465.3259,0.8685563
52826.78,0,1.0,217.8249,216.9563,0.8685563
74961.62,0,2.0,19.04182,18.73899,0.3028349
85542.51,0,2.0,100.8022,100.4994,0.3028349
117890.4,0,1.0,9.749895,8.881339,0.8685563
158275.6,0,1.0,35.2671,34.39854,0.8685563
174957.6,0,2.0,0.890843,0.5880081,0.3028349
202732.5,0,2.0,2178.882,2178.579,0.3028349
224056.5,0,1.0,156.253,155.3845,0.8685563
240154.8,0,2.0,61.97983,61.677,0.3028349
245139.8,1,0.0,1619.417,1619.349,0.06788911
287989.2,0,2.0,353.1744,352.8715,0.3028349
300583.6,0,2.0,498.4331,498.1303,0.3028349
321909.4,0,1.0,1763.238,1762.37,0.8685563
352294.6,0,1.0,561.1397,560.2712,0.8685563
374429.4,0,2.0,42.18331,41.88048,0.3028349
385010.3,0,2.0,213.5133,213.2105,0.3028349
417358.2,0,1.0,17.57922,16.71067,0.8685563
544607.6,1,0.0,4491.999,4491.93,0.06788911
677908.9,1,0.0,1486.621,1486.553,0.06788911
