energy,L,J,totalWidth,neutronWidth,captureWidth
-20574.15,0,0.0,370.9578,370.5052,0.4526293
-20574.15,1,0.0,2.658518,2.204485,0.4540326
-10831.79,0,0.0,269.2862,268.8336,0.4526293
-10831.79,1,0.0,1.308322,0.8542891,0.4540326
-10488.8,0,1.0,96.43861,95.51167,0.9269381
-9014.76,1,1.0,0.889361,0.2487075,0.6406535
-6971.375,0,1.0,225.5182,224.5912,0.9269381
-5497.338,1,1.0,0.6656493,0.02499578,0.6406535
-4097.039,1,2.0,0.4729216,0.004679052,0.4682425
-3527.075,1,2.0,0.4738693,0.005626826,0.4682425
-2885.249,1,1.0,0.6798278,0.03917429,0.6406535
-1089.426,0,0.0,85.71005,85.25742,0.4526293
-1089.426,1,0.0,0.4816811,0.02764855,0.4540326
-443.3044,1,2.0,0.4704284,0.00218587,0.4682425
-299.9949,0,1.0,1.130796,0.2038577,0.9269381
592.1151,0,1.0,66.38102,65.45409,0.9269381
7263.495,0,1.0,1.930036,1.003097,0.9269381
8155.605,0,1.0,243.8461,242.9192,0.9269381
8652.936,0,0.0,240.7312,240.2786,0.4526293
14826.99,0,1.0,2.360105,1.433167,0.9269381
18344.41,0,1.0,127.2392,126.3122,0.9269381
18395.3,0,0.0,350.7902,350.3376,0.4526293
18395.3,1,0.0,2.323725,1.869692,0.4540326
28137.66,0,0.0,433.7414,433.2887,0.4526293
28137.66,1,0.0,3.941259,3.487226,0.4540326
