energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-0.2830224,0,1.5,0.07485108,0.0002072434,0.05,0.02464384
0.181,0,1.5,0.866785,0.0001184389,0.05,0.8166666
1.121752,0,2.5,0.4350938,0.0003084075,0.05,0.3847854
1.829901,0,1.5,0.4049548,0.0001486147,0.05,0.3548062
2.285708,0,2.5,0.08377417,6.749995e-05,0.05,0.03370667
2.555363,0,2.5,0.1882446,6.213033e-05,0.05,0.1381825
2.882383,0,1.5,0.5532273,0.0002045791,0.05,0.5030227
3.284532,0,2.5,0.2520763,0.0001317003,0.05,0.2019446
3.53,0,1.5,0.226031,0.0001338865,0.05,0.1758971
4.035,0,2.5,0.1817665,4.385437e-05,0.05,0.1317226
4.355679,0,2.5,0.1046545,0.0001153441,0.05,0.0545392
4.715054,0,2.5,0.1003474,0.0001367765,0.05,0.05021058
4.979893,0,1.5,0.160482,0.0001151935,0.05,0.1103668
5.365133,0,2.5,0.1673747,3.879617e-05,0.05,0.1173359
5.745799,0,2.5,0.07884045,9.486193e-05,0.05,0.02874559
5.988884,0,1.5,0.3208972,0.0002745327,0.05,0.2706227
6.573312,0,2.5,0.2623023,0.0002469297,0.05,0.2120554
