energy,L,J,totalWidth,neutronWidth,captureWidth
-1.08,0,0.5,0.01007,0.00355,0.00652
22.38,0,0.5,0.084,0.013,0.071
44.68,0,0.5,0.16,0.085,0.075
66.28,0,0.5,0.0889,0.0289,0.06
89.68,0,0.5,0.0715,0.0115,0.06
137.89,0,0.5,0.489,0.429,0.06
145.24,0,0.5,0.0629,0.0029,0.06
169.67,0,0.5,0.0657,0.0057,0.06
201.87,0,0.5,0.1219,0.0619,0.06
249.48,0,0.5,0.077,0.017,0.06
272.92,0,0.5,0.0619,0.0019,0.06
281.02,0,0.5,0.202,0.142,0.06
313.37,0,0.5,0.1012,0.0412,0.06
342.4,0,0.5,0.728,0.668,0.06
370.0,0,0.5,0.216,0.156,0.06
380.0,0,0.5,0.198,0.138,0.06
416.81,0,0.5,0.1022,0.0422,0.06
423.1,0,0.5,0.183,0.123,0.06
452.05,0,0.5,0.077,0.017,0.06
521.0,0,0.5,0.209,0.149,0.06
567.8,0,0.5,0.303,0.243,0.06
604.6,0,0.5,0.111,0.051,0.06
634.7,0,0.5,0.258,0.198,0.06
643.5,0,0.5,0.569,0.509,0.06
655.3,0,0.5,0.522,0.462,0.06
679.7,0,0.5,0.402,0.342,0.06
735.8,0,0.5,0.071,0.011,0.06
763.0,0,0.5,0.183,0.123,0.06
796.8,0,0.5,0.117,0.057,0.06
837.1,0,0.5,0.422,0.362,0.06
845.8,0,0.5,0.102,0.042,0.06
868.5,0,0.5,0.784,0.724,0.06
891.3,0,0.5,0.163,0.103,0.06
962.6,0,0.5,1.67,1.61,0.06
980.0,0,0.5,0.879,0.819,0.06
1023.8,0,0.5,0.305,0.245,0.06
1037.5,0,0.5,0.331,0.271,0.06
1054.0,0,0.5,0.063,0.003,0.06
1073.5,0,0.5,0.133,0.073,0.06
1167.0,0,0.5,0.064,0.004,0.06
1204.5,0,0.5,0.081,0.021,0.06
1224.2,0,0.5,0.09,0.03,0.06
1228.0,0,0.5,0.616,0.556,0.06
1243.8,0,0.5,0.108,0.048,0.06
1264.3,0,0.5,0.146,0.086,0.06
1268.0,0,0.5,0.08,0.02,0.06
1298.1,0,0.5,0.915,0.855,0.06
1323.6,0,0.5,0.36,0.3,0.06
1359.0,0,0.5,1.21,1.15,0.06
1400.3,0,0.5,0.116,0.056,0.06
1462.3,0,0.5,0.371,0.311,0.06
1476.5,0,0.5,0.099,0.039,0.06
1503.8,0,0.5,0.229,0.169,0.06
1528.0,0,0.5,0.065,0.005,0.06
1596.6,0,0.5,0.199,0.139,0.06
1626.1,0,0.5,0.549,0.489,0.06
1648.4,0,0.5,0.07,0.01,0.06
1686.7,0,0.5,0.099,0.039,0.06
1713.0,0,0.5,0.228,0.168,0.06
1741.7,0,0.5,0.101,0.041,0.06
1747.4,0,0.5,0.473,0.413,0.06
1790.0,0,0.5,0.064,0.004,0.06
1811.3,0,0.5,0.101,0.041,0.06
1821.0,0,0.5,0.127,0.067,0.06
1859.2,0,0.5,0.184,0.124,0.06
1919.0,0,0.5,0.173,0.113,0.06
1940.0,0,0.5,0.07,0.01,0.06
1957.0,0,0.5,0.313,0.253,0.06
1969.0,0,0.5,0.147,0.087,0.06
1990.3,0,0.5,0.443,0.383,0.06
2010.0,0,0.5,0.078,0.018,0.06
2064.0,0,0.5,0.364,0.304,0.06
2090.5,0,0.5,0.296,0.236,0.06
2153.6,0,0.5,0.105,0.045,0.06
2166.7,0,0.5,0.208,0.148,0.06
2185.6,0,0.5,0.132,0.072,0.06
2200.0,0,0.5,0.133,0.073,0.06
2220.0,0,0.5,0.138,0.078,0.06
2228.4,0,0.5,0.324,0.264,0.06
2273.0,0,0.5,0.076,0.016,0.06
2300.6,0,0.5,0.535,0.475,0.06
2308.5,0,0.5,0.286,0.226,0.06
2312.1,0,0.5,0.267,0.207,0.06
2372.8,0,0.5,0.695,0.635,0.06
2390.4,0,0.5,0.38,0.32,0.06
2421.1,0,0.5,0.125,0.065,0.06
2438.1,0,0.5,1.056,0.996,0.06
2472.5,0,0.5,0.302,0.242,0.06
2489.7,0,0.5,0.094,0.034,0.06
2538.3,0,0.5,0.154,0.094,0.06
2585.7,0,0.5,0.711,0.651,0.06
2625.6,0,0.5,0.08,0.02,0.06
2656.0,0,0.5,0.128,0.068,0.06
2659.6,0,0.5,0.448,0.388,0.06
2666.5,0,0.5,0.093,0.033,0.06
2732.9,0,0.5,0.381,0.321,0.06
2747.3,0,0.5,0.142,0.082,0.06
2764.4,0,0.5,0.118,0.058,0.06
2806.2,0,0.5,0.825,0.765,0.06
2812.2,0,0.5,0.197,0.137,0.06
2820.4,0,0.5,0.511,0.451,0.06
2851.1,0,0.5,0.12,0.06,0.06
2880.9,0,0.5,0.227,0.167,0.06
2906.5,0,0.5,1.054,0.994,0.06
2934.9,0,0.5,0.155,0.095,0.06
2942.0,0,0.5,0.08,0.02,0.06
2959.8,0,0.5,0.202,0.142,0.06
2967.8,0,0.5,0.335,0.275,0.06
2990.0,0,0.5,0.121,0.061,0.06
3035.9,0,0.5,0.119,0.059,0.06
3058.5,0,0.5,0.229,0.169,0.06
3101.0,0,0.5,0.419,0.359,0.06
3137.7,0,0.5,0.295,0.235,0.06
3206.3,0,0.5,0.291,0.231,0.06
3217.5,0,0.5,0.237,0.177,0.06
3225.7,0,0.5,0.171,0.111,0.06
3248.9,0,0.5,2.75,2.69,0.06
3316.3,0,0.5,0.12,0.06,0.06
3337.2,0,0.5,0.328,0.268,0.06
3354.8,0,0.5,1.29,1.23,0.06
