energy,L,J,totalWidth,neutronWidth,captureWidth,fissionWidth
-5.0,0,1.5,0.723,0.033,0.04,0.65
-0.3,0,1.5,0.08067,0.00027,0.0547,0.0257
0.33,0,2.5,0.2363176,6.759e-05,0.04197,0.19428
0.67,0,2.5,0.2413271,3.707e-05,0.03783,0.20346
1.14,0,1.5,0.4070948,3.482e-05,0.04399,0.36307
1.42,0,2.5,0.1408423,2.234e-05,0.04102,0.0998
2.73,0,2.5,0.2581967,0.00045673,0.04368,0.21406
3.06,0,1.5,0.285204,0.000344,0.04153,0.24333
4.14,0,1.5,0.364534,0.00048403,0.03612,0.32793
4.9,0,1.5,0.2870989,0.00017894,0.03767,0.24925
5.55,0,2.5,0.1407462,4.618e-05,0.04075,0.09995
5.82,0,2.5,0.1011586,0.00013762,0.03852,0.062501
6.45,0,1.5,0.1999452,0.0005052,0.04148,0.15796
7.48,0,2.5,0.3448541,0.0001441,0.04384,0.30087
8.44,0,2.5,0.4815879,0.00033788,0.04411,0.43714
8.85,0,2.5,0.2582765,0.00050652,0.0425,0.21527
9.7,0,1.5,0.9819634,0.00043338,0.03476,0.94677
10.72,0,2.5,0.05156467,0.00017967,0.03995,0.011435
11.3,0,1.5,1.499993,0.00116292,0.03083,1.468
11.86,0,2.5,0.1581446,0.00024457,0.03894,0.11896
12.25,0,2.5,0.1862902,0.00084017,0.04293,0.14252
13.07,0,2.5,0.1400363,6.627e-05,0.03937,0.1006
13.7,0,1.5,0.7100896,0.00184963,0.03586,0.67238
14.5,0,2.5,0.797354,0.000394,0.04472,0.75224
15.15,0,2.5,0.1274517,0.00015567,0.03629,0.091006
15.8,0,1.5,1.499903,0.0018733,0.05033,1.4477
16.55,0,2.5,0.130077,0.00018503,0.03972,0.090172
17.0,0,1.5,0.07759042,0.00076042,0.03667,0.04016
17.47,0,1.5,0.3534017,0.0007117,0.0438,0.30889
18.37,0,2.5,0.7664995,0.0008895,0.03366,0.73195
18.95,0,2.5,0.131185,0.000284,0.04052,0.090381
19.5,0,2.5,0.6318793,0.00173933,0.0353,0.59484
20.1,0,1.5,0.0590989,0.0009319,0.04022,0.017947
20.63,0,2.5,1.26441,0.00164015,0.04567,1.2171
