energy,L,J,totalWidth,neutronWidth,captureWidth
480.0,1,0.5,0.333,0.003,0.33
1333.0,1,0.5,0.415,0.025,0.39
1686.0,0,0.5,4.0,3.38,0.62
2480.0,0,0.5,5.85,5.49,0.36
2706.0,1,1.5,0.341,0.011,0.33
3804.0,1,0.5,0.394,0.0639999,0.33
4283.0,1,1.5,0.354,0.024,0.33
4718.0,1,0.5,0.52,0.19,0.33
6699.0,0,0.5,4.894,4.51,0.384
8395.0,0,0.5,47.95,46.4,1.55
9097.0,1,0.5,0.48,0.15,0.33
9645.0,0,0.5,9.42,7.86,1.56
11369.0,1,0.5,0.78,0.45,0.33
12903.0,0,0.5,57.235,56.6,0.635
13375.0,1,0.5,0.76,0.43,0.33
14817.0,0,0.5,4.854,4.3,0.554
15940.0,1,0.5,0.46,0.13,0.33
17445.0,1,0.5,0.59,0.26,0.33
17640.0,1,0.5,1.21,0.88,0.33
18505.0,0,0.5,0.756,0.26,0.496
18790.0,0,0.5,0.345,0.23,0.115
19745.0,0,0.5,3.471,2.53,0.941
20771.0,1,0.5,0.63,0.3,0.33
21652.0,1,0.5,0.96,0.63,0.33
22204.0,0,0.5,57.448,56.8,0.648
23280.0,1,1.5,1.575,1.245,0.33
24158.0,0,0.5,77.842,77.3,0.542
24512.0,1,0.5,0.78,0.45,0.33
25895.0,1,0.5,1.04,0.71,0.33
27568.0,0,0.5,31.557,30.3,1.257
27863.0,0,0.5,6.783,6.16,0.623
28136.0,1,0.5,1.28,0.95,0.33
28921.0,1,0.5,0.66,0.33,0.33
29020.0,1,0.5,1.37,1.04,0.33
29651.0,1,0.5,1.58,1.25,0.33
31469.0,1,0.5,0.63,0.3,0.33
32837.0,0,0.5,44.806,43.9,0.906
33481.0,1,0.5,1.69,1.36,0.33
33944.0,0,0.5,1.844,1.38,0.464
34241.0,1,1.5,8.6,8.27,0.33
36796.0,1,0.5,4.69,4.36,0.33
37700.0,1,0.5,0.98,0.65,0.33
38725.0,1,0.5,2.04,1.71,0.33
38920.0,1,0.5,2.17,1.84,0.33
39523.0,0,0.5,168.63,167.4,1.23
39850.0,1,0.5,3.11,2.78,0.33
40460.0,1,0.5,1.96,1.63,0.33
40570.0,1,0.5,1.56,1.23,0.33
40885.0,1,0.5,1.42,1.09,0.33
41660.0,0,0.5,7.474,7.05,0.424
42387.0,1,0.5,4.0,3.67,0.33
42496.0,1,1.5,4.12,3.79,0.33
42934.0,0,0.5,46.776,46.3,0.476
43034.0,1,1.5,2.92,2.59,0.33
43697.0,1,0.5,3.0,2.67,0.33
43908.0,1,0.5,1.04,0.71,0.33
44471.0,1,0.5,1.25,0.92,0.33
44906.0,0,0.5,21.898,21.4,0.498
45358.0,0,0.5,3.387,2.78,0.607
45874.0,1,0.5,6.55,6.22,0.33
46230.0,1,1.5,3.215,2.885,0.33
47820.0,1,1.5,2.85,2.52,0.33
49296.0,0,0.5,66.153,65.6,0.553
50225.0,1,0.5,2.22,1.89,0.33
50897.0,1,0.5,1.43,1.1,0.33
51720.0,1,0.5,3.59,3.26,0.33
52760.0,1,0.5,1.35,1.02,0.33
54259.0,1,0.5,2.21,1.88,0.33
54464.0,1,0.5,3.58,3.25,0.33
55058.0,0,0.5,153.66,153.0,0.66
55865.0,1,0.5,2.59,2.26,0.33
56050.0,1,0.5,0.83,0.5,0.33
56350.0,1,0.5,1.79,1.46,0.33
57179.0,0,0.5,37.17,36.1,1.07
58200.0,1,0.5,2.93,2.6,0.33
59300.0,0,0.5,8.41,7.9,0.51
59460.0,1,0.5,1.15,0.82,0.33
59743.0,1,1.5,4.8,4.47,0.33
60332.0,0,0.5,94.873,94.0,0.873
61206.0,1,0.5,7.2,6.87,0.33
