energy,L,J,totalWidth,neutronWidth,captureWidth
-162.1423,1,1.0,0.1462585,0.001376892,0.1448816
-109.1624,0,2.0,0.294375,0.1696053,0.1247697
-107.8392,1,1.0,0.1456285,0.0007469096,0.1448816
-103.9636,1,3.0,0.117315,0.0004067543,0.1169082
-88.41086,0,3.0,0.2362392,0.1229451,0.1132941
-77.21932,1,2.0,0.127656,0.0003232715,0.1273327
-75.53069,1,3.0,0.1171601,0.0002518957,0.1169082
-73.86316,0,2.0,0.2642834,0.1395137,0.1247697
-59.978,0,3.0,0.214558,0.1012639,0.1132941
-53.5361,1,1.0,0.1452461,0.0003644773,0.1448816
-47.09783,1,3.0,0.1169687,6.050644e-05,0.1169082
-41.9201,1,2.0,0.127462,0.0001293133,0.1273327
-38.63703,1,4.0,0.1022962,2.876286e-05,0.1022674
-38.56395,0,2.0,0.2327311,0.1079614,0.1247697
-31.54514,0,3.0,0.115368,0.002073923,0.1132941
-20.50326,1,4.0,0.1022694,2.03114e-06,0.1022674
-6.62089,1,2.0,0.1273531,2.040158e-05,0.1273327
-1.339697,1,4.0,0.102268,5.692611e-07,0.1022674
16.34106,0,2.0,0.1950475,0.07027776,0.1247697
23.35986,0,3.0,0.1150788,0.001784685,0.1132941
48.28411,1,2.0,0.1277345,0.0004017528,0.1273327
56.2739,1,1.0,0.1452744,0.0003927884,0.1448816
71.24606,0,2.0,0.271513,0.1467433,0.1247697
78.26486,0,3.0,0.1165608,0.003266703,0.1132941
91.14503,1,3.0,0.1172421,0.0003339038,0.1169082
103.1891,1,2.0,0.1285877,0.001255033,0.1273327
106.5453,0,2.0,0.2923296,0.1675599,0.1247697
106.6977,0,3.0,0.248357,0.1350629,0.1132941
108.4703,1,4.0,0.102682,0.0004146422,0.1022674
110.577,1,1.0,0.1456571,0.0007755286,0.1448816
119.5779,1,3.0,0.1174099,0.0005017334,0.1169082
135.1306,0,3.0,0.2652911,0.151997,0.1132941
138.4883,1,2.0,0.128109,0.0007763263,0.1273327
141.8445,0,2.0,0.3181042,0.1933345,0.1247697
164.8802,1,1.0,0.1462935,0.001411904,0.1448816
173.7876,1,2.0,0.1284239,0.001091243,0.1273327
