energy,L,J,totalWidth,neutronWidth,captureWidth
-1.6,0,4.0,0.0202021,0.0091565,0.0110456
5.36,0,3.0,0.11897,0.04011,0.07886
6.57,0,4.0,0.060964,0.001404,0.05956
6.92,0,3.0,0.079044,0.004754,0.07429
15.2,0,3.0,0.075696,0.001406,0.07429
19.6,0,3.0,0.076811,0.004811,0.072
21.53,0,4.0,0.06652311,2.311e-05,0.0665
23.09,0,3.0,0.06656858,6.858e-05,0.0665
29.3,0,4.0,0.068493,0.001993,0.0665
35.4,0,4.0,0.0668376,0.0003376,0.0665
38.1,0,4.0,0.08767,0.02117,0.0665
39.9,0,3.0,0.08544,0.01894,0.0665
45.7,0,3.0,0.09606,0.02956,0.0665
48.2,0,3.0,0.08877,0.02227,0.0665
52.4,0,3.0,0.069015,0.002515,0.0665
55.8,0,3.0,0.039833,0.001543,0.03829
65.4,0,3.0,0.13661,0.07011,0.0665
82.5,0,4.0,0.08922,0.02272,0.0665
85.4,0,4.0,0.0935,0.027,0.0665
89.8,0,4.0,0.067476,0.000976,0.0665
91.5,0,4.0,0.067352,0.000852,0.0665
95.2,0,4.0,0.08685,0.02035,0.0665
99.5,0,3.0,0.1119,0.0454,0.0665
115.1,0,3.0,0.15408,0.08758,0.0665
117.7,0,3.0,0.069488,0.002988,0.0665
131.1,0,4.0,0.1921,0.1256,0.0665
140.5,0,4.0,0.073604,0.007104,0.0665
144.6,0,3.0,0.12625,0.05975,0.0665
147.9,0,4.0,0.13805,0.07155,0.0665
153.9,0,3.0,0.12995,0.06345,0.0665
173.2,0,3.0,1.1695,1.103,0.0665
178.8,0,4.0,0.07866,0.01216,0.0665
188.9,0,3.0,0.2431,0.1766,0.0665
192.2,0,4.0,0.15597,0.08947,0.0665
208.4,0,3.0,0.2884,0.2219,0.0665
211.2,0,3.0,0.2411,0.1746,0.0665
220.3,0,4.0,0.14719,0.08069,0.0665
230.3,0,4.0,0.14266,0.07616,0.0665
239.1,0,4.0,0.2142,0.1477,0.0665
247.9,0,4.0,0.09826,0.03176,0.0665
275.3,0,4.0,0.1679,0.1014,0.0665
284.0,0,4.0,0.1804,0.1139,0.0665
297.0,0,4.0,0.11424,0.04774,0.0665
316.5,0,4.0,0.15841,0.09191,0.0665
