energy,L,J,totalWidth,neutronWidth,captureWidth
-2085.119,0,0.5,15.73617,5.872093,9.864076
-2067.535,1,0.5,6.724251,0.002631285,6.721619
-1555.489,1,0.5,6.723673,0.002053219,6.721619
-1188.589,1,1.5,6.510759,0.001264155,6.509495
-1168.124,0,0.5,13.52489,3.660814,9.864076
-848.1187,1,1.5,6.514577,0.005081538,6.509495
-704.5291,0,0.5,9.870464,0.006387528,9.864076
-304.6094,1,0.5,6.722504,0.0008847711,6.721619
-189.7339,1,1.5,6.509511,1.588312e-05,6.509495
701.8574,0,0.5,10.51154,0.6474609,9.864076
941.3336,0,0.5,10.35177,0.4876972,9.864076
1812.391,0,0.5,15.33869,5.474614,9.864076
2729.386,0,0.5,15.45992,5.595847,9.864076
3049.391,1,1.5,6.543904,0.03440921,6.509495
3192.981,0,0.5,9.877675,0.0135982,9.864076
3592.901,1,0.5,6.757098,0.03547882,6.721619
4411.504,1,1.5,6.578783,0.06928821,6.509495
4599.367,0,0.5,11.52152,1.657441,9.864076
4836.64,1,1.5,6.535085,0.0255902,6.509495
4838.844,0,0.5,10.96981,1.105731,9.864076
5709.901,0,0.5,19.58129,9.717216,9.864076
7490.411,1,0.5,6.827152,0.1055321,6.721619
