energy,L,J,totalWidth,neutronWidth,captureWidth
-45.79,0,3.0,0.454,0.369,0.085
-20.15,0,2.0,0.15145,0.06645,0.085
85.2,0,2.0,0.08428,0.00828,0.076
112.4,1,2.0,0.06546801,0.000468,0.065
218.7,0,3.0,1.151,1.08,0.071
235.2,0,3.0,0.9672857,0.8742857,0.093
359.5,0,3.0,1.277143,1.217143,0.06
387.9,0,3.0,0.1308572,0.04885715,0.082
415.0,1,4.0,0.0658,0.0008,0.065
470.0,1,1.0,0.07180001,0.0068,0.065
519.4,0,2.0,1.088,1.008,0.08
635.8,0,3.0,2.612857,2.502857,0.11
721.1,0,2.0,2.968,2.898,0.07
845.0,0,3.0,4.737286,4.654286,0.083
899.0,1,1.0,0.07880001,0.0138,0.065
931.3,1,1.0,0.0772,0.0122,0.065
956.8,0,2.0,3.815,3.708,0.107
1018.0,1,4.0,0.06673334,0.001733333,0.065
1119.5,0,3.0,1.211429,1.101429,0.11
1284.7,1,4.0,0.06900001,0.004,0.065
1330.0,1,3.0,0.06971429,0.004714286,0.065
1363.7,1,4.0,0.1363333,0.07133333,0.065
1384.0,1,4.0,0.07233334,0.007333333,0.065
1484.0,0,2.0,6.321,6.24,0.081
1528.8,1,3.0,0.07185715,0.006857143,0.065
1537.0,1,3.0,0.07528572,0.01028571,0.065
1672.0,0,2.0,0.165,0.084,0.081
1715.4,0,3.0,3.029572,2.948572,0.081
1880.7,0,2.0,0.285,0.204,0.081
2036.0,0,2.0,0.297,0.216,0.081
2096.5,0,3.0,6.561,6.48,0.081
2132.0,0,3.0,1.015286,0.9342858,0.081
2324.0,1,2.0,0.083,0.018,0.065
2356.0,0,2.0,0.1974,0.1164,0.081
2453.0,0,3.0,1.546714,1.465714,0.081
2498.0,1,3.0,0.07357144,0.008571428,0.065
2575.0,1,3.0,0.08471429,0.01971429,0.065
2600.0,1,3.0,0.165,0.1,0.065
2605.0,0,2.0,0.4,0.324,0.076
2670.0,1,3.0,0.165,0.1,0.065
2695.0,1,3.0,0.165,0.1,0.065
2706.0,1,2.0,0.07700001,0.012,0.065
2789.0,1,4.0,0.07166667,0.006666666,0.065
2835.0,0,3.0,0.2431429,0.1371429,0.106
2926.0,0,3.0,0.563,0.48,0.083
2944.0,1,4.0,0.087,0.022,0.065
2975.0,0,3.0,0.3424286,0.2314286,0.111
2998.0,0,3.0,1.220143,1.127143,0.093
3034.0,1,3.0,0.165,0.1,0.065
3078.0,1,4.0,0.07633334,0.01133333,0.065
3156.0,0,2.0,0.677,0.6,0.077
3222.0,1,2.0,0.09380001,0.0288,0.065
3395.0,1,4.0,0.1716667,0.1066667,0.065
3473.0,0,3.0,0.9517143,0.8057143,0.146
3582.0,0,3.0,0.4607143,0.3857143,0.075
3602.5,0,2.0,9.366,9.276,0.09
3633.0,1,2.0,0.165,0.1,0.065
3695.0,1,4.0,0.165,0.1,0.065
3702.0,1,4.0,0.165,0.1,0.065
3726.0,1,3.0,0.1121429,0.04714286,0.065
3762.0,0,3.0,3.444571,3.428571,0.016
3780.0,0,3.0,5.216857,5.142858,0.074
3869.0,1,3.0,0.165,0.1,0.065
3901.0,1,4.0,0.047,0.026,0.021
3928.0,0,2.0,2.409,2.328,0.081
3970.0,1,3.0,0.09242858,0.02742857,0.065
4001.0,0,2.0,0.956,0.888,0.068
4022.0,1,1.0,0.111,0.08,0.031
4042.0,1,2.0,0.165,0.1,0.065
4368.0,1,4.0,0.165,0.1,0.065
4395.0,0,3.0,0.293,0.21,0.083
4474.0,0,3.0,0.2845714,0.1885714,0.096
4496.0,1,4.0,0.165,0.1,0.065
4511.0,1,3.0,0.165,0.1,0.065
4521.0,0,3.0,1.076429,1.011429,0.065
4541.0,0,3.0,2.671429,2.571429,0.1
4556.0,0,2.0,0.181,0.1,0.081
4586.0,0,2.0,7.426,7.32,0.106
4620.0,0,3.0,3.537286,3.514286,0.023
4670.0,0,2.0,1.981,1.896,0.085
4712.0,1,4.0,0.165,0.1,0.065
4849.0,1,1.0,0.145,0.08,0.065
4870.0,1,4.0,0.165,0.1,0.065
4960.0,0,3.0,0.2724286,0.1714286,0.101
4973.0,0,2.0,1.675,1.584,0.091
5007.0,0,2.0,0.97,0.888,0.082
5039.0,0,3.0,0.2297143,0.1457143,0.084
5049.0,1,3.0,0.1587143,0.08571429,0.073
5117.0,1,2.0,0.165,0.1,0.065
5137.0,1,4.0,0.9853333,0.9333333,0.052
5227.0,1,3.0,0.165,0.1,0.065
5245.0,0,3.0,3.093286,2.944286,0.149
5350.0,1,4.0,0.4833333,0.4133333,0.07
5392.0,1,3.0,0.2021429,0.1371429,0.065
5418.0,1,2.0,0.257,0.192,0.065
5448.0,1,4.0,0.165,0.1,0.065
5596.0,0,2.0,13.428,13.344,0.084
5643.0,0,3.0,0.7838572,0.7028571,0.081
5729.0,0,3.0,2.996857,2.922857,0.074
5784.0,1,3.0,0.08456001,0.01956,0.065
5802.0,1,3.0,0.08458572,0.01958571,0.065
5835.0,1,3.0,0.165,0.1,0.065
5914.0,0,2.0,0.63968,0.55368,0.086
5918.0,1,2.0,0.165,0.1,0.065
5937.0,1,2.0,0.165,0.1,0.065
5954.0,0,3.0,0.4256857,0.3306857,0.095
5998.0,1,3.0,0.08491144,0.01991143,0.065
6015.0,1,3.0,0.165,0.1,0.065
6035.0,1,4.0,0.165,0.1,0.065
6050.0,1,3.0,0.165,0.1,0.065
6073.0,1,4.0,0.08578,0.02078,0.065
6255.0,0,3.0,0.4409143,0.3389143,0.102
6267.0,1,4.0,0.165,0.1,0.065
6286.0,0,3.0,0.3648,0.2718,0.093
6329.0,0,2.0,0.56636,0.47736,0.089
6380.0,1,3.0,0.165,0.1,0.065
6456.0,1,4.0,0.09714001,0.03214,0.065
6477.0,1,3.0,0.165,0.1,0.065
6582.0,0,3.0,0.4982571,0.4172571,0.081
6711.0,0,3.0,4.293857,4.212857,0.081
6726.0,0,2.0,4.034,3.936,0.098
6755.0,1,3.0,0.165,0.1,0.065
6779.0,1,4.0,0.07991333,0.04391333,0.036
6795.0,1,1.0,0.165,0.1,0.065
6862.0,1,4.0,0.165,0.1,0.065
6882.0,1,3.0,0.165,0.1,0.065
6886.0,1,4.0,0.165,0.1,0.065
6915.0,1,4.0,0.165,0.1,0.065
6927.0,0,3.0,0.4316572,0.3566571,0.075
6970.0,1,2.0,0.165,0.1,0.065
7005.0,1,2.0,0.165,0.1,0.065
7017.0,1,2.0,0.165,0.1,0.065
7045.0,1,4.0,0.165,0.1,0.065
7076.0,0,2.0,0.493,0.408,0.085
7169.0,0,3.0,3.7,3.6,0.1
7180.0,1,3.0,0.165,0.1,0.065
7221.0,0,2.0,0.409,0.312,0.097
7236.0,1,2.0,0.165,0.1,0.065
7330.0,1,3.0,0.165,0.1,0.065
7347.0,0,3.0,7.433714,7.345714,0.088
7391.0,1,3.0,0.09414287,0.02914286,0.065
7400.0,1,3.0,0.165,0.1,0.065
7424.0,1,2.0,0.165,0.1,0.065
7483.0,0,2.0,0.502,0.42,0.082
7558.0,1,3.0,0.1027143,0.03771429,0.065
7667.0,0,3.0,0.5452857,0.4542857,0.091
7693.0,0,2.0,0.514,0.42,0.094
7779.0,0,3.0,3.426857,3.342857,0.084
7830.0,1,4.0,0.1243333,0.05933334,0.065
7855.0,1,4.0,0.165,0.1,0.065
7862.0,1,2.0,0.165,0.1,0.065
7903.0,0,2.0,0.6300001,0.54,0.09
7960.0,1,2.0,0.0972,0.0432,0.054
7982.0,1,4.0,0.165,0.1,0.065
8010.0,1,3.0,0.1347143,0.06171428,0.073
8062.0,0,2.0,6.56,6.48,0.08
8119.0,1,1.0,0.245,0.18,0.065
8229.0,0,3.0,2.953572,2.828572,0.125
8291.0,1,4.0,0.09566667,0.03066667,0.065
8333.0,1,3.0,0.2192857,0.1542857,0.065
8387.0,1,3.0,0.1932857,0.1542857,0.039
8440.0,1,3.0,0.165,0.1,0.065
8475.0,1,3.0,0.165,0.1,0.065
8502.0,1,4.0,0.2496667,0.1866667,0.063
8555.0,0,3.0,1.189286,1.114286,0.075
8705.0,1,2.0,0.165,0.1,0.065
8804.0,0,2.0,10.264,10.2,0.064
8845.0,1,2.0,0.165,0.1,0.065
8907.0,0,3.0,2.394286,2.314286,0.08
8907.0,0,3.0,2.423286,2.314286,0.109
9062.0,1,1.0,0.165,0.1,0.065
9100.0,1,2.0,0.165,0.1,0.065
9113.0,0,2.0,4.128,4.08,0.048
9132.0,1,3.0,0.165,0.1,0.065
9200.0,1,1.0,0.165,0.1,0.065
9245.0,1,1.0,0.165,0.1,0.065
9258.0,0,3.0,8.296572,8.228572,0.068
9290.0,1,3.0,0.165,0.1,0.065
9443.0,0,3.0,9.414857,9.342857,0.072
9453.0,1,4.0,0.165,0.1,0.065
9502.0,1,3.0,0.165,0.1,0.065
9520.0,1,4.0,0.165,0.1,0.065
9557.0,0,3.0,5.137143,5.057143,0.08
9614.0,0,3.0,7.532143,7.457143,0.075
9614.0,0,2.0,10.504,10.44,0.064
9772.0,1,4.0,0.165,0.1,0.065
9785.0,1,3.0,0.165,0.1,0.065
9822.0,0,2.0,1.281,1.2,0.081
9988.0,1,3.0,0.165,0.1,0.065
10022.0,1,4.0,0.165,0.1,0.065
