energy,L,J,totalWidth,neutronWidth,captureWidth
-661.295,0,0.0,1.09459,0.9317218,0.1628681
-531.625,1,0.0,0.1583411,0.0003971238,0.157944
-402.7953,0,0.0,0.8900294,0.7271614,0.1628681
-273.1253,1,0.0,0.1580904,0.0001463518,0.157944
-183.6149,0,1.0,0.7603722,0.5737277,0.1866445
-171.5314,1,1.0,0.1587802,2.688934e-05,0.1587533
-144.2956,0,0.0,2.706273,2.543404,0.1628681
-92.80633,0,1.0,0.1949883,0.008343787,0.1866445
-83.32505,1,2.0,0.1513699,2.235194e-09,0.1513699
-83.29707,1,1.0,0.1587547,1.438831e-06,0.1587533
-67.09905,1,2.0,0.1513836,1.373701e-05,0.1513699
-48.2368,0,1.0,0.218576,0.0319315,0.1866445
-32.04325,1,2.0,0.1513705,5.600696e-07,0.1513699
-30.41786,1,1.0,0.1587554,2.0784e-06,0.1587533
-14.62565,1,0.0,0.1579458,1.814954e-06,0.157944
45.61353,0,1.0,0.4726002,0.2859557,0.1866445
84.93277,0,0.0,2.114178,1.95131,0.1628681
136.4221,0,1.0,0.1967607,0.01011618,0.1866445
180.9916,0,1.0,0.2484973,0.0618528,0.1866445
274.8419,0,1.0,0.8885738,0.7019294,0.1866445
314.1612,0,0.0,3.915751,3.752883,0.1628681
365.6505,0,1.0,0.2032063,0.01656179,0.1866445
410.22,0,1.0,0.2797636,0.09311905,0.1866445
502.3737,1,0.0,0.1583088,0.0003648349,0.157944
516.2733,1,1.0,0.1588936,0.00014026,0.1587533
572.6609,0,0.0,1.029905,0.8670364,0.1628681
760.8734,1,0.0,0.1586235,0.0006794969,0.157944
831.1606,0,0.0,1.207422,1.044554,0.1628681
