energy,L,J,totalWidth,neutronWidth,captureWidth
0.537,0,0.5,0.028021,2.1e-05,0.028
24.25,0,0.5,0.025816,1.6e-05,0.0258
39.14,0,0.5,0.02587,7e-05,0.0258
39.72,0,0.5,0.0259,0.0004,0.0255
55.53,0,0.5,0.0285,0.0064,0.0221
80.45,0,0.5,0.02595,0.00015,0.0258
88.16,0,0.5,0.046,0.024,0.022
154.6,0,0.5,0.0276,0.0018,0.0258
217.5,0,0.5,0.0276,0.0018,0.0258
236.5,0,0.5,0.1932,0.162,0.0312
259.8,0,0.5,0.0282,0.0024,0.0258
261.9,0,0.5,0.0408,0.015,0.0258
290.3,0,0.5,0.0928,0.067,0.0258
328.0,0,0.5,0.1598,0.134,0.0258
346.6,0,0.5,0.2758,0.25,0.0258
375.9,0,0.5,0.1188,0.093,0.0258
396.8,0,0.5,0.2458,0.22,0.0258
460.1,0,0.5,0.0495,0.0237,0.0258
470.8,0,0.5,0.0428,0.017,0.0258
481.7,0,0.5,0.0335,0.0077,0.0258
522.2,0,0.5,0.1088,0.083,0.0258
548.0,0,0.5,0.0308,0.005,0.0258
585.0,0,0.5,0.0368,0.011,0.0258
630.0,0,0.5,0.4478,0.422,0.0258
669.0,0,0.5,0.0588,0.033,0.0258
681.0,0,0.5,0.0468,0.021,0.0258
745.0,0,0.5,0.1238,0.098,0.0258
785.0,0,0.5,0.0928,0.067,0.0258
809.0,0,0.5,0.0388,0.013,0.0258
828.0,0,0.5,0.0828,0.057,0.0258
887.0,0,0.5,0.0938,0.068,0.0258
907.0,0,0.5,0.3058,0.28,0.0258
945.0,0,0.5,0.0728,0.047,0.0258
