energy,L,J,totalWidth,neutronWidth,captureWidth
267.1,1,2.0,0.13564,0.02064,0.115
376.9,0,2.0,0.95533,0.84,0.11533
869.0,1,3.0,0.1214,0.0064,0.115
3823.3,0,2.0,22.835,22.72,0.115
5115.0,0,1.0,61.4483,61.3333,0.115
7344.0,0,2.0,6.035,5.92,0.115
7560.0,0,1.0,129.448,129.333,0.115
8768.0,0,2.0,172.115,172.0,0.115
9840.0,0,2.0,1.859,1.744,0.115
10346.0,0,2.0,0.835,0.72,0.115
11060.0,0,2.0,19.475,19.36,0.115
13865.0,0,2.0,6.915,6.8,0.115
18510.0,0,2.0,16.435,16.32,0.115
21960.0,0,2.0,12.435,12.32,0.115
23130.0,0,1.0,109.415,109.3,0.115
23546.0,0,1.0,11.185,11.07,0.115
23860.0,0,2.0,104.115,104.0,0.115
26335.0,0,2.0,9.475,9.36,0.115
28285.0,0,2.0,4.995,4.88,0.115
28410.0,0,1.0,31.985,31.87,0.115
29830.0,0,2.0,65.715,65.6,0.115
29933.0,0,2.0,16.755,16.64,0.115
31576.0,0,2.0,14.595,14.48,0.115
33483.0,0,1.0,69.445,69.33,0.115
37216.0,0,2.0,94.515,94.4,0.115
41125.0,0,1.0,105.415,105.3,0.115
41960.0,0,2.0,139.315,139.2,0.115
43150.0,0,2.0,58.515,58.4,0.115
47100.0,0,1.0,546.815,546.7,0.115
48626.0,0,1.0,46.785,46.67,0.115
