energy,L,J,totalWidth,neutronWidth,captureWidth
-5.805239,1,2.5,0.195613,4.790819e-09,0.195613
-5.549326,1,3.5,0.1909912,2.01225e-10,0.1909912
-5.167627,1,2.5,0.195613,8.09221e-10,0.195613
-4.614565,1,1.5,0.199337,2.791393e-09,0.199337
-3.995539,0,2.5,0.1970652,0.0003194197,0.1967458
-2.872446,0,3.5,0.1923901,0.0007765928,0.1916135
-2.479639,0,2.5,0.1969428,0.0001969979,0.1967458
-2.373797,1,1.5,0.199337,1.17028e-11,0.199337
-2.094141,1,2.5,0.195613,3.23132e-10,0.195613
-1.962832,0,3.5,0.1917863,0.0001728283,0.1916135
-1.848047,1,4.5,0.185355,1.41602e-10,0.185355
-1.559664,0,2.5,0.1969345,0.0001886937,0.1967458
-1.519022,0,3.5,0.1916142,7.338379e-07,0.1916135
-1.166392,1,3.5,0.1909912,1.19153e-13,0.1909912
-1.090517,1,1.5,0.199337,1.25882e-10,0.199337
-1.037226,1,3.5,0.1909912,2.16056e-10,0.1909912
-0.5894644,1,4.5,0.185355,8.24753e-11,0.185355
-0.0493338,1,4.5,0.185355,1.32889e-12,0.185355
1.939806,0,3.5,0.1924818,0.0008683144,0.1916135
2.570009,0,2.5,0.1967714,2.560789e-05,0.1967458
3.461233,0,3.5,0.1916881,7.456794e-05,0.1916135
4.607363,0,3.5,0.1916382,2.466346e-05,0.1916135
5.208092,0,3.5,0.1916927,7.919496e-05,0.1916135
5.948422,0,2.5,0.1978157,0.001069903,0.1967458
6.91695,0,2.5,0.1987261,0.001980277,0.1967458
7.208927,0,3.5,0.1918115,0.0001979925,0.1916135
7.568909,0,2.5,0.1968162,7.044576e-05,0.1967458
7.75386,0,2.5,0.1973667,0.0006208916,0.1967458
8.222149,0,3.5,0.1917961,0.0001826288,0.1916135
9.162913,0,3.5,0.1916412,2.767331e-05,0.1916135
9.958832,0,2.5,0.1979669,0.001221103,0.1967458
10.45958,0,3.5,0.191768,0.0001545186,0.1916135
11.53032,0,3.5,0.191623,9.520666e-06,0.1916135
13.14914,0,3.5,0.1921309,0.0005174006,0.1916135
13.28703,0,2.5,0.1967863,4.047101e-05,0.1967458
14.43682,0,3.5,0.1918467,0.0002331681,0.1916135
14.49728,0,2.5,0.1970923,0.000346489,0.1967458
16.48569,0,2.5,0.1970775,0.0003316724,0.1967458
16.60692,0,3.5,0.1949623,0.003348836,0.1916135
17.78659,0,2.5,0.1978196,0.001073779,0.1967458
18.3285,0,3.5,0.1916217,8.217126e-06,0.1916135
18.90961,0,2.5,0.1968268,8.09911e-05,0.1967458
19.86597,0,3.5,0.1926115,0.0009979813,0.1916135
20.83346,0,2.5,0.1967495,3.687313e-06,0.1967458
21.24198,0,3.5,0.1916646,5.109805e-05,0.1916135
22.37369,0,2.5,0.198124,0.001378187,0.1967458
23.28127,0,3.5,0.1922647,0.0006511921,0.1916135
24.24327,0,2.5,0.1967665,2.0664e-05,0.1967458
24.94442,0,3.5,0.1931663,0.001552848,0.1916135
25.39545,0,3.5,0.1929713,0.00135781,0.1916135
26.02646,0,2.5,0.196823,7.721011e-05,0.1967458
26.17661,0,3.5,0.1916953,8.179489e-05,0.1916135
28.28751,0,3.5,0.1927945,0.001181014,0.1916135
28.7708,0,2.5,0.1970865,0.0003407013,0.1967458
29.55396,0,3.5,0.1925251,0.0009115524,0.1916135
29.8382,0,2.5,0.1967458,5.595651e-09,0.1967458
30.80067,0,3.5,0.1922597,0.0006462163,0.1916135
32.07324,0,3.5,0.1925815,0.0009680441,0.1916135
32.77788,0,2.5,0.1970185,0.0002726655,0.1967458
33.05859,0,2.5,0.1988001,0.002054281,0.1967458
33.64554,0,3.5,0.1917712,0.0001577292,0.1916135
35.09653,0,3.5,0.1944284,0.002814903,0.1916135
36.06242,0,2.5,0.2006799,0.003934057,0.1967458
36.15568,0,3.5,0.1951275,0.003513999,0.1916135
36.8988,0,3.5,0.191738,0.0001245243,0.1916135
37.29688,0,2.5,0.1970552,0.0003093909,0.1967458
