energy,L,J,totalWidth,neutronWidth,captureWidth
-4.03,0,3.0,0.074371,0.017571,0.0568
4.416,0,3.0,0.054918,0.000318,0.0546
11.14,0,2.0,0.06392,0.00252,0.0614
16.0,0,2.0,0.059804,0.000804,0.059
17.48,0,3.0,0.058826,0.0018257,0.057
18.51,0,2.0,0.060888,0.000888,0.06
24.79,0,3.0,0.060446,0.00010286,0.060343
31.97,0,3.0,0.082229,0.0082286,0.074
33.98,0,2.0,0.052356,0.001356,0.051
39.35,0,3.0,0.0652,0.0102,0.055
47.39,0,2.0,0.065383,0.00504,0.060343
53.36,0,3.0,0.065571,0.0052286,0.060343
58.76,0,3.0,0.062486,0.0021429,0.060343
60.9,0,2.0,0.085543,0.0252,0.060343
63.39,0,3.0,0.062263,0.00192,0.060343
69.39,0,2.0,0.0912,0.0312,0.06
73.55,0,3.0,0.10643,0.057429,0.049
74.81,0,2.0,0.08052,0.01752,0.063
77.88,0,3.0,0.061629,0.0012857,0.060343
78.79,0,3.0,0.081314,0.0023143,0.079
84.89,0,2.0,0.0734,0.0084,0.065
87.39,0,3.0,0.063086,0.0027429,0.060343
91.46,0,2.0,0.062743,0.0024,0.060343
95.52,0,3.0,0.11177,0.051429,0.060343
98.79,0,3.0,0.062571,0.0022286,0.060343
106.1,0,2.0,0.12994,0.0696,0.060343
108.0,0,3.0,0.062743,0.0024,0.060343
109.2,0,2.0,0.13234,0.072,0.060343
114.9,0,3.0,0.12549,0.065143,0.060343
116.2,0,2.0,0.065503,0.00516,0.060343
119.5,0,3.0,0.061089,0.00074571,0.060343
121.7,0,3.0,0.17177,0.11143,0.060343
127.0,0,2.0,0.065383,0.00504,0.060343
129.6,0,3.0,0.063171,0.0028286,0.060343
131.6,0,2.0,0.086743,0.0264,0.060343
136.6,0,3.0,0.11691,0.056571,0.060343
141.1,0,3.0,0.077486,0.017143,0.060343
143.5,0,2.0,0.088183,0.02784,0.060343
146.9,0,3.0,0.0714,0.011057,0.060343
150.8,0,2.0,0.068383,0.00804,0.060343
153.8,0,3.0,0.0618,0.0014571,0.060343
155.9,0,2.0,0.16642,0.10608,0.060343
160.6,0,3.0,0.13183,0.071486,0.060343
163.7,0,3.0,0.066171,0.0058286,0.060343
168.5,0,2.0,0.063943,0.0036,0.060343
172.0,0,3.0,0.081943,0.0216,0.060343
173.3,0,2.0,0.074743,0.0144,0.060343
178.4,0,3.0,0.098571,0.038229,0.060343
180.6,0,3.0,0.065657,0.0053143,0.060343
183.9,0,2.0,0.10354,0.0432,0.060343
192.4,0,3.0,0.076543,0.0162,0.060343
195.4,0,2.0,0.062623,0.00228,0.060343
198.3,0,3.0,0.0648,0.0044571,0.060343
204.1,0,2.0,0.097543,0.0372,0.060343
210.5,0,3.0,0.076286,0.015943,0.060343
212.4,0,3.0,0.074914,0.014571,0.060343
218.8,0,2.0,0.094423,0.03408,0.060343
223.5,0,3.0,0.089486,0.029143,0.060343
224.3,0,2.0,0.11722,0.05688,0.060343
