energy,L,J,totalWidth,neutronWidth,captureWidth
-471.6169,1,1.0,0.1754095,0.004336784,0.1710727
-306.4898,1,1.0,0.1733454,0.002272731,0.1710727
-280.1387,0,2.0,0.2832869,0.1494233,0.1338636
-249.4066,1,3.0,0.1362853,0.0008095747,0.1354757
-198.9248,0,3.0,0.2267494,0.1028797,0.1238697
-186.2788,1,2.0,0.1464819,0.0006396465,0.1458423
-171.7732,0,2.0,0.2508699,0.1170063,0.1338636
-161.079,1,4.0,0.1170683,0.0004321459,0.1166362
-160.8655,1,3.0,0.1359249,0.0004492271,0.1354757
-141.3627,1,1.0,0.1718767,0.0008040051,0.1710727
-110.3837,0,3.0,0.1404803,0.01661061,0.1238697
-78.69503,1,4.0,0.1166866,5.039678e-05,0.1166362
-77.9133,1,2.0,0.1460154,0.0001730629,0.1458423
-63.40767,0,2.0,0.17507,0.04120639,0.1338636
-47.35582,1,3.0,0.1354857,9.998586e-06,0.1354757
-34.19944,1,4.0,0.1166613,2.510361e-05,0.1166362
-12.06118,0,3.0,0.1452315,0.02136182,0.1238697
58.86626,0,3.0,0.1359998,0.01213015,0.1238697
105.8423,0,2.0,0.1871018,0.05323821,0.1338636
157.1888,0,3.0,0.2009874,0.0771177,0.1238697
197.1373,1,1.0,0.1723966,0.001323922,0.1710727
228.1163,0,3.0,0.1477484,0.02387873,0.1238697
275.0923,0,2.0,0.2196924,0.08582877,0.1338636
326.4388,0,3.0,0.235003,0.1111333,0.1238697
355.5488,1,2.0,0.1475285,0.001686164,0.1458423
362.2644,1,1.0,0.1739929,0.002920216,0.1710727
379.6852,1,3.0,0.136996,0.001520268,0.1354757
383.4579,0,2.0,0.3086833,0.1748197,0.1338636
386.6845,1,4.0,0.1182428,0.001606628,0.1166362
414.9799,0,3.0,0.2724629,0.1485932,0.1238697
491.8234,0,2.0,0.3318505,0.1979869,0.1338636
527.3915,1,1.0,0.1762006,0.005127858,0.1710727
