energy,L,J,totalWidth,neutronWidth,captureWidth
-255607.2,1,0.0,382.3551,382.2863,0.06885567
-180501.4,0,1.0,167.8745,167.5748,0.2996782
-179187.8,1,3.0,98.76548,98.677,0.08848143
-144626.9,1,1.0,93.9854,93.5838,0.4016076
-131317.6,1,0.0,157.054,156.9851,0.06885567
-131076.4,0,1.0,143.1005,142.8008,0.2996782
-128003.6,1,3.0,62.5012,62.41272,0.08848143
-95201.89,1,1.0,52.75003,52.34842,0.4016076
-91301.71,0,2.0,101.8564,101.7729,0.08348245
-86916.09,1,2.0,116.1227,116.0355,0.08715203
-81651.43,0,1.0,108.5966,108.2969,0.2996782
-76819.31,1,3.0,2.327384,2.238903,0.08848143
-55561.13,1,2.0,0.1006667,0.01351465,0.08715203
-49096.68,0,2.0,18.48697,18.40349,0.08348245
-45776.91,1,1.0,62.98638,62.58477,0.4016076
-20692.52,1,2.0,4.283029,4.195877,0.08715203
-7027.967,1,0.0,1.157808,1.088952,0.06885567
-431.0681,0,2.0,5.461371,5.377888,0.08348245
6319.538,0,1.0,30.42813,30.12845,0.2996782
38874.29,0,2.0,16.45939,16.37591,0.08348245
87539.9,0,2.0,76.72109,76.6376,0.08348245
94290.51,0,1.0,116.6769,116.3773,0.2996782
126845.3,0,2.0,29.66438,29.58089,0.08348245
130165.0,1,1.0,276.9915,276.5899,0.4016076
143715.5,0,1.0,149.8269,149.5273,0.2996782
175510.9,0,2.0,108.5987,108.5153,0.08348245
193140.5,0,1.0,173.6422,173.3425,0.2996782
217715.9,0,2.0,157.242,157.1586,0.08348245
229015.0,1,1.0,173.5054,173.1037,0.4016076
293203.6,1,0.0,455.4996,455.4308,0.06885567
417493.2,1,0.0,703.4468,703.3779,0.06885567
