energy,L,J,totalWidth,neutronWidth,captureWidth
-12.0,0,7.5,0.1454853,0.0074853,0.138
6.24,0,7.5,0.1402313,0.00223125,0.138
15.5,0,7.5,0.1453312,0.00733125,0.138
29.65,0,8.5,0.1428167,0.004816667,0.138
37.77,1,8.5,0.1560161,1.605556e-05,0.156
53.55,0,8.5,0.1398889,0.001888889,0.138
55.1,1,9.5,0.156034,3.4e-05,0.156
64.5,0,7.5,0.1387119,0.000711875,0.138
73.8,0,7.5,0.1459688,0.00796875,0.138
89.6,0,8.5,0.1479167,0.009916666,0.138
90.3,0,7.5,0.1438438,0.00584375,0.138
111.4,0,7.5,0.140975,0.002975,0.138
126.8,0,8.5,0.1635,0.0255,0.138
131.9,0,7.5,0.1491563,0.01115625,0.138
144.3,0,7.5,0.1518125,0.0138125,0.138
149.9,0,8.5,0.1644444,0.02644444,0.138
157.1,1,7.5,0.1561413,0.0001413125,0.156
160.6,0,7.5,0.1395938,0.00159375,0.138
167.1,0,7.5,0.1539375,0.0159375,0.138
176.6,1,8.5,0.1560756,7.555555e-05,0.156
184.7,1,9.5,0.156153,0.000153,0.156
192.3,0,7.5,0.1395938,0.00159375,0.138
214.0,0,8.5,0.139275,0.001275,0.138
222.6,0,8.5,0.1429111,0.004911111,0.138
228.7,1,8.5,0.156086,8.594444e-05,0.156
230.6,0,8.5,0.1387556,0.0007555555,0.138
236.4,1,9.5,0.1560391,3.91e-05,0.156
245.9,1,7.5,0.1563081,0.000308125,0.156
248.8,1,8.5,0.1562645,0.0002644444,0.156
261.6,1,9.5,0.15617,0.00017,0.156
265.8,1,6.5,0.1563036,0.0003035714,0.156
270.1,1,9.5,0.156204,0.000204,0.156
274.9,1,7.5,0.1562975,0.0002975,0.156
282.7,1,9.5,0.156102,0.000102,0.156
286.4,0,8.5,0.1512222,0.01322222,0.138
293.7,1,8.5,0.1561228,0.0001227778,0.156
307.1,1,7.5,0.1563081,0.000308125,0.156
309.3,0,8.5,0.1406445,0.002644444,0.138
321.2,1,7.5,0.156595,0.000595,0.156
331.4,0,7.5,0.1408688,0.00286875,0.138
338.0,0,7.5,0.1415063,0.00350625,0.138
339.5,0,7.5,0.1482,0.0102,0.138
347.2,1,7.5,0.15617,0.00017,0.156
355.8,1,9.5,0.1562125,0.0002125,0.156
367.1,1,8.5,0.15634,0.00034,0.156
392.8,0,8.5,0.1606667,0.02266666,0.138
405.7,0,7.5,0.1393813,0.00138125,0.138
414.6,1,6.5,0.1568864,0.0008864286,0.156
421.4,0,7.5,0.1493688,0.01136875,0.138
432.6,1,8.5,0.1561889,0.0001888889,0.156
443.5,0,7.5,0.182625,0.044625,0.138
447.6,0,7.5,0.172,0.034,0.138
450.2,0,7.5,0.18475,0.04675,0.138
453.8,0,8.5,0.2806111,0.1426111,0.138
463.6,0,8.5,0.1397945,0.001794444,0.138
470.1,0,7.5,0.1512813,0.01328125,0.138
476.6,1,7.5,0.1566375,0.0006375,0.156
481.6,0,8.5,0.1394167,0.001416667,0.138
497.0,0,7.5,0.146075,0.008075,0.138
500.0,1,7.5,0.15685,0.00085,0.156
507.1,1,6.5,0.1565707,0.0005707143,0.156
535.1,0,8.5,0.1462167,0.008216666,0.138
543.2,0,7.5,0.25275,0.11475,0.138
551.2,1,7.5,0.1568394,0.000839375,0.156
558.9,0,8.5,0.1606667,0.02266666,0.138
563.5,0,8.5,0.1395111,0.001511111,0.138
580.0,1,9.5,0.1565695,0.0005695,0.156
587.0,1,9.5,0.156493,0.000493,0.156
599.0,0,7.5,0.1432063,0.00520625,0.138
605.6,0,7.5,0.1985625,0.0605625,0.138
613.5,0,8.5,0.1501833,0.01218333,0.138
630.8,0,7.5,0.1727438,0.03474375,0.138
644.0,1,7.5,0.1562656,0.000265625,0.156
661.2,0,7.5,0.1701938,0.03219375,0.138
671.1,0,7.5,0.1773125,0.0393125,0.138
675.8,0,8.5,0.1559445,0.01794444,0.138
697.0,1,9.5,0.1564675,0.0004675,0.156
710.5,0,8.5,0.1555667,0.01756667,0.138
715.2,0,8.5,0.1399833,0.001983333,0.138
718.6,0,8.5,0.1738889,0.03588888,0.138
727.8,1,6.5,0.1565707,0.0005707143,0.156
735.3,0,7.5,0.1437375,0.0057375,0.138
754.5,1,9.5,0.156204,0.000204,0.156
762.6,1,8.5,0.1564533,0.0004533333,0.156
772.3,0,8.5,0.2145,0.0765,0.138
789.7,0,7.5,0.1624375,0.0244375,0.138
795.2,0,8.5,0.1908889,0.05288889,0.138
800.2,0,8.5,0.2258333,0.08783333,0.138
803.5,0,8.5,0.2211111,0.08311111,0.138
839.2,0,8.5,0.1606667,0.02266666,0.138
859.2,0,7.5,0.152875,0.014875,0.138
865.2,1,8.5,0.1565289,0.0005288889,0.156
889.6,0,8.5,0.1445167,0.006516666,0.138
911.5,0,7.5,0.15075,0.01275,0.138
917.0,0,8.5,0.2607778,0.1227778,0.138
936.2,0,7.5,0.1425688,0.00456875,0.138
947.5,0,7.5,0.1879375,0.0499375,0.138
962.4,0,7.5,0.1858125,0.0478125,0.138
993.5,1,8.5,0.2693333,0.1133333,0.156
999.0,0,8.5,0.1635,0.0255,0.138
