energy,L,J,totalWidth,neutronWidth,captureWidth
-568.0,0,3.0,119.909,119.0,0.909
460.6,1,3.0,1.0458,0.0050286,1.0408
1060.0,1,3.0,1.0529,0.012114,1.0408
2715.0,1,5.0,1.0466,0.0058182,1.0408
2737.0,1,4.0,1.0604,0.019556,1.0408
3295.0,0,3.0,78.424,77.714,0.71
3404.0,1,2.0,1.3448,0.304,1.0408
3582.0,1,5.0,1.099,0.058182,1.0408
4326.0,0,4.0,313.52,312.89,0.63
5943.0,1,4.0,1.0604,0.019556,1.0408
6692.0,0,3.0,137.88,137.14,0.74
7560.0,1,5.0,1.051,0.010182,1.0408
8000.0,0,4.0,142.79,142.22,0.57
8558.0,1,2.0,1.1784,0.1376,1.0408
9070.0,0,4.0,36.406,35.556,0.85
9080.0,0,3.0,299.39,298.29,1.1
9725.0,1,4.0,3.4411,3.1111,0.33
10189.0,1,5.0,1.1121,0.071273,1.0408
10662.0,0,3.0,10.8,10.0,0.8
10740.0,0,4.0,6.52,6.0,0.52
11265.0,1,2.0,6.784,6.4,0.384
11580.0,0,4.0,290.54,289.78,0.76
14050.0,1,3.0,3.2391,2.8571,0.382
14390.0,1,4.0,1.0515,0.010667,1.0408
14500.0,0,3.0,20.56,20.0,0.56
14820.0,0,4.0,26.238,25.778,0.46
15280.0,1,5.0,1.1295,0.088727,1.0408
15623.0,0,4.0,28.6,28.0,0.6
15763.0,1,3.0,1.1894,0.14857,1.0408
17192.0,1,4.0,4.1519,3.1111,1.0408
17677.0,1,5.0,3.5863,2.5455,1.0408
18504.0,1,5.0,1.0481,0.0072727,1.0408
18580.0,0,3.0,32.811,32.0,0.81061
19080.0,0,4.0,60.69,60.0,0.69
19341.0,1,4.0,1.0693,0.028444,1.0408
20644.0,0,4.0,67.497,66.667,0.83
20726.0,1,4.0,3.8846,3.5556,0.329
20930.0,0,3.0,720.6,720.0002,0.6
21114.0,1,4.0,9.2089,8.8889,0.32
21580.0,1,5.0,3.9864,3.6364,0.35
23015.0,1,3.0,1.2054,0.16457,1.0408
23065.0,1,2.0,1.0427,0.00192,1.0408
23838.0,1,3.0,1.1231,0.082286,1.0408
24010.0,0,3.0,61.087,60.0,1.087
24315.0,0,4.0,60.462,60.0,0.462
26925.0,0,4.0,90.944,90.044,0.9
27190.0,1,5.0,1.0655,0.024727,1.0408
27900.0,0,3.0,110.87,110.06,0.811
28040.0,1,2.0,9.968,9.6,0.368
28235.0,1,5.0,1.1412,0.10036,1.0408
29410.0,1,3.0,12.469,11.429,1.0408
29480.0,0,4.0,30.613,30.0,0.613
29630.0,0,4.0,45.087,44.444,0.643
30010.0,1,3.0,10.616,10.286,0.33
31135.0,1,2.0,19.494,19.2,0.294
32180.0,0,3.0,572.35,571.43,0.917
32940.0,1,5.0,4.0234,3.6364,0.387
33280.0,1,3.0,9.4669,9.1429,0.324
33730.0,0,3.0,192.87,192.0,0.866
34860.0,0,3.0,131.07,130.29,0.786
35080.0,0,4.0,151.65,151.11,0.543
35470.0,1,5.0,6.1442,5.8182,0.326
35800.0,1,2.0,16.387,16.0,0.387
35995.0,1,5.0,4.0174,3.6364,0.381
36310.0,1,2.0,33.041,32.0,1.0408
36390.0,1,4.0,4.7894,4.4444,0.345
36930.0,1,4.0,4.7564,4.4444,0.312
38000.0,1,5.0,3.2621,2.9091,0.353
38730.0,1,4.0,9.2049,8.8889,0.316
39980.0,0,4.0,143.29,142.22,1.07
40500.0,0,3.0,101.28,100.0,1.28
40815.0,0,4.0,110.86,110.22,0.64
41740.0,1,4.0,9.9297,8.8889,1.0408
42300.0,1,3.0,11.756,11.429,0.327
42790.0,1,5.0,1.1223,0.081455,1.0408
42900.0,1,4.0,18.819,17.778,1.0408
43050.0,0,4.0,134.14,133.33,0.81061
43215.0,0,4.0,27.741,26.667,1.074
43710.0,1,5.0,1.1063,0.065455,1.0408
43920.0,1,2.0,16.384,16.0,0.384
44080.0,1,3.0,11.771,11.429,0.342
45300.0,1,2.0,16.317,16.0,0.317
45570.0,1,4.0,1.1581,0.11733,1.0408
45730.0,0,3.0,480.52,480.0,0.521
45780.0,1,5.0,11.95,10.909,1.0408
47180.0,0,3.0,60.053,60.0,0.053
47310.0,1,5.0,7.5997,7.2727,0.327
48310.0,1,5.0,7.6627,7.2727,0.39
48530.0,1,5.0,7.7247,7.2727,0.452
48790.0,0,4.0,40.478,40.0,0.478
49120.0,0,3.0,46.126,45.714,0.412
49540.0,1,4.0,14.133,13.333,0.8
49750.0,1,3.0,1.1848,0.144,1.0408
50500.0,1,4.0,4.7444,4.4444,0.3
50685.0,1,3.0,6.0143,5.7143,0.3
51050.0,1,4.0,13.633,13.333,0.3
51685.0,0,3.0,40.402,40.0,0.402
52025.0,0,4.0,40.463,40.0,0.463
52330.0,0,3.0,86.13201,85.714,0.418
53075.0,0,3.0,40.283,40.0,0.283
54255.0,1,5.0,18.608,18.182,0.426
54525.0,1,4.0,13.643,13.333,0.31
54730.0,0,3.0,41.76,40.0,1.76
54920.0,1,3.0,34.876,34.286,0.59
55125.0,0,3.0,40.445,40.0,0.445
56655.0,1,5.0,1.1557,0.11491,1.0408
57010.0,1,5.0,7.6827,7.2727,0.41
57890.0,0,3.0,35.493,35.006,0.487
58760.0,1,4.0,27.373,26.667,0.706
