energy,L,J,totalWidth,neutronWidth,captureWidth
-160.2019,1,1.0,0.3705719,3.99721e-05,0.3705319
-103.6955,1,1.0,0.3705527,2.081787e-05,0.3705319
-93.28528,1,2.0,0.3211168,1.023785e-05,0.3211066
-87.73894,1,3.0,0.3051275,7.814789e-06,0.3051197
-82.31282,0,2.0,0.3604314,0.05330259,0.3071288
-80.02284,0,3.0,0.3311472,0.0439802,0.287167
-70.09366,1,4.0,0.2674902,6.20167e-06,0.267484
-56.20872,1,3.0,0.3051253,5.629512e-06,0.3051197
-55.60697,1,2.0,0.3211071,5.418581e-07,0.3211066
-48.49263,0,3.0,0.3214034,0.0342364,0.287167
-47.1891,1,1.0,0.3705331,1.179129e-06,0.3705319
-44.63452,0,2.0,0.4215844,0.1144556,0.3071288
-39.80589,1,4.0,0.2674853,1.32439e-06,0.267484
-36.09916,1,3.0,0.3051199,1.857938e-07,0.3051197
-28.96723,1,2.0,0.3211088,2.196937e-06,0.3211066
-16.96242,0,3.0,0.2918789,0.004711865,0.287167
-15.40909,1,4.0,0.2674843,2.645321e-07,0.267484
-0.3135245,0,2.0,0.3071687,3.990949e-05,0.3071288
15.28059,0,2.0,0.3740974,0.06696865,0.3071288
42.95269,0,3.0,0.294665,0.007497975,0.287167
59.60159,0,2.0,0.3076791,0.0005502617,0.3071288
75.1957,0,2.0,0.4556875,0.1485587,0.3071288
90.86299,1,2.0,0.3211188,1.220374e-05,0.3211066
102.8678,0,3.0,0.2987705,0.01160349,0.287167
115.2613,1,3.0,0.3051315,1.176613e-05,0.3051197
119.5167,0,2.0,0.307908,0.0007792104,0.3071288
128.5413,1,2.0,0.3211232,1.655875e-05,0.3211066
129.1475,1,1.0,0.3705608,2.89339e-05,0.3705319
134.398,0,3.0,0.3441633,0.05699629,0.287167
134.7089,1,4.0,0.2675005,1.652106e-05,0.267484
157.195,0,2.0,0.3807892,0.07366038,0.3071288
165.9282,0,3.0,0.3504971,0.06333012,0.287167
185.6539,1,1.0,0.3705818,4.986468e-05,0.3705319
