energy,L,J,totalWidth,neutronWidth,captureWidth
-16.73,0,4.0,0.31414,0.23984,0.0743
3.397,0,3.0,0.06632571,0.001325714,0.065
18.32,0,4.0,0.1393333,0.06933334,0.07
27.16,0,3.0,0.0858,0.0068,0.079
29.74,0,3.0,0.08774286,0.01474286,0.073
32.1,0,4.0,0.1062222,0.03822222,0.068
39.64,0,4.0,0.1372222,0.07022223,0.067
40.71,0,3.0,0.07854287,0.005142857,0.07340001
49.34,0,4.0,0.09011111,0.01511111,0.075
58.04,0,3.0,0.1192857,0.04228571,0.077
65.1,0,3.0,0.07922858,0.005828572,0.07340001
76.12,0,4.0,0.09106667,0.01706667,0.074
79.88,0,4.0,0.07695556,0.003555556,0.07340001
83.55,0,3.0,0.1512,0.07520001,0.076
94.9,0,3.0,0.0798,0.0064,0.07340001
99.5,0,4.0,0.311,0.232,0.079
102.6,0,3.0,0.2714286,0.1954286,0.076
106.9,0,4.0,0.1237778,0.04177777,0.082
108.58,0,4.0,0.0742889,0.000888889,0.07340001
123.65,0,3.0,0.2501429,0.1771429,0.073
140.0,0,3.0,0.1614,0.088,0.07340001
143.27,0,4.0,0.07580001,0.0024,0.07340001
151.54,0,3.0,0.2384286,0.1634286,0.075
160.9,0,3.0,0.1282572,0.05485714,0.07340001
161.74,0,4.0,0.08646667,0.01306667,0.07340001
163.62,0,4.0,0.2103333,0.1333333,0.077
171.75,0,4.0,0.08322223,0.01422222,0.069
179.59,0,3.0,0.08368572,0.01028571,0.07340001
184.12,0,3.0,0.4619715,0.3885714,0.07340001
191.04,0,3.0,0.1132857,0.03428571,0.079
193.5,0,4.0,0.07837778,0.004977778,0.07340001
198.03,0,3.0,0.073,0.012,0.061
206.03,0,4.0,0.2678889,0.1848889,0.083
221.65,0,3.0,0.1984286,0.1314286,0.067
225.28,0,3.0,0.326,0.24,0.086
227.9,0,4.0,0.07597778,0.002577778,0.07340001
228.7,0,4.0,0.07522223,0.001822222,0.07340001
240.76,0,4.0,0.1034444,0.01244444,0.091
247.62,0,4.0,0.2076667,0.1386667,0.069
257.13,0,3.0,0.1716857,0.09828572,0.07340001
263.57,0,3.0,0.1476857,0.07428571,0.07340001
266.23,0,4.0,0.2497778,0.1777778,0.072
270.76,0,3.0,0.1741429,0.08914286,0.085
274.4,0,3.0,0.09397143,0.02057143,0.07340001
283.28,0,4.0,0.07755555,0.01955556,0.058
290.1,0,4.0,0.1035556,0.03555556,0.068
308.28,0,3.0,0.08140001,0.008,0.07340001
312.06,0,4.0,0.09206668,0.01866667,0.07340001
321.13,0,3.0,0.08482858,0.01142857,0.07340001
330.1,0,3.0,0.1499714,0.07657143,0.07340001
332.1,0,4.0,0.1382889,0.06488889,0.07340001
340.4,0,4.0,0.2334,0.16,0.07340001
349.86,0,3.0,0.1442572,0.07085714,0.07340001
359.32,0,4.0,0.4111778,0.3377778,0.07340001
362.15,0,4.0,0.1009556,0.02755556,0.07340001
379.2,0,4.0,0.4236223,0.3502222,0.07340001
381.9,0,3.0,0.2322571,0.1588571,0.07340001
390.5,0,4.0,0.1800667,0.1066667,0.07340001
396.4,0,4.0,0.1329556,0.05955556,0.07340001
398.5,0,3.0,0.1899714,0.1165714,0.07340001
404.8,0,3.0,0.1111143,0.03771428,0.07340001
411.8,0,3.0,0.1362572,0.06285714,0.07340001
418.1,0,4.0,0.2849556,0.2115556,0.07340001
421.3,0,4.0,0.1338445,0.06044445,0.07340001
433.1,0,3.0,0.09282858,0.01942857,0.07340001
435.8,0,3.0,0.2516857,0.1782857,0.07340001
439.8,0,4.0,0.1080667,0.03466667,0.07340001
446.7,0,3.0,0.08140001,0.008,0.07340001
458.45,0,4.0,0.1622889,0.08888889,0.07340001
462.67,0,3.0,0.1339714,0.06057143,0.07340001
475.7,0,4.0,0.1774,0.104,0.07340001
479.5,0,3.0,0.2756857,0.2022857,0.07340001
486.3,0,3.0,0.2002572,0.1268571,0.07340001
496.0,0,4.0,0.1800667,0.1066667,0.07340001
498.7,0,3.0,0.4094,0.336,0.07340001
513.4,0,4.0,0.4947334,0.4213333,0.07340001
528.7,0,4.0,0.1374,0.064,0.07340001
532.4,0,3.0,0.1419714,0.06857143,0.07340001
537.9,0,4.0,0.5845111,0.5111111,0.07340001
545.6,0,3.0,0.2848286,0.2114286,0.07340001
552.6,0,3.0,0.4928286,0.4194286,0.07340001
554.4,0,4.0,0.2938445,0.2204444,0.07340001
559.5,0,3.0,0.3099715,0.2365714,0.07340001
563.4,0,4.0,0.2680667,0.1946667,0.07340001
567.6,0,3.0,0.1168286,0.04342857,0.07340001
574.2,0,4.0,0.1631778,0.08977778,0.07340001
580.1,0,3.0,0.2151143,0.1417143,0.07340001
587.6,0,3.0,0.1682571,0.09485714,0.07340001
597.3,0,4.0,0.2298445,0.1564444,0.07340001
605.7,0,4.0,0.1854,0.112,0.07340001
612.6,0,3.0,0.1796857,0.1062857,0.07340001
617.2,0,4.0,0.5116223,0.4382222,0.07340001
622.6,0,4.0,0.2076222,0.1342222,0.07340001
625.3,0,3.0,0.1579714,0.08457143,0.07340001
633.9,0,3.0,0.1065429,0.03314286,0.07340001
644.7,0,4.0,0.1267333,0.05333333,0.07340001
648.5,0,4.0,0.2591778,0.1857778,0.07340001
651.9,0,3.0,0.1899714,0.1165714,0.07340001
659.2,0,4.0,0.1445111,0.07111111,0.07340001
668.8,0,4.0,0.1311778,0.05777778,0.07340001
677.5,0,4.0,0.2147333,0.1413333,0.07340001
683.1,0,4.0,0.2831778,0.2097778,0.07340001
687.4,0,3.0,0.09511429,0.02171429,0.07340001
