energy,L,J,totalWidth,neutronWidth,captureWidth
-179.2836,1,6.0,0.1498805,0.0001368767,0.1497436
-138.6003,1,5.0,0.1570797,9.276884e-05,0.1569869
-128.7847,1,6.0,0.1497471,3.53591e-06,0.1497436
-112.5577,0,5.0,0.1782622,0.02045066,0.1578115
-100.4891,1,4.0,0.1648489,0.000100584,0.1647483
-89.86053,0,5.0,0.4414989,0.2836874,0.1578115
-78.58907,0,6.0,0.2951747,0.1469939,0.1481808
-71.58683,1,7.0,0.1403469,7.194443e-06,0.1403397
-49.14153,1,5.0,0.1569905,3.602352e-06,0.1569869
-45.57267,1,6.0,0.1497777,3.411865e-05,0.1497436
-40.17163,0,5.0,0.1619426,0.004131144,0.1578115
-35.73701,1,4.0,0.1647555,7.242058e-06,0.1647483
-15.36234,1,5.0,0.1569875,5.820671e-07,0.1569869
-13.95141,1,7.0,0.1403439,4.242603e-06,0.1403397
-13.09202,1,4.0,0.1647484,6.485384e-08,0.1647483
-11.35073,0,6.0,0.1497276,0.001546841,0.1481808
-7.25448,0,6.0,0.1620054,0.01382462,0.1481808
-2.726923,1,7.0,0.1403397,3.082319e-08,0.1403397
15.11281,0,6.0,0.1519178,0.003737002,0.1481808
33.4523,0,5.0,0.1689604,0.01114891,0.1578115
56.14948,0,5.0,0.3820596,0.2242481,0.1578115
67.42094,0,6.0,0.2843301,0.1361493,0.1481808
100.4373,1,6.0,0.1498552,0.0001116155,0.1497436
105.8384,0,5.0,0.164517,0.006705516,0.1578115
132.0586,1,7.0,0.1404632,0.0001235209,0.1403397
134.6593,0,6.0,0.1535087,0.00532785,0.1481808
138.7555,0,6.0,0.2086418,0.060461,0.1481808
153.4197,1,5.0,0.1570949,0.0001080347,0.1569869
161.1228,0,6.0,0.1603827,0.01220195,0.1481808
179.4623,0,5.0,0.1836345,0.02582297,0.1578115
191.531,1,4.0,0.1650129,0.0002646188,0.1647483
202.1595,0,5.0,0.5833145,0.425503,0.1578115
213.4309,0,6.0,0.3904214,0.2422406,0.1481808
246.4473,1,6.0,0.1501725,0.0004288706,0.1497436
251.8484,0,5.0,0.1681553,0.0103438,0.1578115
256.283,1,4.0,0.1648873,0.0001390113,0.1647483
278.0686,1,7.0,0.140717,0.0003772913,0.1403397
280.6693,0,6.0,0.1558727,0.007691856,0.1481808
296.9462,1,6.0,0.1500353,0.0002916896,0.1497436
