energy,L,J,totalWidth,neutronWidth,captureWidth
-176.0,0,0.5,0.3139,0.2639,0.05
62.0,1,0.5,0.24644,0.00744,0.239
579.0,1,1.5,0.08075,0.00075,0.08000001
950.0,1,1.5,0.083,0.003,0.08000001
2380.0,0,0.5,2.75,2.7,0.05
3390.0,1,1.5,0.78,0.7,0.08000001
5360.0,0,0.5,7.05,7.0,0.05
9970.0,0,0.5,7.15,7.1,0.05
14862.0,1,1.5,4.08,4.0,0.08000001
14977.0,1,1.5,0.58,0.5,0.08000001
16138.0,1,1.5,1.58,1.5,0.08000001
16745.0,1,1.5,1.08,1.0,0.08000001
17189.0,1,1.5,1.58,1.5,0.08000001
20913.0,1,1.5,5.08,5.0,0.08000001
22621.0,1,1.5,2.58,2.5,0.08000001
23032.0,1,1.5,1.08,1.0,0.08000001
23238.0,0,0.5,4.05,4.0,0.05
23305.0,1,0.5,1.08,1.0,0.08000001
24731.0,1,0.5,22.08,22.0,0.08000001
25829.0,1,0.5,12.08,12.0,0.08000001
30628.0,1,1.5,12.58,12.5,0.08000001
32383.0,1,1.5,6.08,6.0,0.08000001
32497.0,1,1.5,2.08,2.0,0.08000001
35848.0,1,1.5,2.08,2.0,0.08000001
35906.0,1,1.5,17.58,17.5,0.08000001
37358.0,1,1.5,3.58,3.5,0.08000001
37883.0,1,1.5,1.08,1.0,0.08000001
38159.0,1,1.5,0.58,0.5,0.08000001
38561.0,1,1.5,2.08,2.0,0.08000001
39518.0,0,0.5,2.05,2.0,0.05
39556.0,1,1.5,3.08,3.0,0.08000001
40334.0,1,0.5,44.08,44.0,0.08000001
41301.0,0,0.5,14.05,14.0,0.05
44577.0,1,1.5,3.08,3.0,0.08000001
44906.0,0,0.5,3.05,3.0,0.05
44979.0,1,1.5,3.08,3.0,0.08000001
46504.0,1,1.5,1.58,1.5,0.08000001
46676.0,1,1.5,14.08,14.0,0.08000001
50854.0,1,1.5,4.08,4.0,0.08000001
51036.0,1,1.5,12.08,12.0,0.08000001
54641.0,1,0.5,39.08,39.0,0.08000001
54834.0,1,1.5,2.58,2.5,0.08000001
57463.0,1,1.5,26.08,26.0,0.08000001
58617.0,1,0.5,91.08,91.0,0.08000001
59468.0,1,1.5,12.08,12.0,0.08000001
59680.0,0,0.5,4.05,4.0,0.05
60133.0,1,1.5,0.58,0.5,0.08000001
60820.0,1,1.5,3.08,3.0,0.08000001
61845.0,0,0.5,35.05,35.0,0.05
62953.0,1,1.5,2.08,2.0,0.08000001
63257.0,1,0.5,55.08,55.0,0.08000001
64413.0,1,1.5,12.58,12.5,0.08000001
66784.0,1,1.5,11.58,11.5,0.08000001
66951.0,1,1.5,7.58,7.5,0.08000001
67422.0,0,0.5,51.05,51.0,0.05
71050.0,1,1.5,4.08,4.0,0.08000001
72120.0,0,0.5,46.05,46.0,0.05
73066.0,1,1.5,20.58,20.5,0.08000001
73717.0,0,0.5,37.05,37.0,0.05
80261.0,0,0.5,4.05,4.0,0.05
80403.0,1,0.5,81.08,81.0,0.08000001
81447.0,1,1.5,16.08,16.0,0.08000001
82784.0,1,0.5,72.08,72.0,0.08000001
82927.0,1,1.5,1.58,1.5,0.08000001
84240.0,1,1.5,5.58,5.5,0.08000001
84457.0,1,1.5,4.58,4.5,0.08000001
86051.0,1,1.5,10.08,10.0,0.08000001
86108.0,1,1.5,7.58,7.5,0.08000001
87472.0,0,0.5,60.05,60.0,0.05
87602.0,1,1.5,4.08,4.0,0.08000001
93261.0,1,0.5,19.08,19.0,0.08000001
93576.0,1,1.5,69.08,69.0,0.08000001
94144.0,1,1.5,4.58,4.5,0.08000001
98646.0,1,1.5,7.58,7.5,0.08000001
99236.0,0,0.5,14.05,14.0,0.05
101860.0,1,1.5,84.58,84.5,0.08000001
102270.0,1,1.5,75.08,75.0,0.08000001
104300.0,1,0.5,1.48,1.4,0.08000001
104470.0,0,0.5,129.05,129.0,0.05
106190.0,1,0.5,114.08,114.0,0.08000001
108350.0,1,1.5,8.58,8.5,0.08000001
110010.0,0,0.5,32.05,32.0,0.05
110160.0,1,1.5,6.08,6.0,0.08000001
114620.0,0,0.5,6.05,6.0,0.05
115250.0,0,0.5,8.05,8.0,0.05
118270.0,0,0.5,17.05,17.0,0.05
118280.0,1,1.5,10.58,10.5,0.08000001
119320.0,1,1.5,11.58,11.5,0.08000001
119590.0,1,1.5,8.58,8.5,0.08000001
120820.0,1,1.5,8.58,8.5,0.08000001
121740.0,0,0.5,44.05,44.0,0.05
122090.0,1,0.5,193.08,193.0,0.08000001
126210.0,1,1.5,18.08,18.0,0.08000001
127330.0,1,1.5,8.08,8.0,0.08000001
127390.0,1,1.5,19.58,19.5,0.08000001
128500.0,1,1.5,2.58,2.5,0.08000001
134540.0,1,0.5,234.08,234.0,0.08000001
136610.0,0,0.5,19.05,19.0,0.05
136920.0,1,1.5,78.08,78.0,0.08000001
138410.0,1,1.5,40.58,40.5,0.08000001
139450.0,0,0.5,46.05,46.0,0.05
139500.0,1,0.5,297.08,297.0,0.08000001
140760.0,1,1.5,115.58,115.5,0.08000001
141680.0,1,0.5,225.08,225.0,0.08000001
145370.0,1,0.5,90.08,90.0,0.08000001
147820.0,1,1.5,16.58,16.5,0.08000001
150090.0,1,1.5,46.58,46.5,0.08000001
153100.0,0,0.5,18.05,18.0,0.05
153310.0,1,0.5,172.08,172.0,0.08000001
153710.0,1,0.5,79.08,79.0,0.08000001
