energy,L,J,totalWidth,neutronWidth,captureWidth
588.4,0,0.5,6.325,6.0,0.325
1370.0,1,1.5,0.2586667,0.01866667,0.24
2592.0,1,1.5,0.265,0.025,0.24
3258.0,0,0.5,4.17,3.47,0.7
4511.0,1,0.5,0.79,0.45,0.34
5148.0,1,0.5,0.401,0.29,0.111
5433.0,1,1.5,0.2466667,0.006666666,0.24
5498.0,1,1.5,0.284,0.044,0.24
5572.0,1,0.5,0.2466667,0.006666666,0.24
5837.0,1,0.5,0.2733333,0.03333334,0.24
6462.0,0,0.5,0.673,0.34,0.333
7965.0,1,1.5,0.404,0.16,0.244
8302.0,1,1.5,0.4186667,0.1766667,0.242
9385.0,1,1.5,0.5626667,0.1466667,0.416
10029.0,1,1.5,0.241,0.001,0.24
10195.0,0,0.5,13.196,13.0,0.196
10382.0,1,1.5,0.241,0.001,0.24
10556.0,1,0.5,0.2566667,0.01666667,0.24
10902.0,0,0.5,4.244,4.0,0.244
11139.0,1,1.5,0.28,0.04,0.24
11510.0,0,0.5,60.16,60.0,0.16
11961.0,1,1.5,0.292,0.052,0.24
12815.0,1,1.5,0.241,0.001,0.24
13950.0,1,0.5,0.4966667,0.1766667,0.32
14410.0,1,1.5,0.2766667,0.03666667,0.24
14540.0,1,1.5,0.241,0.001,0.24
15020.0,0,0.5,13.283,13.0,0.283
15065.0,1,1.5,0.248,0.008,0.24
15450.0,0,0.5,40.14,40.0,0.14
18445.0,0,0.5,240.08,240.0,0.08
22850.0,0,0.5,43.272,40.0,3.272
28380.0,0,0.5,100.39,100.0,0.39
